rank,company,year,source
1,Apple,2022,BCG Most Innovative Companies
2,Microsoft,2022,BCG Most Innovative Companies
3,Amazon,2022,BCG Most Innovative Companies
4,Alphabet,2022,BCG Most Innovative Companies
5,Tesla,2022,BCG Most Innovative Companies
6,Samsung,2022,BCG Most Innovative Companies
7,Moderna,2022,BCG Most Innovative Companies
8,Huawei,2022,BCG Most Innovative Companies
9,Sony,2022,BCG Most Innovative Companies
10,IBM,2022,BCG Most Innovative Companies
11,Facebook,2022,BCG Most Innovative Companies
12,Nike,2022,BCG Most Innovative Companies
13,Walmart,2022,BCG Most Innovative Companies
14,Dell,2022,BCG Most Innovative Companies
15,NVIDIA,2022,BCG Most Innovative Companies
16,LG,2022,BCG Most Innovative Companies
17,Target,2022,BCG Most Innovative Companies
18,Pfizer,2022,BCG Most Innovative Companies
19,Oracle,2022,BCG Most Innovative Companies
20,Siemens,2022,BCG Most Innovative Companies
21,Toyota,2022,BCG Most Innovative Companies
22,Alibaba,2022,BCG Most Innovative Companies
23,HP,2022,BCG Most Innovative Companies
24,Lenovo,2022,BCG Most Innovative Companies
25,Zalando,2022,BCG Most Innovative Companies
26,Bosch,2022,BCG Most Innovative Companies
27,Johnson and Johnson,2022,BCG Most Innovative Companies
28,Cisco,2022,BCG Most Innovative Companies
29,General Electric,2022,BCG Most Innovative Companies
30,JD.com,2022,BCG Most Innovative Companies
31,Xiaomi,2022,BCG Most Innovative Companies
32,eBay,2022,BCG Most Innovative Companies
33,Hyundai,2022,BCG Most Innovative Companies
34,Procter & Gamble,2022,BCG Most Innovative Companies
35,Adidas,2022,BCG Most Innovative Companies
36,Coca-Cola,2022,BCG Most Innovative Companies
37,3M,2022,BCG Most Innovative Companies
38,PepsiCo,2022,BCG Most Innovative Companies
39,Hitachi,2022,BCG Most Innovative Companies
40,SAP,2022,BCG Most Innovative Companies
41,Tencent,2022,BCG Most Innovative Companies
42,General Motors,2022,BCG Most Innovative Companies
43,Ford,2022,BCG Most Innovative Companies
44,Intel,2022,BCG Most Innovative Companies
45,ByteDance,2022,BCG Most Innovative Companies
46,Panasonic,2022,BCG Most Innovative Companies
47,Philips,2022,BCG Most Innovative Companies
48,Mitsubishi,2022,BCG Most Innovative Companies
49,Nestle,2022,BCG Most Innovative Companies
50,Unilever,2022,BCG Most Innovative Companies
