comparator,list_company,normalized_name,matched_sec_name,matched_cik,matched_firm_mean_dkl
BCG Most Innovative (2021-23 union),General Motors,GENERAL MOTORS,GENERAL MOTORS CO,1467858,-0.06810318023308223
BCG Most Innovative (2021-23 union),Microsoft,MICROSOFT,MICROSOFT CORP,789019,0.031203814103620324
BCG Most Innovative (2021-23 union),Walmart,WALMART,"","",""
BCG Most Innovative (2021-23 union),Apple,APPLE,APPLE INC,320193,0.04181745729590752
BCG Most Innovative (2021-23 union),Hitachi,HITACHI,HITACHI LTD,47710,-0.06996865747411274
BCG Most Innovative (2021-23 union),Salesforce,SALESFORCE,"SALESFORCE, INC.",1108524,0.11150656054394352
BCG Most Innovative (2021-23 union),Mercedes-Benz,MERCEDES BENZ,"","",""
BCG Most Innovative (2021-23 union),BYD,BYD,BYD CO LTD,1445162,0.034433029972391324
BCG Most Innovative (2021-23 union),Alphabet,ALPHABET,ALPHABET INC.,1652044,0.4112062269163266
BCG Most Innovative (2021-23 union),NVIDIA,NVIDIA,NVIDIA CORP,1045810,0.08701640094228313
BCG Most Innovative (2021-23 union),IBM,IBM,"","",""
BCG Most Innovative (2021-23 union),Bosch,BOSCH,"","",""
BCG Most Innovative (2021-23 union),Tencent,TENCENT,"","",""
BCG Most Innovative (2021-23 union),Alibaba,ALIBABA,Alibaba Group Holding Ltd,1577552,0.04125475318073644
BCG Most Innovative (2021-23 union),Facebook,FACEBOOK,"","",""
BCG Most Innovative (2021-23 union),Lenovo,LENOVO,"","",""
BCG Most Innovative (2021-23 union),Hyundai,HYUNDAI,"","",""
BCG Most Innovative (2021-23 union),Tesla,TESLA,"TESLA, INC.",1318605,0.12729459413207372
BCG Most Innovative (2021-23 union),Philips,PHILIPS,"","",""
BCG Most Innovative (2021-23 union),Meta,META,"","",""
BCG Most Innovative (2021-23 union),BMW,BMW,"","",""
BCG Most Innovative (2021-23 union),Huawei,HUAWEI,"","",""
