rank,company,year,source
1,Tesla,2015,MIT Technology Review 50 Smartest Companies
2,Xiaomi,2015,MIT Technology Review 50 Smartest Companies
3,Illumina,2015,MIT Technology Review 50 Smartest Companies
4,Alibaba,2015,MIT Technology Review 50 Smartest Companies
5,Counsyl,2015,MIT Technology Review 50 Smartest Companies
6,SunEdison,2015,MIT Technology Review 50 Smartest Companies
7,Tencent,2015,MIT Technology Review 50 Smartest Companies
8,Juno Therapeutics,2015,MIT Technology Review 50 Smartest Companies
9,SolarCity,2015,MIT Technology Review 50 Smartest Companies
10,Netflix,2015,MIT Technology Review 50 Smartest Companies
11,OvaScience,2015,MIT Technology Review 50 Smartest Companies
12,Google,2015,MIT Technology Review 50 Smartest Companies
13,Amazon,2015,MIT Technology Review 50 Smartest Companies
14,AliveCor,2015,MIT Technology Review 50 Smartest Companies
15,Gilead Sciences,2015,MIT Technology Review 50 Smartest Companies
16,Apple,2015,MIT Technology Review 50 Smartest Companies
17,Voxel8,2015,MIT Technology Review 50 Smartest Companies
18,IDE Technologies,2015,MIT Technology Review 50 Smartest Companies
19,Amgen,2015,MIT Technology Review 50 Smartest Companies
20,Aquion Energy,2015,MIT Technology Review 50 Smartest Companies
21,Baidu,2015,MIT Technology Review 50 Smartest Companies
22,SpaceX,2015,MIT Technology Review 50 Smartest Companies
23,Sakti3,2015,MIT Technology Review 50 Smartest Companies
24,Freescale Semiconductor,2015,MIT Technology Review 50 Smartest Companies
25,Universal Robots,2015,MIT Technology Review 50 Smartest Companies
26,Bristol-Myers Squibb,2015,MIT Technology Review 50 Smartest Companies
27,Teladoc,2015,MIT Technology Review 50 Smartest Companies
28,NVIDIA,2015,MIT Technology Review 50 Smartest Companies
29,Facebook,2015,MIT Technology Review 50 Smartest Companies
30,Alnylam,2015,MIT Technology Review 50 Smartest Companies
31,Rethink Robotics,2015,MIT Technology Review 50 Smartest Companies
32,Philips,2015,MIT Technology Review 50 Smartest Companies
33,Cellectis,2015,MIT Technology Review 50 Smartest Companies
34,Bluebird Bio,2015,MIT Technology Review 50 Smartest Companies
35,ThyssenKrupp,2015,MIT Technology Review 50 Smartest Companies
36,Slack,2015,MIT Technology Review 50 Smartest Companies
37,LINE,2015,MIT Technology Review 50 Smartest Companies
38,Improbable,2015,MIT Technology Review 50 Smartest Companies
39,Enlitic,2015,MIT Technology Review 50 Smartest Companies
40,Coinbase,2015,MIT Technology Review 50 Smartest Companies
41,HaCon,2015,MIT Technology Review 50 Smartest Companies
42,3D Systems,2015,MIT Technology Review 50 Smartest Companies
43,Gruppo Generali,2015,MIT Technology Review 50 Smartest Companies
44,Intrexon,2015,MIT Technology Review 50 Smartest Companies
45,DNAnexus,2015,MIT Technology Review 50 Smartest Companies
46,IBM,2015,MIT Technology Review 50 Smartest Companies
47,Snapchat,2015,MIT Technology Review 50 Smartest Companies
48,Microsoft,2015,MIT Technology Review 50 Smartest Companies
49,Imprint Energy,2015,MIT Technology Review 50 Smartest Companies
50,Uber,2015,MIT Technology Review 50 Smartest Companies
