brand,founded,primary_buzz,n_filings,earliest_filing,earliest_owner,earliest_class,first_gs,used_primary_buzz,rank_in_primary_ladder,n_buzzwords_ever_used,buzzwords_used
Amazon,1994,online retail,6505,19241025,AMAZON COTTON MILLS,023,KNITTING YARNS,19980918,174,15,"website, wireless, online retail, social media, blockchain, cloud computing, saas, mobile app, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
eBay,1995,online retail,337,19971117,EBAY INC.,035,"on-line trading services in which seller posts items to be auctioned and bidding is done electronically, and providing evaluative feedback and ratings of sellers' goods and service",20020514,3088,8,"website, wireless, online retail, blockchain, saas, artificial intelligence, online, internet"
Etsy,2005,online retail,63,20050617,"ETSY, INC.",035,computerized online ordering featuring general merchandise and general consumer goods,20161208,24269,8,"website, online retail, social media, streaming, smartphones, online, internet, platform"
Shopify,2006,online retail,284,20060405,SHOPIFY INC.,042,"Design, creation, hosting and maintenance of internet sites for third parties",20151103,21533,14,"website, wireless, online retail, social media, blockchain, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Wayfair,2002,online retail,701,20000626,"Wayfair.com, Incorporated",042,recruiting services via a global computer network,20120307,14080,9,"wireless, online retail, saas, artificial intelligence, machine learning, streaming, online, internet, platform"
Chewy,2011,online retail,273,19970813,"CHEWY, INC.",016,magazines in the field of reptiles,20190206,31158,8,"website, wireless, online retail, blockchain, artificial intelligence, streaming, online, internet"
Google,1998,website,2937,19921228,GOOGLE INC.,009,computer software for digital compression and decompression of video information,20020617,8047,13,"website, wireless, online retail, social media, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Yahoo,1994,website,1148,19870304,YAHOO! INC.,038,"COMPUTERIZED TELECOMMUNICATIONS SERVICES FEATURING CONFERENCING, ELECTRONIC MAIL AND TRANSMISSION OF INFORMATION FOR USE IN BUSINESS COMMERCIAL AND INDUSTRIAL APPLICATIONS",20000119,3084,14,"website, wireless, online retail, social media, blockchain, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Netflix,1997,website,820,19971230,"NETFLIX, INC.",035,"Rental of pre-recorded music, pre-recorded videos, musical recordings, and computer games Retail store services and computerized on-line retail services featuring pre-recorded musi",20050314,11424,6,"website, wireless, online retail, streaming, online, internet"
Dropbox,2007,website,83,20031014,DropBox Incorporated,006,"HYDRAULIC TRAILERS USED TO TRANSPORT METAL ISO CONTAINERS IN THE PORTABLE STORAGE INDUSTRY METAL ISO CONTAINERS, NAMELY METAL PORTABLE STORAGE CONTAINERS",20120816,48410,11,"website, wireless, online retail, cloud computing, saas, artificial intelligence, machine learning, streaming, online, internet, platform"
Facebook,2004,social media,1139,19950811,"META PLATFORMS, INC.",009,"computer software used to record, store, manage and manipulate data, act as a calculator engine, generate reports, forms and checks all in the areas of payroll, human resources and",20120525,2909,14,"website, wireless, online retail, social media, blockchain, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Twitter,2006,social media,464,19410410,X CORP.,016,Department or Section of a Weekly Magazine,20110201,1046,12,"website, wireless, online retail, social media, blockchain, cloud computing, saas, artificial intelligence, streaming, online, internet, platform"
LinkedIn,2002,social media,289,19990809,LINKEDIN CORPORATION,016,EDUCATIONAL BOOKS IN THE FIELD OF COMPUTERS,20090716,260,10,"website, wireless, online retail, social media, saas, artificial intelligence, streaming, online, internet, platform"
Pinterest,2010,social media,44,20110301,"PINTEREST, INC.",042,"Providing a web site featuring technology that enables internet users to create, bookmark, annotate, and publicly share data Internet-based social networking services",,,6,"website, wireless, cloud computing, online, internet, platform"
Snap,2011,social media,458,19860721,PLASTI-SNAP INC.,026,"HAIR ACCESSORIES, NAMELY; BARRETTES, PONYTAIL HOLDERS, COMBS, HEADBANDS",20201030,20239,13,"website, wireless, online retail, social media, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Coinbase,2012,blockchain,147,20131206,"Coinbase, Inc.",009,"Downloadable computer software for use in electronically trading, storing, sending, receiving, accepting and transmitting digital currency, and managing digital currency payment an",20170421,96,9,"website, wireless, online retail, blockchain, saas, streaming, online, internet, platform"
Block (Square),2009,blockchain,589,19500104,"S. KLEIN ON THE SQUARE, INC.",025,WOMEN'S HOSIERY,20190807,1607,14,"website, wireless, online retail, social media, blockchain, cloud computing, saas, artificial intelligence, machine learning, streaming, smartphones, online, internet, platform"
Stripe,2010,online retail,127,19870406,"ACCENT STRIPE, INC.",002,EPOXY PAINT,,,8,"website, wireless, cloud computing, mobile app, streaming, online, internet, platform"
Zoom,2011,saas,20,19990420,"ZOOM VIDEO COMMUNICATIONS, INC.",009,"[ Provision of telecommunication connections to a global computer network ] Telecommunications and Computer Peripheral Products, namely, Wide Area Network communication receivers a",20220622,47486,7,"website, wireless, saas, artificial intelligence, online, internet, platform"
Slack,2009,saas,1,20100616,"SLACK TECHNOLOGIES, INC.",041,"entertainment services, namely, providing online multiplayer computer games",,,1,online
