brand,founded,n_clean_filings,mean_pros,mean_retr,mean_dkl,first_real_date,first_real_class,first_real_pros,first_real_retr,first_real_owner,first_real_gs
Amazon,1994,6181,3.8966701727129402,3.884452843430209,0.012217329282731448,19940310,029,4.79413703181876,4.835326840915799,"AMAZON, CARIBBEAN, GUYANA, LTD.",canned vegetables and fruits
eBay,1995,317,4.6052390032794515,4.575467619767682,0.029771383511769223,19971117,035,7.448694815300943,5.722945137837661,EBAY INC.,"on-line trading services in which seller posts items to be auctioned and bidding is done electronically, and providing evaluative feedback a"
Etsy,2005,63,3.732524030098673,3.749969311221965,-0.017445281123292133,20050617,035,5.422655925369823,5.47598786820404,"ETSY, INC.",computerized online ordering featuring general merchandise and general consumer goods
Shopify,2006,284,3.3996175247334355,3.3199992284193365,0.079618296314099,20060405,042,5.9792688674245795,5.884025215602987,SHOPIFY INC.,"Design, creation, hosting and maintenance of internet sites for third parties"
Wayfair,2002,689,4.343873527042863,4.354499918275053,-0.010626391232190002,20050209,040,5.967108192883947,6.229196849081575,WAYFAIR LLC,Manufacture of home furnishings and furniture to the order and specifications of retailers Design services for retailers in the field of hom
Chewy,2011,236,4.857241599363803,4.723927920291371,0.1333136790724323,20110103,044,4.80037906951612,4.99685261308822,"CHEWY, INC.","Providing on-line information via the Internet in the fields of animals and pets, relating to breeding, selection of the animals and pets, c"
Google,1998,2834,4.400405587501197,4.320713486660432,0.07969210084076472,19980220,035,4.56740566850932,4.232848768335052,GOOGLE LLC,"Commercial information services, namely, advertisement management by providing reports, advertisement targeting, and management of electroni"
Yahoo,1994,1069,4.361042974435833,4.288541809464507,0.07250116497132542,19950525,009,5.2926697704500745,5.0676353262969975,"YAHOO!, INC.",mouse pads and computer software
Netflix,1997,804,4.19259993733281,4.177313046003495,0.015286891329314933,19971230,035,4.395439733526843,4.170392947521452,"NETFLIX, INC.","Rental of pre-recorded music, pre-recorded videos, musical recordings, and computer games Retail store services and computerized on-line ret"
Dropbox,2007,81,4.3033137178916965,4.283447217879881,0.019866500011815447,20090901,009,4.112992717454895,3.815318565801206,"DROPBOX, INC.","Providing temporary use of non-downloadable computer software used to store and share data, documents, files, information, text, photos, ima"
Facebook,2004,1122,3.705695550316365,3.5902854601359198,0.11541009018044512,20040615,036,4.282614867716956,4.123267615891091,"META PLATFORMS, INC.","Financial services, namely, banking services; online banking services; [ trust services, namely, investment advice and management services; "
Twitter,2006,420,3.732858734190099,3.6958719751741946,0.036986759015904536,20070426,038,4.295776554332172,3.5500984212954103,X CORP.,"Providing on-line journals, namely, blogs featuring user-defined content in the field of social-networking Providing a website on the intern"
LinkedIn,2002,286,4.094516515018764,4.0470809881211265,0.047435526897637637,20030505,035,6.5406167229444385,5.956842151147954,LinkedIn Corporation,Online business networking services
Pinterest,2010,44,3.435034282278009,3.346050714988101,0.08898356728990775,20110301,042,5.053341588502736,4.737750163878296,"PINTEREST, INC.","Providing a web site featuring technology that enables internet users to create, bookmark, annotate, and publicly share data Internet-based "
Snap,2011,441,4.012827318801278,3.963021637898409,0.0498056809028693,20110711,045,4.321175131561564,4.409109032570502,SNAP INC.,On-line social networking services
Coinbase,2012,147,4.326083221967789,4.164939452054571,0.16114376991321766,20131206,009,6.4784072802117665,5.497628746352048,"Coinbase, Inc.","Downloadable computer software for use in electronically trading, storing, sending, receiving, accepting and transmitting digital currency, "
Block (Square),2009,376,4.494570909381633,4.456505258571159,0.03806565081047353,20090805,009,5.734307314931322,5.475337021626953,"BLOCK, INC.","Hardware and software for processing credit card, debit card, and gift card transactions via mobile devices"
Stripe,2010,114,4.893236920937424,4.8305249748386485,0.0627119460987755,20100817,036,5.4451486014158235,5.55127799937271,"The Charity Stripe, Inc.","Conducting charitable fundraising, philanthropic services concerning monetary donations, and fundraising through exhibitions and promotions "
Zoom,2011,18,4.882515223019918,4.819671979009566,0.06284324401035146,20180517,009,5.101330356529901,5.071531626911845,"Zoom Video Communications, Inc.","Downloadable software for use in the fields of audio teleconferencing, network conferencing services, instant messaging services, telephone "
Slack,2009,1,5.544738504690606,5.301924737081546,0.2428137676090607,20100616,041,5.544738504690606,5.301924737081546,"SLACK TECHNOLOGIES, INC.","entertainment services, namely, providing online multiplayer computer games"
Salesforce,1999,884,4.092279553481131,4.0082137006000655,0.08406585288106516,19991029,042,4.222072323064617,3.792220953224866,"SALESFORCE, INC.","Providing temporary use of on-line non-downloadable software for storing, managing, tracking and analyzing data in the field of marketing, p"
Workday,2005,77,4.153936587003983,4.0208314203193325,0.13310516668465056,20050707,042,5.726022017515214,5.53045589323703,"WORKDAY, INC.",Providing on-line non-downloadable software for enterprise resource planning for commercial use
ServiceNow,2004,148,4.15806442332391,4.0603383704837315,0.09772605284017821,20071005,009,4.255328667021045,4.307779218947801,"SERVICENOW, INC.",Computer search engine software; computer software for application and database integration; computer software development tools
Snowflake,2012,125,4.353905484483058,4.255677848504261,0.09822763597879725,20140612,042,4.537973305819772,4.320914567691096,"Snowflake Computing, Inc.","Software as a service (SAAS) and platform as a service (PAAS) services, namely, providing cloud computing software for use in connection wit"
Tesla,2003,225,4.9088584641496595,4.857874776462363,0.050983687687296886,20050210,012,6.071889940867557,6.129867904585106,"TESLA, INC.","Fully battery electric, high performance sports automobile"
Uber,2009,348,4.234610715623758,4.0955873113591466,0.13902340426461102,20090128,009,6.452743316827741,5.750185262346519,"UBER TECHNOLOGIES, INC.",Providing a website featuring information regarding transportation services and bookings for transportation services Providing temporary use
Airbnb,2008,180,4.237299829032732,4.164451459326643,0.07284836970608932,20100426,035,4.63098819381884,4.8480200750685345,"AIRBNB, INC.",Preparation of custom or non-custom advertising for businesses for dissemination via the web; customer loyalty services and customer club se
Lyft,2012,220,4.43636876436881,4.343479292251398,0.09288947211741228,20121001,009,6.435779889585896,5.674785774405957,"LYFT, INC.","Telecommunications services, namely, routing calls, messages, and push-notifications to transportation providers and riders Computer softwar"
Spotify,2006,271,4.071129298304629,4.027084461251165,0.04404483705346429,20070104,009,4.019571507240627,3.712781419355483,Spotify AB,"Providing advertising space on the Internet Computer software for use in the delivery, distribution and transmission of digital music and en"
Palantir,2003,85,3.9472042357265282,3.857595702675091,0.08960853305143734,20030304,041,5.7025482100949825,5.831215760012693,"Palantir Pictures, LLC",production of motion pictures
