Big-firm KL profile  (corpus median pros=5.00  retr=4.99  ΔKL=0.00)

brand                fnd      n    mn_p    mn_r      ΔKL   1st_p   1st_r  1st_yr
  Amazon            1994  6,181    3.90    3.88   +0.012    4.79    4.84    1994
  eBay              1995    317    4.61    4.58   +0.030    7.45    5.72    1997
  Etsy              2005     63    3.73    3.75   -0.017    5.42    5.48    2005
  Shopify           2006    284    3.40    3.32   +0.080    5.98    5.88    2006
  Wayfair           2002    689    4.34    4.35   -0.011    5.97    6.23    2005
  Chewy             2011    236    4.86    4.72   +0.133    4.80    5.00    2011
  Google            1998  2,834    4.40    4.32   +0.080    4.57    4.23    1998
  Yahoo             1994  1,069    4.36    4.29   +0.073    5.29    5.07    1995
  Netflix           1997    804    4.19    4.18   +0.015    4.40    4.17    1997
  Dropbox           2007     81    4.30    4.28   +0.020    4.11    3.82    2009
  Facebook          2004  1,122    3.71    3.59   +0.115    4.28    4.12    2004
  Twitter           2006    420    3.73    3.70   +0.037    4.30    3.55    2007
  LinkedIn          2002    286    4.09    4.05   +0.047    6.54    5.96    2003
  Pinterest         2010     44    3.44    3.35   +0.089    5.05    4.74    2011
  Snap              2011    441    4.01    3.96   +0.050    4.32    4.41    2011
  Coinbase          2012    147    4.33    4.16   +0.161    6.48    5.50    2013
  Block (Square)    2009    376    4.49    4.46   +0.038    5.73    5.48    2009
  Stripe            2010    114    4.89    4.83   +0.063    5.45    5.55    2010
  Zoom              2011     18    4.88    4.82   +0.063    5.10    5.07    2018
  Slack             2009      1    5.54    5.30   +0.243    5.54    5.30    2010
  Salesforce        1999    884    4.09    4.01   +0.084    4.22    3.79    1999
  Workday           2005     77    4.15    4.02   +0.133    5.73    5.53    2005
  ServiceNow        2004    148    4.16    4.06   +0.098    4.26    4.31    2007
  Snowflake         2012    125    4.35    4.26   +0.098    4.54    4.32    2014
  Tesla             2003    225    4.91    4.86   +0.051    6.07    6.13    2005
  Uber              2009    348    4.23    4.10   +0.139    6.45    5.75    2009
  Airbnb            2008    180    4.24    4.16   +0.073    4.63    4.85    2010
  Lyft              2012    220    4.44    4.34   +0.093    6.44    5.67    2012
  Spotify           2006    271    4.07    4.03   +0.044    4.02    3.71    2007
  Palantir          2003     85    3.95    3.86   +0.090    5.70    5.83    2003
