cpc_class,cpc_section,cpc_section_name,n_early,n_late,black_share_early,black_share_late,n_black_early,n_black_late,delta_share,delta_n
A01,A,Human Necessities,7351,3958,0.09608071010746835,0.08407716018191007,706.2892999999999,332.77740000000006,-0.012003549925558285,-373.51189999999986
A23,A,Human Necessities,2146,1013,0.08219440820130476,0.08200681145113524,176.38920000000002,83.0729,-0.00018759675016952193,-93.31630000000001
A24,A,Human Necessities,430,377,0.1129586046511628,0.09923740053050396,48.5722,37.412499999999994,-0.013721204120658831,-11.159700000000008
A41,A,Human Necessities,1384,1038,0.10802651734104046,0.11155356454720618,149.5087,115.79260000000001,0.003527047206165715,-33.7161
A42,A,Human Necessities,482,312,0.11006846473029044,0.11776346153846153,53.053,36.7422,0.007694996808171081,-16.3108
A43,A,Human Necessities,655,577,0.1037320610687023,0.09098665511265165,67.9445,52.499300000000005,-0.012745405956050643,-15.4452
A44,A,Human Necessities,484,261,0.08137768595041323,0.10297241379310344,39.3868,26.875799999999998,0.021594727842690217,-12.511000000000003
A45,A,Human Necessities,1962,1152,0.10266799184505608,0.11196432291666666,201.43460000000002,128.9829,0.009296331071610583,-72.45170000000002
A47,A,Human Necessities,7709,3849,0.0963301725256194,0.09641143154065991,742.6093,371.0876,8.12590150405107e-05,-371.52169999999995
A61,A,Human Necessities,27190,23713,0.08371177638837808,0.0707108463711888,2276.1232,1676.7663,-0.013000930017189286,-599.3569
A62,A,Human Necessities,790,420,0.09728848101265823,0.08092142857142857,76.8579,33.987,-0.016367052441229657,-42.8709
A63,A,Human Necessities,7517,3424,0.09276321670879342,0.08942891355140188,697.3011000000001,306.2046,-0.003334303157391541,-391.0965000000001
B01,B,Performing Operations; Transporting,5194,3168,0.08345311898344245,0.06987787247474747,433.45550000000003,221.3731,-0.013575246508694974,-212.08240000000004
B05,B,Performing Operations; Transporting,1604,670,0.08729320448877806,0.08318955223880597,140.0183,55.737,-0.004103652249972084,-84.28130000000002
B08,B,Performing Operations; Transporting,521,257,0.08748675623800385,0.08887470817120621,45.580600000000004,22.840799999999998,0.001387951933202361,-22.739800000000006
B21,B,Performing Operations; Transporting,1085,262,0.0847378801843318,0.08645190839694657,91.9406,22.6504,0.0017140282126147655,-69.2902
B22,B,Performing Operations; Transporting,746,401,0.07621876675603217,0.07461620947630923,56.8592,29.921100000000003,-0.0016025572797229437,-26.9381
