year,tm_white,tm_black,tm_api,tm_hispanic,n_tm,pv_white,pv_black,pv_api,pv_hispanic,n_pv
1990,0.7739549050019388,0.11388368876825643,0.03452441514799018,0.05009249062944294,7737,0.7663040163026278,0.08982772633744852,0.07191206869262431,0.04428696976891431,25272
1991,0.7738295033950207,0.11089134602582879,0.035529956064438824,0.052590267607508984,7511,0.762349809607498,0.08925817223198594,0.07531124048037498,0.0453916996192151,27312
1992,0.7738774541217595,0.11338342557529857,0.03429338770754442,0.05043810078648412,6866,0.7562410690865266,0.08851546914324197,0.08169499486016094,0.045611197759739174,28211
1993,0.7723736477115117,0.11330345584835877,0.034838754045307445,0.05185996301433195,8652,0.7566806330453791,0.08815798818588448,0.08163761395841165,0.045958899853177276,29287
1994,0.7665354755178908,0.11421650188323917,0.037581979755178914,0.053881132297551794,8496,0.7470863637832429,0.0867587488286425,0.09047946166025791,0.0479570297605584,30947
1995,0.7673045121321632,0.10986604026845638,0.03824323180175529,0.05699302013422819,9685,0.7438877925549258,0.0862201316904622,0.09517911858660935,0.04682358041593337,30678
1996,0.7595684406401191,0.11445822478600672,0.04140646631931522,0.056558280610346116,10748,0.7385813461419675,0.08366070303329828,0.10197137208871322,0.04809163217396689,32374
1997,0.7535170921795217,0.11699504613455164,0.041944548956373735,0.05976558272865717,11163,0.7311688701649371,0.08434891505904547,0.10842175737662244,0.04860029604086021,30739
1998,0.7552416189229006,0.11300234080864299,0.0454241610738255,0.05833787853985922,12218,0.7249630098841008,0.0842579348753199,0.11468710300536832,0.04864368069840958,39862
1999,0.74823769648471,0.11587469753262837,0.04643652472134896,0.061604715633038015,20994,0.7128603585607629,0.08361695922494942,0.12518226922020498,0.050892049739069745,40049
2000,0.7392691155693699,0.11834035038146369,0.049811340303287176,0.06477614674578507,21234,0.7102671153063311,0.0830397644005699,0.12864804600040694,0.05084834622430295,39304
2001,0.7357876095348981,0.12178146332495864,0.04935991175929898,0.0650274220234083,16319,0.7026618681260587,0.08158869236463626,0.13738996668781708,0.05102819109560073,37824
2002,0.7321663091812712,0.1192167041590374,0.05163069840439445,0.06923035835731102,19115,0.6925234854839151,0.08092915933872666,0.1462356016125975,0.0525934900836063,36959
2003,0.7309693634516328,0.12025641037758139,0.05087889041160626,0.06987444827749162,21161,0.691518961031923,0.08081097772478461,0.14751112405831637,0.05258211479052635,36902
2004,0.7273645621612467,0.11812452574525745,0.051990053353658534,0.07462666412601626,23616,0.6803458741575586,0.07982788412527601,0.16051144871722248,0.05155505465254583,35314
2005,0.7215071712216772,0.11976028965195049,0.0533731059721249,0.07769576422954139,25686,0.675163620148638,0.0784278150289017,0.16585769446738208,0.05312194219653192,30275
2006,0.7121332204637467,0.12046632315053368,0.05862550975340449,0.08062333087964667,27170,0.6714451780312491,0.07718638470291124,0.17149070296672472,0.052293744622984535,36033
2007,0.7107661931079323,0.1209386020806242,0.057075776983094934,0.08319645643693108,30760,0.6679578275055411,0.07727139251415903,0.1732898208569317,0.05368751846835761,32488
2008,0.7119589279629251,0.11990332242895115,0.05498313909902542,0.08503046411776734,29346,0.661823393324502,0.07554693204950076,0.1816921645287405,0.05330522149342475,30949
2009,0.708409142183986,0.11981727769249992,0.05675396066112162,0.08687105272552029,28013,0.6582610439526387,0.0752887607711859,0.18502419254850888,0.05385167379579697,32262
2010,0.7041322528018159,0.11983782096751312,0.05983268194070081,0.08779310185841963,28196,0.6578370550280914,0.07571287014548227,0.18472569858443136,0.05391720762493574,40761
2011,0.7013889156471759,0.12216495199563306,0.05726529236104422,0.09097433773239572,31143,0.6538445340758289,0.07600866272866844,0.18705535923391184,0.05525669676546363,38429
2012,0.6950227825864768,0.12392276661662781,0.06164053467054202,0.09125108754671181,31309,0.6467687644190755,0.07529079795457255,0.1937279034367942,0.05639553573552148,42045
2013,0.6866145674920388,0.12526625073113667,0.06611256580230064,0.09367100799376098,30774,0.6503402659844294,0.07476187777067125,0.19003904633775184,0.05710269292693146,45341
2014,0.6802002101894843,0.1258699021207178,0.06759552955201405,0.09760835424770989,31876,0.6396849861589508,0.07494421317329844,0.1990902182870909,0.05854286710479046,47323
2015,0.6771781448395977,0.12883710601719198,0.06615208719590988,0.09924873869318501,35598,0.6384836807442354,0.07419636359684392,0.1989706240354727,0.06033646618992774,46007
2016,0.6679371135171336,0.1344607517580087,0.06733757115749525,0.10140901886371247,35836,0.6287483615744709,0.07382300828553219,0.20765353948264897,0.06179861321729206,45501
2017,0.6608083335358003,0.13772984280473288,0.067957746786851,0.10464797492650453,41159,0.6292840791424097,0.07398176330318597,0.20476601645577774,0.06400764141012705,46549
