cls,label,skipped,n,first_scored_year,burnin_end_year,ref_level,band,mean_dkl_1990,early_volume_per_year,stable_mean_pros
001,Chemicals,false,111999,1990,1992,0.010742605816287411,0.12126878254126208,1.5818583837100197,2617.4,5.38756823714487
002,Paints,false,30077,1990,1993,-0.10326694867421164,0.18326536664275286,1.7257991154745829,725.0,4.816079912175428
003,Cosmetics & Cleaning,false,270139,1990,1992,-0.05063812803361034,0.1089311023284366,1.8874008600145944,4437.2,4.32941364641864
004,Lubricants & Fuels,false,30082,1990,2000,-0.03792784147926722,0.10016809736238405,1.9574110659211943,511.4,4.935864504947765
005,Pharmaceuticals,false,308115,1990,2001,-0.012444786503859752,0.047186921240633214,2.186167892218461,4239.0,4.966241727417951
006,Metal Goods,false,83295,1990,1993,-0.04779715735708983,0.0973588666074611,1.6005888576890037,1641.0,5.492055573768609
007,Machinery,false,137798,1990,2001,-0.035238606273950535,0.038973170288721604,1.7403738617069302,2667.8,5.343386032397915
008,Hand Tools,false,53192,1990,1991,0.005651340611264171,0.304732076219301,1.777400544112219,925.2,4.961816265663657
009,Software & Electronics,false,1070811,1989,2003,0.017446110342695196,0.033423031475423165,2.0368137265895907,13881.4,5.4889799220075695
010,Medical Apparatus,false,152534,1990,2000,-0.019949569125442507,0.042930120520504635,1.940564116550433,2725.2,5.526318602505236
011,Lighting & Heating,false,146106,1990,1992,0.020894261968123693,0.1649286576859464,1.8849791670888085,2346.0,5.200476317228523
012,Vehicles,false,106332,1990,1992,-0.005498481685618224,0.16793624775508087,2.081240172172082,1904.8,5.032454114032435
013,Firearms,false,11687,1993,2003,0.2152440541333578,0.5267913460985113,,219.0,4.803978114163126
014,Jewelry,false,88816,1990,1997,-0.044997553503562805,0.16791814236891972,1.8550285778886697,1389.8,4.534528671084363
015,Musical Instruments,false,10356,1993,1993,-0.1588077042801661,0.8395770792115995,,244.4,4.597199859054009
016,Paper & Printed Goods,false,397776,1990,1992,-0.04929989090369795,0.09578569586414018,1.6462787544651913,10465.8,5.28608772677557
017,Rubber & Plastics,false,45215,1990,2004,0.002960001262422429,0.06999214314556397,1.6336695166158735,945.6,4.989495517106151
018,Leather Goods,false,120215,1990,1992,-0.038741521537822336,0.12228139905166235,1.940806819337704,1422.6,4.284204190128903
019,Building Materials,false,62871,1990,1993,-0.08192147287321169,0.14423418522865922,1.8813139057241846,1198.6,5.011723676173421
020,Furniture,false,126113,1990,1991,-0.01950316777516154,0.20890352636250809,1.6904754334055934,2543.4,5.3947337184476405
021,Household Utensils,false,151238,1990,1992,-0.003209053876759617,0.14040318882317698,1.7543568682312942,2291.0,5.173597490333322
022,Cordage & Fibers,false,18771,1990,1992,0.00037218310841316977,0.2387126121716538,1.5247884277892676,331.2,4.944204256579875
023,Yarns & Threads,true,4106,,,,,,,
024,Textiles,false,72969,1990,1991,-0.04989270133833462,0.2938022448790788,1.7546144915461706,1164.6,4.439618963505833
025,Clothing & Footwear,false,540860,1990,1999,-0.033356851813628394,0.06337734746511413,2.0155561533365884,8672.0,4.3220603642522075
026,Lace & Embroidery,false,30036,1990,1991,0.03214832903945902,0.42644046541180286,1.520296872177033,448.6,4.705322081627006
027,Carpets,false,19798,1990,1991,-0.10773360388945091,0.6870330836183283,1.9840479266728082,401.0,4.6540635188791875
028,Games & Sporting Goods,false,260694,1990,1992,-0.05690053841474096,0.2179989619547007,1.9914390480762936,6835.2,5.1279124721487115
029,Meats & Processed Foods,false,119207,1990,1991,-0.011030928684198062,0.2329679674650575,2.006268852488635,2564.6,4.573842669929529
030,Staple Foods,false,179768,1990,1992,-0.033248789563908164,0.16265736173533663,1.9813609942170873,3781.4,4.88284917033777
031,Agricultural Products,false,55442,1990,1992,-0.04806694880450593,0.13855117173197562,2.010534195028846,1393.4,4.933906534197049
032,Beer & Soft Drinks,false,88994,1990,2004,-0.034413282791349115,0.11402976886470348,2.720670015369644,1414.2,4.130336128648115
033,Alcoholic Beverages,false,56166,1990,1992,0.04618950179434557,0.27772531415241536,2.478560740768681,427.4,4.135524794051987
034,Tobacco,false,29580,1990,1991,0.28230298529185543,1.1296394807667804,2.0258525325934587,254.2,4.229111688148676
035,Advertising & Retail,false,859473,1990,1996,-0.011505249588281512,0.07283410470573777,2.641210935260375,4963.8,5.45862724907087
036,Insurance & Finance,false,352648,1990,1992,-0.044867694257349135,0.12478541584586092,2.523382050300654,4063.6,4.970757050712772
037,Construction & Repair,false,155826,1990,1998,-0.012973044201146026,0.09192168251712915,2.0134643162647463,1912.6,5.206569670602854
038,Telecommunications,false,155436,1990,1998,-0.049616603254383204,0.10384125682941965,2.8509758201300657,1881.8,4.3021129859708145
039,Transport & Storage,false,105955,1990,2000,-0.02733653495932825,0.10980337117443804,2.3809546112773523,1441.6,5.086593139500908
040,Material Treatment,false,80774,1990,1993,0.007795743363941024,0.16623347491826068,2.147991330328706,760.8,5.442712362047552
041,Education & Entertainment,false,784663,1990,2004,0.006746725286892413,0.044832012658766476,2.491242092195552,7140.4,5.242700407988958
042,Scientific & Tech Services,false,648635,1990,2002,0.03390508099081862,0.0663129833247917,2.2797056191225544,11562.0,5.0705898462339904
043,Hotels & Restaurants,false,114884,2001,2004,0.014990908867100345,0.10482554423160886,,2608.4,4.938669041794933
044,Medical & Beauty Services,false,154060,2001,2003,0.012484877381089454,0.11599393615241778,,3392.6,5.053941754973933
045,Legal & Personal Services,false,105425,2002,2003,-0.00989823352557486,0.19738401397782282,,2153.4,5.055139131698518
