year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
1997,0,6,0.1829080133462233,5.98676013077203,5.803852117425807
1999,0,1,,,
2001,0,7,0.27561943301577424,4.949887593557908,4.674268160542135
2002,7,4,0.1048585516824958,5.046763188157289,4.941904636474794
2003,14,2,0.04822585507197282,4.452308408474655,4.404082553402683
2004,6,1,-0.18896152297654112,4.334722747186571,4.523684270163112
2005,14,2,-0.28656951607519376,4.277312169468678,4.563881685543873
2006,31,1,0.14770205877531772,5.618951973344933,5.471249914569615
2007,13,7,-0.04947841721813547,4.27070410400079,4.320182521218925
2008,28,5,0.04443983146418198,3.601522967049592,3.5570831355854096
2009,39,6,-0.15124568024602766,4.214655846411739,4.365901526657766
2010,21,2,-0.03932358583850437,4.9781911627473905,5.017514748585895
2011,29,3,-0.04186533189232448,5.602106514382055,5.64397184627438
2012,48,7,0.07808299445763829,3.627423199587415,3.5493402051297767
2013,95,4,0.24740668318742332,4.990460855891333,4.74305417270391
2014,96,1,0.5857350859038322,5.915334923585972,5.32959983768214
2015,86,30,0.10895369006788853,4.77419228608547,4.665238596017582
2016,119,19,0.21036251144923881,4.0950032696066225,3.884640758157383
2017,117,14,0.16322045929216275,4.347481468307465,4.1842610090153025
2018,87,14,0.16400790865643097,3.9711962147852993,3.8071883061288685
2019,149,17,0.22506318400251987,4.068809098213682,3.8437459142111625
2020,64,12,0.2558893533745436,3.8806836337511705,3.624794280376627
2021,36,20,0.07844820444897647,3.828463317653854,3.750015113204878
2022,45,24,-0.02616532428488767,3.8094549366801527,3.8356202609650403
2023,43,18,-0.010494927718482414,3.7637730854273133,3.7742680131457953
2024,75,30,0.00011597654697079277,4.292044785620069,4.2919288090731
2025,87,21,0.009496927116788243,3.7724774975692927,3.762980570452505
2026,0,4,-0.4080952544492982,3.7241698750536223,4.132265129502921
