year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
2010,0,1,-0.018787736194585847,4.126825281038855,4.1456130172334404
2011,0,2,0.05687752850269382,4.8585723612772975,4.801694832774604
2012,0,4,0.2851432251668016,6.522913647095127,6.237770421928325
2013,0,16,0.11765121684663937,5.145077777601473,5.027426560754833
2014,5,22,0.18270146887153968,6.404092576574379,6.221391107702839
2015,16,9,0.10594171074955118,6.521617447181527,6.415675736431975
2016,14,17,0.04509878393343164,6.234596534112758,6.189497750179327
2017,14,5,0.06347797614797876,6.366958348603786,6.303480372455808
2018,21,4,0.09490840270135625,5.560105966696981,5.465197563995625
2019,37,0,,,
2020,25,19,0.11530222655791332,5.069861614549066,4.954559387991154
2021,22,18,0.1911111453660535,6.207466063364722,6.016354917998667
2022,22,79,0.05773000659659548,6.065480686636265,6.00775068003967
2023,26,41,-0.028850315862638747,6.898909403665466,6.9277597195281055
2024,29,40,0.1350898629896503,6.172426245405068,6.0373363824154165
2025,30,37,0.010845196204827736,6.130044969584044,6.119199773379216
2026,0,19,0.03238044307485315,6.249184556653847,6.216804113578995
