year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
1993,0,1,0.09020072515000876,6.27280585674106,6.1826051315910515
1994,0,1,0.08929273128008308,6.262278695026506,6.172985963746423
1996,0,6,-0.24008013500625655,5.009589720057891,5.249669855064147
1997,10,1,-0.25640896427441273,5.415499460621567,5.67190842489598
1998,12,6,-0.2106547226375056,5.237894214843264,5.448548937480769
1999,5,1,-0.12021702327086459,5.18726080796956,5.3074778312404245
2000,6,4,-0.18135407038395623,5.3977372677695445,5.579091338153501
2001,14,36,-0.0894507104639509,4.998535242592586,5.0879859530565374
2002,15,13,-0.1311900512398551,5.04099025695318,5.1721803081930355
2003,25,4,0.0474504054576419,5.240254910138299,5.192804504680657
2004,42,27,-0.11194699783135358,5.298450526781301,5.410397524612654
2005,52,5,0.07751560098665759,5.783728110586333,5.706212509599675
2006,103,9,-0.20004829665666796,5.191669135995982,5.39171743265265
2007,108,9,-0.09477724687134462,4.6449231514279505,4.739700398299295
2008,175,11,0.000627252868431188,4.989136256632416,4.988509003763985
2009,272,5,-0.08423781372015776,5.607363005811671,5.691600819531828
2010,229,2,-0.05245329422123124,5.5499966839745465,5.602449978195777
2011,264,3,0.22191967965842382,6.273973092539298,6.052053412880873
2012,267,7,0.11589971709459876,4.382253672912398,4.2663539558178
2013,289,27,0.07187908780401289,4.041681190885631,3.9698021030816184
2014,339,3,0.017981282735512433,4.30343740265819,4.285456119922677
2015,326,12,0.0006333902141711275,4.075704166161036,4.075070775946865
2016,354,4,0.04105478360444781,4.19495822763851,4.153903444034062
2017,278,7,0.19364119416163575,3.6923481790243415,3.498706984862705
2018,197,66,0.15365059031478975,3.2230451823845354,3.0693945920697456
2019,166,15,0.08631801479923507,2.947876502502291,2.861558487703056
2020,158,15,0.07864158694212575,3.2498065830910905,3.1711649961489647
2021,206,16,0.0837860519140375,3.4604964055926435,3.376710353678606
2022,214,10,0.20163860052400479,4.434149645863409,4.232511045339404
2023,371,11,-0.016086233528365922,3.188170424391386,3.2042566579197524
2024,418,4,0.26088889847347296,4.147079954815252,3.8861910563417803
2025,387,11,0.17723987935114197,3.435315467353972,3.2580755880028294
2026,0,3,0.07928884653925398,3.8920053471199636,3.8127165005807093
