year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
1990,84,35,0.5395987823824822,6.779969240876303,6.240370458493822
1991,92,17,0.08413520795733763,5.621329713569806,5.537194505612469
1992,81,14,-0.030606419678744907,6.427230869131494,6.457837288810238
1993,68,24,-0.24345174313036602,7.067718537477834,7.3111702806081995
1994,77,51,-0.1697408630623827,6.408212941774596,6.577953804836978
1995,76,37,-0.06694930059518935,6.560878811866783,6.627828112461973
1996,84,61,-0.16461721029364568,6.471388156865057,6.6360053671587025
1997,102,69,-0.23266078582565175,6.137090972172575,6.369751757998227
1998,120,38,-0.16966401720646537,6.569999662403836,6.7396636796103015
1999,118,72,-0.1472985358438368,6.014709043742933,6.16200757958677
2000,165,82,0.006987540294383098,5.7295687014749905,5.722581161180607
2001,177,164,0.23392568135213906,5.086638845473037,4.852713164120899
2002,194,179,0.11887050332432211,4.620165904191415,4.501295400867093
2003,199,115,-0.020397261359215987,4.782703754719501,4.803101016078717
2004,172,187,-0.13343644113177808,5.223341941326542,5.3567783824583195
2005,166,127,-0.12377605193963771,4.2088920498341205,4.332668101773758
2006,148,171,-0.17593116530805158,4.273490268661529,4.44942143396958
2007,112,100,-0.137353595504964,3.726051212293349,3.863404807798313
2008,83,128,-0.09460172420889391,3.8623460310406252,3.9569477552495194
2009,89,67,-0.14757989401241592,3.749730074097037,3.897309968109453
2010,81,98,-0.1282054596798558,3.907378473097922,4.035583932777778
2011,58,76,-0.22783924721632243,4.086685979469468,4.314525226685791
2012,79,53,-0.12320621910055041,3.8061526338033977,3.9293588529039485
2013,45,41,-0.10294074380684705,3.790934407523814,3.8938751513306613
2014,63,56,-0.08724562060229635,3.94704571197382,4.0342913325761165
2015,72,126,-0.11815867954812366,3.569091333432369,3.687250012980493
2016,67,100,-0.16054957797327596,3.7832721496583157,3.9438217276315912
2017,75,73,-0.1164131820401266,4.211216460273589,4.327629642313717
2018,58,79,-0.10117827835374951,4.073663155132903,4.174841433486652
2019,63,101,-0.05493750542911579,4.3337162898994395,4.388653795328555
2020,82,134,0.02603540586873415,4.34920178628554,4.323166380416805
2021,58,171,0.06392353872129568,4.201565607984835,4.13764206926354
2022,42,85,0.03674742517438562,4.176405074389143,4.139657649214757
2023,49,132,-0.0037188879690520232,4.106778376977317,4.110497264946369
2024,54,79,-0.07470760067038748,4.045895472997484,4.120603073667871
2025,39,97,0.05857307680825152,3.7873579508097457,3.728784874001494
2026,0,24,0.042122263940213144,3.6779967347903457,3.635874470850132
