year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
1999,0,3,0.4298513698397506,4.222072323064617,3.792220953224866
2001,0,6,0.044158898350932674,4.672816946710735,4.628658048359803
2002,0,1,0.41569343935535485,4.846992866970681,4.431299427615326
2003,0,4,0.11239316959546357,4.281510776718629,4.169117607123165
2004,0,32,0.10951699477706839,4.398157321050962,4.288640326273894
2005,0,22,0.17334969388223978,4.431434564652564,4.2580848707703245
2006,0,9,0.11663474430925078,4.6210596487701405,4.5044249044608895
2007,1,11,0.09800494261326914,4.381229677265723,4.283224734652454
2008,0,8,0.17465859555268776,5.231840734186224,5.057182138633537
2009,5,17,0.1820288590229148,4.597758842892632,4.415729983869717
2010,17,75,0.13454162074376136,4.652576026114382,4.51803440537062
2011,16,44,0.043984950945136936,4.5096681403542345,4.465683189409097
2012,49,38,0.0727559260786494,4.020139176572931,3.947383250494281
2013,127,45,0.04463379510386856,3.7465028825664524,3.7018690874625837
2014,173,33,0.10605047027810217,4.303040707160268,4.196990236882167
2015,194,24,0.04770455870757773,3.9895585219811487,3.941853963273571
2016,242,16,0.035471619222336034,4.669876783676649,4.634405164454313
2017,243,49,0.07018892400461503,4.4733554517863885,4.4031665277817735
2018,220,21,-0.04477746532846437,4.565120953627698,4.609898418956162
2019,342,12,0.06872941579991566,3.8019133695870955,3.7331839537871794
2020,486,34,0.06809599429219974,3.851310436741503,3.783214442449303
2021,519,13,0.012600860201718633,4.003053224519468,3.990452364317749
2022,535,9,0.015337973901991356,3.693459080854257,3.6781211069522652
2023,571,5,0.18553183873467294,3.9508131932212356,3.765281354486563
2024,431,22,0.12314632281919767,3.5072598866299405,3.384113563810743
2025,308,4,0.16414352623533168,4.222787141054351,4.05864361481902
2026,0,12,0.1186836728481766,2.9432651630162905,2.824581490168114
