brand,story,launch_year,filing_date,serial_number,mark_identification,nice_classes,dkl,prospective_kl,retrospective_kl,goods_services
MODEL S,Model S launched Jun 2012,2012,20090327,77701341,MODEL S,"012,037",0.2494521463855146,5.18207858969247,4.932626443306955,"electric automobiles [ ; electric automobile parts, namely, motors ] [ providing maintenance and repair services for electric automobiles ]"
MODEL X,Model X launched Sep 2015,2015,20120213,85541117,MODEL X,037,-0.10129322365002569,5.222469340113832,5.323762563763857,providing maintenance and repair services for electric automobiles
MODEL 3,"Model 3 announced Mar 2016, ship Jul 2017",2017,20140605,86301896,MODEL 3,025,-0.04110088254323507,4.591343816549886,4.632444699093121,"Articles of clothing, namely, t-shirts, hats; headgear, namely, sports hats, caps"
POWERWALL,Powerwall announced Apr 2015,2015,20150429,86614639,POWERWALL,037,0.06391162086738778,5.23747912255585,5.173567501688463,"Installation, maintenance and repair and upgrading of wirelessly connected electric battery apparatus, and consulting related thereto, for the storage and discharge of stored electricity for stabilizing and meeting electricity demands and u"
POWERPACK,Powerpack commercial battery 2015,2015,,,,,,,,
MEGAPACK,Megapack announced Jul 2019,2019,20181203,88214528,MEGAPACK,009,0.05603545422811518,6.125863184192688,6.069827729964572,"Batteries; battery systems and devices comprised of inverters, switchgear, power controllers and software for regulating energy cells and modules for use with the operation and performance of energy storage systems; energy storage systems c"
CYBERTRUCK,"Cybertruck unveiled Nov 2019, ship Nov 2023",2023,20191106,88682192,CYBERTRUCK,012,0.06990307038544863,4.153320678904972,4.0834176085195235,"Land vehicles; electric vehicles, namely, automobiles and trucks; trucks; pick-up trucks; automobiles; and structural parts therefor"
AUTOPILOT,Autopilot v1 Oct 2015,2015,,,,,,,,
ROBOTAXI,Robotaxi/Cybercab unveil Oct 2024,2024,20241010,98795389,ROBOTAXI,012,0.0519237742012697,3.51938183237053,3.4674580581692602,"Land vehicles; electric vehicles, namely automobiles; automobiles and structural parts therefor"
CYBERCAB,Robotaxi/Cybercab unveil Oct 2024,2024,20241017,98806788,CYBERCAB,"035,039",-0.04466645752766274,4.9033075721415225,4.947974029669185,"Leasing of motor vehicles; transportation and storage of automobiles; coordinating travel arrangements for individuals and for groups, namely, arranging time-based ride-sharing services for individuals and for groups; vehicle rental service"
