year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
2005,0,3,-0.11970456683778045,5.543410241222848,5.6631148080606275
2008,2,0,,,
2009,6,7,0.021554832321781292,4.353647962266492,4.3320931299447105
2010,24,0,,,
2011,22,0,,,
2012,40,2,-0.10723458231342775,5.569685023280217,5.676919605593644
2013,58,19,0.007065731559871622,5.106801735634723,5.099736004074852
2014,56,3,0.010849689806567161,4.59524568353034,4.584395993723773
2015,36,12,0.3335128797399773,5.822808877233645,5.4892959974936675
2016,33,10,-0.09672103517924499,5.417857321782838,5.514578356962083
2017,42,15,-0.02692712744425103,6.089267466083939,6.11619459352819
2018,53,2,0.3508106663584023,5.638290170508836,5.287479504150434
2019,86,10,0.021928782434137505,4.475622631503996,4.453693849069859
2020,70,2,0.3546761664487119,5.617645291731014,5.262969125282302
2021,63,7,-0.08942833929264726,5.528918636560315,5.618346975852962
2022,57,17,0.03154920064834588,5.340890994840311,5.309341794191965
2023,59,12,0.03283781321084035,4.653259970478829,4.620422157267989
2024,52,21,-0.0026510241757463963,4.53428777114603,4.536938795321777
2025,46,18,0.06878844002763472,4.238991221033089,4.170202781005454
2026,0,12,-0.1012424518523057,4.300830000584608,4.402072452436914
