row_idx,year,n_terms,dkl,survived_5y,total_competitors,live_competitors,share_neighbors_alive
158437,1997,14,-0.20788436637755314,true,0,0,0.0
724077,2013,42,-0.25602857063923423,true,1,0,0.0
426836,2009,15,-0.3085451611427015,true,9,8,0.8888888888888888
12982,1990,3,0.5830321692704894,true,373,353,0.9463806970509383
400515,2009,75,-0.16366039005191624,true,1,1,1.0
582851,2013,79,-0.19992912871976554,false,5,0,0.0
870965,2016,61,-0.15584897242937412,true,2,0,0.0
346900,2007,13,-0.2539968212531063,true,0,0,0.0
436859,2000,151,0.04877785376058119,true,5,5,1.0
731167,2013,78,0.0071568025535508895,true,0,0,0.0
817755,2015,57,0.19305061132020773,false,163,82,0.5030674846625767
1029193,2019,10,0.08442994415316551,true,13,1,0.07692307692307693
472742,2003,31,0.10183103572272412,true,4,4,1.0
599303,2016,425,-0.0254143084717664,false,2,0,0.0
401519,2009,66,0.39123934580219455,false,9,6,0.6666666666666666
903782,2017,17,-0.06162897796178157,false,1,0,0.0
362983,2007,155,-0.07010656056680897,true,4,3,0.75
425497,2009,13,0.1628683297482585,true,25,14,0.56
741680,2013,21,0.11033376049255139,true,0,0,0.0
216854,1999,25,0.19910563617523103,true,0,0,0.0
433912,2010,3,2.34157184076712,true,9,4,0.4444444444444444
1042892,2019,43,-0.1870660371277264,false,168,53,0.31547619047619047
596077,2016,28,0.06502079583807951,false,1,0,0.0
954629,2017,47,0.028535932035773204,false,2,1,0.5
954042,2017,9,-0.041735738269791156,true,1,1,1.0
140629,1996,31,0.21944486168232924,true,0,0,0.0
755245,2013,16,0.0442368719435855,true,0,0,0.0
582862,2013,17,-0.04681045740003942,false,2,1,0.5
49698,1993,10,0.3004262771168351,true,1,1,1.0
318156,2004,25,0.09005421766006005,true,4,1,0.25
54249,1993,3,0.490756715279522,false,12,3,0.25
549582,2003,208,0.1124709804704418,false,4,2,0.5
854425,2016,18,-0.10578290314725347,true,95,62,0.6526315789473685
981143,2018,12,0.04831285362094473,true,1,0,0.0
41330,1992,3,-0.496576525697229,true,1,0,0.0
189370,1998,24,-0.07091484986148267,true,7,7,1.0
944780,2017,12,0.10814920553194263,true,0,0,0.0
44246,1992,5,-0.000809452949714462,true,7,0,0.0
821314,2015,5,-0.11881613404668467,true,26,10,0.38461538461538464
969333,2018,125,0.01712429131530646,true,0,0,0.0
163158,1997,13,0.14248756080968228,true,3,3,1.0
554352,2006,22,-0.1945032159970559,false,0,0,0.0
359849,2007,87,0.009139439089457468,false,0,0,0.0
306883,2003,40,-0.09149143042385877,true,1,1,1.0
689642,2012,44,0.2836609385272215,true,1,0,0.0
