bin,n,dkl_mid,mean_live,mean_total,share_alive,survival_rate
0,1000,-0.32271831963855996,20.083,32.695,0.3784529930339301,0.551
1,1000,-0.1862557221841455,19.996,38.74,0.3065719778818989,0.486
2,1000,-0.12571209082568172,18.463,35.556,0.30664078484202834,0.493
3,1000,-0.0802882411539341,12.895,23.969,0.2801549508514541,0.459
4,1000,-0.04028850066918885,14.273,24.871,0.26854275171884934,0.475
5,1000,-0.0000738938326905385,11.869,22.204,0.27467342119513,0.493
6,1000,0.04128138232349005,10.786,19.976,0.2574123265168632,0.46
7,1000,0.09281642209319141,12.837,22.265,0.2707167644316793,0.484
8,1000,0.16438278072436044,12.775,22.205,0.2832866272412138,0.535
9,1000,0.4097636203402579,31.419,45.375,0.36050309823729154,0.544
