cpc_class,hhi_2010s,n_2010s,n_2020s,log_growth_inv_count
A01,0.0004033220800815,31234.0,25680.0,-0.1957947662438936
A21,0.000847050096431,1719.0,979.0,-0.5629663628523389
A22,0.0013250976050346,1310.0,777.0,-0.5223420658275498
A23,0.0004387588069779,10759.0,8714.0,-0.21081168591652177
A24,0.0010157937333795,2325.0,3308.0,0.3526237381221253
A41,0.0006460290763952,4734.0,4033.0,-0.16025999520056106
A42,0.0013223851697801,1670.0,1527.0,-0.08951860019216841
A43,0.0008932257757169,3404.0,3001.0,-0.12600564425289768
A44,0.0008198847259984,2523.0,1771.0,-0.3539043108582242
A45,0.000851595877471,7745.0,5501.0,-0.3421175799755109
A46,0.0010741986285441,1822.0,1233.0,-0.3904845746555593
A47,0.0006311807774734,30372.0,21429.0,-0.3487759865100422
A61,0.0004467872823656,220159.0,182639.0,-0.18683848562881117
A62,0.0006779739749049,3893.0,3059.0,-0.24109200345955223
A63,0.0005674886315209,26951.0,17855.0,-0.4117368213715844
B01,0.0007045657254121,52323.0,37400.0,-0.3357653405341549
B02,0.0008259158856448,2433.0,1511.0,-0.4763533805107831
B03,0.0014044292984615,2355.0,1260.0,-0.6254290065049944
B04,0.001595548900983,1058.0,641.0,-0.5011061554975746
B05,0.00070972891708,12173.0,7682.0,-0.46034045450374617
B06,0.0020372752772829,1139.0,1239.0,0.08415391818196025
B07,0.0008600926874417,2204.0,1749.0,-0.23122969525420303
B08,0.0009173078125977,4380.0,3031.0,-0.3681561263126887
B09,0.002007733491969,984.0,764.0,-0.253058107885733
B21,0.0006301090914632,8133.0,5410.0,-0.40768076632624795
B22,0.0008970286850785,6854.0,6530.0,-0.04842548016407737
B23,0.0005991543100682,24031.0,16273.0,-0.38983737085239106
B24,0.0010404389196425,6786.0,3642.0,-0.6223286850566221
B25,0.0009368059246079,14405.0,15516.0,0.07429638104122886
B26,0.0006958615557898,4643.0,2919.0,-0.46411961716580696
B27,0.0009253110206779,2039.0,1209.0,-0.5226659199596626
B28,0.000912661862648,2127.0,1576.0,-0.2998225447824128
B29,0.0005496087957751,27132.0,22561.0,-0.18449109119521903
B30,0.001287740234499,1101.0,646.0,-0.533174632940078
B31,0.0011198165898146,1259.0,898.0,-0.3379029657421475
B32,0.0009829877224925,15494.0,11727.0,-0.2785589767307834
B41,0.0006469426036041,19031.0,9634.0,-0.6807707203268614
B42,0.0006781881561049,2735.0,1144.0,-0.8716005429163384
B43,0.0013789141051421,1180.0,543.0,-0.7761603975257749
B44,0.0013774104683195,1452.0,632.0,-0.831807801237884
B60,0.000557255380057,80187.0,69791.0,-0.13885634534380834
B61,0.0007990425112962,4091.0,3450.0,-0.17041520790399317
B62,0.0005365823469261,23669.0,16125.0,-0.3837953123808379
B63,0.0006957329450273,7949.0,5372.0,-0.39184585592998444
B64,0.000308906319182,16622.0,15953.0,-0.041080219811974086
B65,0.0003408531549368,42382.0,26017.0,-0.4879735732873118
B66,0.0005354628319796,7028.0,5423.0,-0.25925300246592714
B67,0.0006988331164155,3276.0,2643.0,-0.21470853036867082
B81,0.0018893666328797,4451.0,2186.0,-0.7110554002793704
C01,0.0014776380686145,14277.0,9303.0,-0.42831292202066146
C02,0.0009474813786138,8900.0,6754.0,-0.27591635477471826
C03,0.0010367249998383,6823.0,4570.0,-0.4007860529271733
C04,0.0006235938538207,8563.0,5354.0,-0.46960665094589427
C05,0.001188813303099,1575.0,1203.0,-0.2694368352850545
C07,0.0007382848942242,113146.0,60655.0,-0.6234769479282123
C08,0.0009273804786845,47270.0,30654.0,-0.433112685228429
C09,0.0011103793484557,35023.0,23205.0,-0.4116372158295963
C10,0.0005466937163194,12471.0,7288.0,-0.5371767889809528
C11,0.0004336752862277,6962.0,3300.0,-0.7465443209168126
C12,0.0007709059950632,59127.0,39870.0,-0.3940635114852033
C21,0.0010765962035591,3607.0,3109.0,-0.14857527084478514
C22,0.0010784246004801,9538.0,6421.0,-0.3957099510641213
C23,0.0015742054755905,17553.0,10251.0,-0.5378496136729443
C25,0.0009938945175306,7098.0,4725.0,-0.4069454932785987
C30,0.0016260354167539,3731.0,1947.0,-0.6503865678489582
D01,0.0014671887967562,3205.0,2169.0,-0.39044585852789604
D02,0.0023144203041809,766.0,538.0,-0.35332360957880693
D03,0.0018027548209366,825.0,709.0,-0.1515278598025535
D04,0.0008553845511416,2476.0,1706.0,-0.37249290575286226
D05,0.0019804314145739,803.0,520.0,-0.4345259023712886
D06,0.0035372477211238,6493.0,4516.0,-0.3630980272389342
D21,0.0004844642090432,4682.0,2327.0,-0.6991454847485643
E01,0.0007026820418353,5118.0,3305.0,-0.4373272644339474
E02,0.0006242968753475,7481.0,5850.0,-0.24592481164650273
E03,0.0009621024527027,4313.0,3170.0,-0.3079021297765169
E04,0.0005250680963867,15815.0,9472.0,-0.5126187786159624
E05,0.0007333790728779,10138.0,7044.0,-0.3641145494161979
E06,0.0006993898454419,4447.0,2807.0,-0.460113414148814
E21,0.0005180716211275,20841.0,17668.0,-0.16516710664457346
F01,0.0003727625746604,27042.0,17751.0,-0.4209493605738995
F02,0.0003523786736908,30313.0,17643.0,-0.5412375592610956
F03,0.0006204919609886,7787.0,5585.0,-0.33237124407368507
F04,0.0006911194165315,18267.0,13237.0,-0.322080214562913
F15,0.0005683731735011,3958.0,2383.0,-0.507378649063769
F16,0.0004316963069017,64184.0,40230.0,-0.467140972489658
F17,0.0011099703381754,2891.0,2033.0,-0.35208992838799935
F21,0.0018951951913373,16740.0,10759.0,-0.4420584514495571
F22,0.0014549705728104,1048.0,568.0,-0.612517446159836
F23,0.0005483614335419,6460.0,3552.0,-0.5981184926645868
F24,0.0011821478900277,12476.0,11617.0,-0.07133725621421905
F25,0.0024739994143425,10063.0,8169.0,-0.20851882859146395
F26,0.0016017797008379,1808.0,871.0,-0.7303345640996189
F27,0.0010212039764393,2062.0,943.0,-0.7823653819434477
F28,0.0008829777516334,7258.0,4961.0,-0.3804969754719667
F41,0.0007338530457032,9442.0,5216.0,-0.5934369974997431
F42,0.0007686008099082,4133.0,2010.0,-0.720868813458611
G01,0.0006498202931183,188938.0,136066.0,-0.3282788567773534
G02,0.0027968754319102,63329.0,42415.0,-0.40084128683921977
G03,0.0013978361647476,37989.0,18055.0,-0.7438739894071601
G04,0.0014295590344091,2931.0,1860.0,-0.4547671740036455
G05,0.0007562085501732,32242.0,27685.0,-0.15237920017887627
G06,0.000720310888366,359945.0,315287.0,-0.13246790687370927
G07,0.0004479378146559,18497.0,11231.0,-0.4989307447915129
G08,0.0007628062961209,23486.0,15852.0,-0.3931088236147009
G09,0.0039834516139925,33553.0,23401.0,-0.36034752170473866
G10,0.0010141428157518,17917.0,15669.0,-0.13406574469548957
G11,0.0023339547007651,39636.0,15888.0,-0.9141736888938361
G16,0.0005212048307825,12986.0,15717.0,0.1908710750078973
G21,0.0014125945988907,5879.0,3045.0,-0.6578857782582576
H01,0.001660742265837,170084.0,110307.0,-0.4330250451336882
H02,0.0011628082054512,66205.0,47024.0,-0.34209787911515865
H03,0.0017736439391039,44243.0,21213.0,-0.7350829655596411
