t1,t2,n_t1,n_t2,overlap,examples
cloud computing,saas,1000,1000,75,"AAJ Computer Services, Inc.; ADVANTAGE SALES & MARKETING LLC; AHMED, BURHAN U.; ALERE HEALTH IMPROVEMENT COMPANY; AT&T INTELLECTUAL PROPERTY II, L.P.; AccessAgility LLC"
social media,saas,1000,1000,29,"ADVANTAGE SALES & MARKETING LLC; AHMED, BURHAN U.; APPLE INC.; APRIMO MARKETING OPERATIONS UK LTD.; Aboomba Inc.; Adapia"
social media,cloud computing,1000,1000,21,"ADVANTAGE SALES & MARKETING LLC; AHMED, BURHAN U.; Answer Cloud; Avaya Inc.; BlueGlass Interactive, Inc.; COPYPRESS LLC"
website,online retail,1000,1000,19,"Bronx Mall Inc.; DOVE, JAY R.; Disney Enterprises, Inc.; Emeny, Steven; Follett College Stores Corporation; I-Work Networks, Inc."
cloud computing,artificial intelligence,1000,1000,14,"Autodesk, Inc.; BARCELONA INSTITUTE OF ARCHITECTURE; CERTONA CORPORATION; COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION; Cognizant Technology Solutions U.S. Corporation; GARTNER, INC."
wireless,streaming,1000,1000,11,"Blundell International Corp.; CISCO TECHNOLOGY, INC.; Ing. C. Olivetti & C., S.p.A.; MEDIAPOINT, INC.; MICROSOFT CORPORATION; Northern Telecom Limited"
online retail,streaming,1000,1000,10,"BLOCKBUSTER L.L.C.; Compaq Information Technologies Group, L.P.; DISNEY ENTERPRISES, INC.; Duck Corporation, The; Jones International, Ltd.; LOTUS DEVELOPMENT CORPORATION"
website,wireless,1000,1000,9,"AT&T Corp.; Ameritech Corporation; Cellular Telecommunications Industry Association; Comcast Corporation; Discovery Communications, Inc.; INTERNATIONAL BUSINESS MACHINES CORPORATION"
website,streaming,1000,1000,9,"CE TRADEMARK, LLC; EMI Christian Music Group, Inc.; Irdeto B.V.; Jim Henson Company, Inc., The; LOTUS DEVELOPMENT CORPORATION; Quad Research"
artificial intelligence,saas,1000,1000,9,"ACCENTURE GLOBAL SOLUTIONS LIMITED; APPLE INC.; CERTONA CORPORATION; DEVONtechnologies, LLC; H2OLAP ltd.; INFOSYS LIMITED"
artificial intelligence,streaming,1000,1000,8,"Blockbuster Inc.; Intend Change Group, Inc; Intend Change Group, Inc.; Irdeto B.V.; Microsoft Corporation; Nippon Denki Kabushiki Kaisha"
wireless,cloud computing,1000,1000,7,"AT&T INTELLECTUAL PROPERTY II, L.P.; CISCO TECHNOLOGY, INC.; Fujitsu Limited; INTERNATIONAL BUSINESS MACHINES CORPORATION; IVANTI, INC.; MOTOROLA SOLUTIONS, INC."
social media,artificial intelligence,1000,1000,7,"APPLE INC.; BLAZENT, INC.; GOOGLE LLC; Honer, Jodi; INFOSYS LIMITED; INTERNATIONAL BUSINESS MACHINES CORPORATION"
cloud computing,mobile app,1000,1000,7,"AT&T INTELLECTUAL PROPERTY II, L.P.; Amazon Technologies, Inc.; Avaya Inc.; DIGITAL MANAGEMENT, LLC; IVANTI, INC.; Reed Elsevier Properties Inc."
cloud computing,streaming,1000,1000,5,"AMAZON TECHNOLOGIES, INC.; British Telecommunications plc; CISCO TECHNOLOGY, INC.; CITRIX SYSTEMS, INC.; Microsoft Corporation"
website,artificial intelligence,1000,1000,4,"Casio Keisanki Kabushiki Kaisha; INFOTRIEVE, INC.; INTERNATIONAL BUSINESS MACHINES CORPORATION; Irdeto B.V."
wireless,online retail,1000,1000,4,"Advance Magazine Publishers Inc.; INTERNATIONAL DATA GROUP, INC.; International Data Group, Inc.; Sony Kabushiki Kaisha"
