Owners appearing in ≥3 different buzzword pioneer pools (rank ≤1000)

  k  owner                                                   buzzwords (rank, year)
   6  INTERNATIONAL BUSINESS MACHINES CORPORATION             artificial intelligence(r122,y1994), wireless(r864,y1994), website(r72,y1996), cloud computing(r37,y2009), social media(r285,y2009), saas(r533,y2010)
   4  International Data Group, Inc.                          wireless(r653,y1993), website(r11,y1995), online retail(r48,y1997), social media(r180,y2009)
   4  AT&T INTELLECTUAL PROPERTY II, L.P.                     wireless(r106,y1978), saas(r401,y2009), cloud computing(r424,y2010), mobile app(r778,y2023)
   4  INFOSYS LIMITED                                         social media(r391,y2009), cloud computing(r93,y2009), saas(r488,y2009), artificial intelligence(r904,y2016)
   3  LOTUS DEVELOPMENT CORPORATION                           streaming(r38,y1997), website(r416,y1998), online retail(r194,y1998)
   3  Irdeto B.V.                                             website(r781,y1998), artificial intelligence(r200,y1998), streaming(r78,y1998)
   3  IVANTI, INC.                                            wireless(r583,y1993), cloud computing(r254,y2010), mobile app(r183,y2016)
   3  CISCO TECHNOLOGY, INC.                                  wireless(r705,y1994), streaming(r481,y2000), cloud computing(r512,y2011)
   3  Sony Kabushiki Kaisha                                   wireless(r962,y1995), online retail(r796,y1999), streaming(r656,y2000)
   3  APPLE INC.                                              social media(r135,y2009), saas(r263,y2009), artificial intelligence(r908,y2016)
   3  ADVANTAGE SALES & MARKETING LLC                         saas(r87,y2008), social media(r450,y2010), cloud computing(r434,y2010)
   3  Thomas Geley Services                                   social media(r458,y2010), cloud computing(r138,y2010), saas(r573,y2010)
   3  Liu Qiu Yan (Twain )                                    social media(r462,y2010), cloud computing(r140,y2010), saas(r575,y2010)
   3  AHMED, BURHAN U.                                        social media(r493,y2010), cloud computing(r171,y2010), saas(r612,y2010)
   3  Avaya Inc.                                              social media(r530,y2010), cloud computing(r800,y2011), mobile app(r259,y2018)
   3  Pari Software Solutions, LLC                            saas(r560,y2010), cloud computing(r123,y2010), social media(r548,y2010)
   3  Hewlett-Packard Development Company, L.P.               saas(r233,y2009), social media(r854,y2010), cloud computing(r619,y2011)
   3  Paul Farkas                                             mobile app(r51,y2014), artificial intelligence(r651,y2014), blockchain(r510,y2018)
   3  British Telecommunications plc                          streaming(r770,y2000), cloud computing(r7,y2008), saas(r69,y2008)
   3  Microsoft Corporation                                   streaming(r785,y2001), cloud computing(r10,y2008), artificial intelligence(r646,y2014)
   3  CERTONA CORPORATION                                     cloud computing(r97,y2009), artificial intelligence(r511,y2009), saas(r493,y2009)
   3  H2OLAP ltd.                                             cloud computing(r160,y2010), saas(r600,y2010), artificial intelligence(r538,y2011)
   3  CITRIX SYSTEMS, INC.                                    streaming(r124,y1999), cloud computing(r218,y2010), saas(r703,y2010)
