token,year,n,n_pass5,pass5
field,1905,1,0,0.0
field,1914,1,0,0.0
field,1921,2,1,0.5
field,1922,4,0,0.0
field,1924,1,0,0.0
field,1926,1,0,0.0
field,1927,1,0,0.0
field,1928,1,0,0.0
field,1929,2,0,0.0
field,1930,3,0,0.0
field,1932,5,0,0.0
field,1934,4,0,0.0
field,1935,3,0,0.0
field,1936,2,0,0.0
field,1938,1,0,0.0
field,1939,3,0,0.0
field,1941,2,0,0.0
field,1942,10,0,0.0
field,1943,1,0,0.0
field,1944,3,0,0.0
field,1945,2,0,0.0
field,1946,3,0,0.0
field,1947,12,0,0.0
field,1948,24,0,0.0
field,1949,6,0,0.0
field,1951,7,0,0.0
field,1952,7,0,0.0
field,1953,5,0,0.0
field,1954,15,0,0.0
field,1955,25,0,0.0
field,1956,7,0,0.0
field,1957,17,11,0.6470588235294118
field,1958,10,0,0.0
field,1959,21,0,0.0
field,1960,23,0,0.0
field,1961,34,0,0.0
field,1962,25,0,0.0
field,1963,33,0,0.0
field,1964,26,0,0.0
field,1965,53,0,0.0
field,1966,67,0,0.0
field,1967,74,0,0.0
field,1968,58,0,0.0
field,1969,81,0,0.0
field,1970,64,1,0.015625
field,1971,74,0,0.0
field,1972,96,0,0.0
field,1973,115,0,0.0
field,1974,155,1,0.0064516129032258064
field,1975,218,0,0.0
field,1976,364,1,0.0027472527472527475
field,1977,446,4,0.008968609865470852
field,1978,449,2,0.004454342984409799
field,1979,618,6,0.009708737864077669
field,1980,942,52,0.055201698513800426
field,1981,1179,76,0.06446140797285835
field,1982,1633,154,0.09430496019595835
field,1983,1309,215,0.16424751718869365
field,1984,1484,215,0.14487870619946092
field,1985,1637,250,0.15271838729383017
field,1986,1602,207,0.12921348314606743
field,1987,2131,256,0.12013139371187236
field,1988,2394,287,0.11988304093567251
field,1989,3329,561,0.1685190747972364
field,1990,5516,1692,0.3067440174039159
field,1991,4526,1319,0.291427308882015
field,1992,4504,1380,0.3063943161634103
field,1993,5228,1738,0.3324407039020658
field,1994,6012,1982,0.3296739853626081
field,1995,7491,2642,0.3526898945401148
field,1996,9026,3198,0.35430977177044093
field,1997,10967,4275,0.3898057809793015
field,1998,13669,5447,0.3984929402297169
field,1999,24283,11727,0.4829304451674011
field,2000,32198,16856,0.5235107770668985
field,2001,20575,8425,0.4094775212636695
field,2002,16941,6056,0.3574759459299923
field,2003,16747,5984,0.3573177285483967
field,2004,19500,6144,0.3150769230769231
field,2005,24547,8386,0.3416303417932945
field,2006,31060,11390,0.366709594333548
field,2007,38355,14448,0.37669143527571375
field,2008,36368,13261,0.3646337439507259
field,2009,33098,10736,0.3243700525711523
field,2010,34976,10689,0.30560956084172003
field,2011,40108,11993,0.29901765233868555
field,2012,42569,12205,0.28671098686837837
field,2013,45054,12823,0.28461401873307585
field,2014,48714,14483,0.2973067290717248
field,2015,55742,17341,0.31109396864124
field,2016,55721,17882,0.32092029934854005
field,2017,60871,19555,0.32125314189022686
field,2018,64984,21691,0.33378985596454513
field,2019,67915,23567,0.34700728852241775
field,2020,81785,29350,0.3588677630372318
field,2021,91654,34258,0.3737752853121522
field,2022,87987,33319,0.37868094150272197
field,2023,84455,30608,0.362417855662779
field,2024,87858,42393,0.48251724373420746
field,2025,104492,88669,0.8485721394939325
field,2026,27979,27978,0.9999642589084671
computer,1948,1,0,0.0
computer,1952,1,0,0.0
computer,1954,1,0,0.0
computer,1955,3,0,0.0
computer,1958,2,0,0.0
computer,1960,12,0,0.0
computer,1961,12,0,0.0
computer,1962,5,0,0.0
computer,1963,7,0,0.0
computer,1964,8,0,0.0
computer,1965,7,0,0.0
computer,1966,23,0,0.0
computer,1967,25,2,0.08
computer,1968,58,1,0.017241379310344827
computer,1969,124,2,0.016129032258064516
computer,1970,132,0,0.0
computer,1971,64,0,0.0
computer,1972,111,1,0.009009009009009009
computer,1973,99,0,0.0
computer,1974,122,0,0.0
computer,1975,109,0,0.0
computer,1976,188,0,0.0
computer,1977,270,5,0.018518518518518517
computer,1978,336,12,0.03571428571428571
computer,1979,496,16,0.03225806451612903
computer,1980,647,103,0.15919629057187018
