cls,class_name,mean_share_of_total,slope_share_per_year,slope_share_of_total_per_year,share_change_total,share_first,share_last,w_first,w_last
21,Household Utensils,0.020084601691207734,0.0049846252427438046,0.00046078440274131263,0.17161494435732522,0.45601851851851855,0.6276334628758438,0.01813627394729845,0.035235824409463004
26,"Trim, Lace & Notions",0.0041982522556719346,0.004272208697119193,0.00007604261632887555,0.05200009883131973,0.5037037037037037,0.5557038025350234,0.005667585608530766,0.00720235914499012
25,"Clothing, Footwear & Headwear",0.07281495115811093,0.004035146153070472,0.000409052792391917,0.09391118661916797,0.5423285743012266,0.6362397609203946,0.06959235365734197,0.07757430886300982
3,Cosmetics & Cleaning,0.03293971256851149,0.003903213975094273,-0.00004194585420905008,0.14724328620632787,0.39059080962800874,0.5378340958343366,0.038371653675534224,0.03990846901820409
34,Tobacco & Smokers' Articles,0.004349494971230573,0.003241174220430038,0.00005980048635366813,0.04063895328033351,0.41842105263157897,0.4590600059119125,0.0053177346450412125,0.004063639257421877
27,Carpets & Wall Hangings,0.0032243877431689973,0.003094015675366216,-9.214121577902607e-6,0.02239192533063228,0.473551637279597,0.49594356261022926,0.005555633300214109,0.0034053849526429272
30,"Coffee, Tea, Bakery & Spices",0.027774088787990536,0.0030771977971230393,-0.00036395660397909875,0.09203911615547589,0.46570972886762363,0.5577488450230995,0.035097048657272,0.022880343061002638
8,Hand Tools,0.007019725932962666,0.0030644193407679946,0.0000224740236342039,0.0867152161751778,0.4636627906976744,0.5503780068728522,0.00962789851523251,0.008738686254136612
24,Textiles & Bedding,0.009340740960707118,0.002966166770253952,0.0000706327145527367,0.10240239750122071,0.44015444015444016,0.5425568376556609,0.010873367945255322,0.010514050966660861
4,Lubricants & Fuels,0.004423629564895877,0.0029529644619118566,-0.000010416395098515843,0.09802434539408494,0.42788461538461536,0.5259089607787003,0.00582152003246617,0.004195770595972396
28,"Toys, Games & Sporting Goods",0.03760256347008739,0.00280965750586812,-0.0005286304851466811,0.09052283843501069,0.45876145515134686,0.5492842935863576,0.05039253278103528,0.03683941838187158
18,Leather & Luggage,0.013653927542904166,0.0026165224828050815,0.00020785139207425398,0.0057177381957271844,0.5522755227552275,0.5579932609509547,0.011377153332680278,0.016041945694019857
11,"Lighting, HVAC & Appliances",0.018243492228771016,0.0025969215158286258,0.00011848175786860952,0.044222046625416234,0.4871621621621622,0.5313842087875784,0.020711177038581566,0.021816085188677545
5,Pharmaceuticals,0.03549099550383998,0.002546710208927131,0.00002079091664522232,0.13274665303107624,0.32239965472593873,0.455146307757015,0.03242418729621181,0.03998294304538712
2,Paints & Coatings,0.004096897683218697,0.0022680193477939235,-0.00010664875444652907,0.04227193571455862,0.4157509157509158,0.4580228514654744,0.007640745042611847,0.002418003495474502
16,"Paper, Print & Office",0.051949661118478783,0.0021633152770248565,-0.0015266279894302847,0.08244005496815021,0.5286408793067005,0.6110809342748507,0.0662057963307631,0.030959573816373476
15,Musical Instruments,0.0018715859237170213,0.002129201229852786,-0.00001598466566219462,0.05566575840145327,0.512,0.5676657584014533,0.0034985096348955345,0.001322514579492015
23,Yarns & Threads,0.0008996700276900139,0.0020622794707312537,-0.000021202341652088027,0.03128200751109589,0.5247524752475248,0.5560344827586207,0.002826795784995592,0.0005573540098858266
14,Jewelry & Watches,0.013895969455872789,0.001652717917264571,0.000020428815364641125,0.041043475222536596,0.5617352614015573,0.6027787366240939,0.012580640647084342,0.013919435919303788
20,Furniture,0.01861392823343703,0.0011715511927053428,0.000028955645014573254,0.04455712534158207,0.5616710875331565,0.6062282128747386,0.021103010117689863,0.025843688626494735
10,Medical Devices,0.01825950221878521,0.0010459563534961835,-0.00003335821736995763,-0.0027125547794586424,0.474036850921273,0.47132429614181437,0.016708882016261074,0.017279175500447445
22,"Ropes, Tents & Textiles (raw)",0.0026060041636851317,0.0009093403970833447,8.998278032475542e-7,0.03866302418261536,0.48348348348348347,0.5221465076660988,0.004660014833680852,0.002820403481060174
12,Vehicles,0.014666745549138932,0.0008062468106189813,-0.00012080546271657516,-0.010151406382562178,0.5415584415584416,0.5314070351758794,0.021550819350956492,0.01625455702968751
9,Software & Electronics,0.11723736968974377,0.0005965396073624089,-0.0011309053254805464,-0.000589356974004307,0.531173294059892,0.5305839370858877,0.11402342602051527,0.09699040846601521
36,Insurance & Financial,0.038019506690089654,0.00026877749161897247,-0.00009803536022472692,0.017866224291889887,0.53628023352794,0.5541464578198299,0.033557704417917965,0.030214833544543275
6,Common Metals,0.010608349143548476,0.0002355925355884444,-0.00015255517428352605,0.011663823780424964,0.5179039301310043,0.5295677539114293,0.01602317412782155,0.009059405048618326
29,"Meat, Dairy & Prepared Foods",0.016781876925235115,0.00022590897085097113,-0.00032221946322193347,0.0020188069350572935,0.46887550200803213,0.4708943089430894,0.02787612477084762,0.01108101452844127
