year,bfs_ba,bfs_hba,uspto_debuts,ratio_to_ba,ratio_to_hba
2005,2485100.0,1471866.0,106841,0.042992636111222886,0.07258880903560515
2006,2615834.0,1542329.0,112964,0.04318469749991781,0.07324247939317746
2007,2633956.0,1489333.0,124930,0.04743055692653939,0.08388318797743688
2008,2559006.0,1264549.0,119538,0.04671266890347268,0.09453014473934976
2009,2406259.0,1154092.0,111471,0.04632543712044298,0.0965876203976806
2010,2473934.0,1151984.0,115988,0.04688403166778095,0.10068542618647482
2011,2550495.0,1177903.0,126603,0.049638599565966605,0.1074816856736081
2012,2550198.0,1153389.0,129841,0.05091408588666449,0.11257346827479714
2013,2591539.0,1157485.0,134367,0.0518483418540103,0.11608530564110982
2014,2691040.0,1178484.0,143610,0.05336598489803199,0.12185994888348081
2015,2795897.0,1204860.0,162915,0.05826931392680059,0.1352148797370649
2016,2948338.0,1225243.0,178211,0.060444562326300445,0.14544951491255204
2017,3182674.0,1259781.0,207729,0.06526870172691265,0.16489294567865367
2018,3486829.0,1330929.0,215386,0.061771311412174214,0.16183132233199518
2019,3498990.0,1316191.0,229536,0.06560064475748716,0.17439414188366278
2020,4356498.0,1518956.0,338715,0.0777493757600715,0.22299197606777285
2021,5390816.0,1841954.0,341174,0.06328800686204092,0.18522395238969053
2022,5062563.0,1722399.0,265455,0.05243490303231782,0.1541193416856373
2023,5469302.0,1848540.0,276279,0.05051448978315697,0.14945795059885097
2024,5224176.0,1715458.0,302582,0.057919564731356676,0.1763855483491872
2025,5671836.0,1708842.0,315770,0.055673330470062954,0.18478595446507048
