year,n_filings,n_debuts,share,cls,class_name
1985,1716,603,0.3513986013986014,001,Chemicals & Industrial
1986,1739,597,0.3433007475560667,001,Chemicals & Industrial
1987,1795,612,0.34094707520891365,001,Chemicals & Industrial
1988,1947,656,0.33692860811504877,001,Chemicals & Industrial
1989,2279,754,0.330846862659061,001,Chemicals & Industrial
1990,2855,1305,0.45709281961471104,001,Chemicals & Industrial
1991,2653,1083,0.4082171127026008,001,Chemicals & Industrial
1992,2554,960,0.37588097102584184,001,Chemicals & Industrial
1993,2785,1020,0.36624775583482944,001,Chemicals & Industrial
1994,2752,997,0.36228197674418605,001,Chemicals & Industrial
1995,3094,1187,0.3836457659987072,001,Chemicals & Industrial
1996,2982,1086,0.3641851106639839,001,Chemicals & Industrial
1997,3431,1247,0.36345088895365785,001,Chemicals & Industrial
1998,3713,1367,0.3681659035820092,001,Chemicals & Industrial
1999,3972,1528,0.38469284994964753,001,Chemicals & Industrial
2000,4032,1566,0.38839285714285715,001,Chemicals & Industrial
2001,4115,1474,0.35820170109356014,001,Chemicals & Industrial
2002,3855,1333,0.3457846952010376,001,Chemicals & Industrial
2003,3934,1378,0.35027961362480936,001,Chemicals & Industrial
2004,4196,1468,0.34985700667302194,001,Chemicals & Industrial
2005,4263,1579,0.3703964344358433,001,Chemicals & Industrial
2006,4502,1627,0.3613949355841848,001,Chemicals & Industrial
2007,4810,1764,0.36673596673596676,001,Chemicals & Industrial
2008,4947,1673,0.3381847584394583,001,Chemicals & Industrial
2009,4412,1564,0.35448776065276516,001,Chemicals & Industrial
2010,4821,1733,0.35946898983613357,001,Chemicals & Industrial
2011,5120,1826,0.356640625,001,Chemicals & Industrial
2012,5170,1842,0.3562862669245648,001,Chemicals & Industrial
2013,5177,1810,0.34962333397720685,001,Chemicals & Industrial
2014,5778,2061,0.35669781931464173,001,Chemicals & Industrial
2015,5798,2068,0.35667471541911006,001,Chemicals & Industrial
2016,5726,2036,0.3555710792874607,001,Chemicals & Industrial
