year,n_filings,n_debuts,share
1985,71459,37705,0.5276452231349446
1986,70321,35668,0.5072169053341107
1987,73830,37150,0.5031829879452797
1988,78456,38533,0.49114153155909046
1989,94786,45803,0.48322537083535544
1990,127856,74320,0.5812789388061569
1991,122904,62873,0.5115618694265442
1992,128530,61572,0.4790476931455691
1993,151381,72343,0.47788692107992414
1994,161410,75499,0.46774673192491173
1995,189553,89603,0.47270684188591056
1996,217000,100657,0.46385714285714286
1997,235476,108847,0.4622424365965109
1998,247542,117623,0.4751638105856784
1999,333804,170988,0.5122407161088542
2000,374712,192962,0.5149608232455859
2001,282646,130434,0.4614747776370442
2002,270086,126881,0.4697799960012737
2003,281253,133513,0.47470782533875194
2004,318014,153277,0.4819819253240423
2005,343629,165660,0.48208969557284165
2006,367975,179632,0.4881635980705211
2007,406201,199863,0.492029807902984
2008,389073,188163,0.48361875534925325
2009,351851,171122,0.4863479143160031
2010,374805,180930,0.48273102013046787
2011,410658,198998,0.48458327854321603
2012,421432,202679,0.4809293076937679
2013,439917,212395,0.4828069840447175
2014,466090,227597,0.48831127035551075
2015,513671,260461,0.507058019627349
2016,543586,280898,0.5167498795038872
2017,610091,322188,0.528098267307664
2018,637483,335741,0.5266665934621002
2019,679176,362618,0.5339087364688976
2020,852788,489744,0.5742857544899788
2021,888756,505566,0.568846792595493
2022,757821,408171,0.5386113607303044
2023,743882,411978,0.5538217082816899
2024,793246,441429,0.5564843692877115
2025,832505,469199,0.5635990174233187
