year,total_filings,debut_count,share,cls,class_name,n_ipo_events_in_year,ipo_treat
2005,4263,1579,0.3703964344358433,001,Chemicals & Industrial,0,0
2006,4502,1627,0.3613949355841848,001,Chemicals & Industrial,0,0
2007,4810,1764,0.36673596673596676,001,Chemicals & Industrial,0,0
2008,4947,1673,0.3381847584394583,001,Chemicals & Industrial,0,0
2009,4412,1564,0.35448776065276516,001,Chemicals & Industrial,0,0
2010,4821,1733,0.35946898983613357,001,Chemicals & Industrial,0,0
2011,5120,1826,0.356640625,001,Chemicals & Industrial,0,0
2012,5170,1842,0.3562862669245648,001,Chemicals & Industrial,4,1
2013,5177,1810,0.34962333397720685,001,Chemicals & Industrial,1,1
2014,5778,2061,0.35669781931464173,001,Chemicals & Industrial,1,1
2015,5798,2068,0.35667471541911006,001,Chemicals & Industrial,3,1
2016,5726,2036,0.3555710792874607,001,Chemicals & Industrial,0,0
2017,6280,2183,0.3476114649681529,001,Chemicals & Industrial,0,0
2018,6018,2074,0.3446327683615819,001,Chemicals & Industrial,1,1
2019,6967,2538,0.3642887900100474,001,Chemicals & Industrial,1,1
2020,7276,2516,0.34579439252336447,001,Chemicals & Industrial,1,1
2021,7455,2661,0.35694164989939636,001,Chemicals & Industrial,7,1
2022,6838,2409,0.35229599298040365,001,Chemicals & Industrial,0,0
2023,6649,2325,0.3496766431042262,001,Chemicals & Industrial,0,0
2024,6809,2493,0.36613305918637096,001,Chemicals & Industrial,0,0
2025,6834,2416,0.35352648522095403,001,Chemicals & Industrial,0,0
2005,1441,518,0.35947258848022207,002,Paints & Coatings,0,0
2006,1353,525,0.38802660753880264,002,Paints & Coatings,0,0
2007,1451,555,0.3824948311509304,002,Paints & Coatings,0,0
2008,1469,504,0.3430905377808033,002,Paints & Coatings,0,0
2009,1220,434,0.3557377049180328,002,Paints & Coatings,0,0
2010,1316,509,0.38677811550151975,002,Paints & Coatings,0,0
2011,1467,550,0.37491479209270623,002,Paints & Coatings,0,0
2012,1308,467,0.3570336391437309,002,Paints & Coatings,0,0
2013,1346,463,0.3439821693907875,002,Paints & Coatings,0,0
2014,1595,546,0.34231974921630093,002,Paints & Coatings,0,0
2015,1590,625,0.39308176100628933,002,Paints & Coatings,0,0
2016,1623,682,0.42020948860135554,002,Paints & Coatings,1,1
2017,1746,749,0.4289805269186712,002,Paints & Coatings,0,0
2018,1668,702,0.420863309352518,002,Paints & Coatings,0,0
2019,2072,1040,0.5019305019305019,002,Paints & Coatings,0,0
2020,2190,958,0.4374429223744292,002,Paints & Coatings,0,0
2021,2158,1042,0.48285449490268767,002,Paints & Coatings,0,0
2022,1743,810,0.46471600688468157,002,Paints & Coatings,0,0
2023,1888,856,0.4533898305084746,002,Paints & Coatings,0,0
2024,2004,934,0.4660678642714571,002,Paints & Coatings,0,0
2025,2013,922,0.4580228514654744,002,Paints & Coatings,0,0
2005,12113,4164,0.3437628993643193,003,Cosmetics & Cleaning,0,0
2006,11728,4299,0.36655866302864937,003,Cosmetics & Cleaning,0,0
2007,12638,4726,0.37395157461623674,003,Cosmetics & Cleaning,0,0
2008,12026,4337,0.3606352902045568,003,Cosmetics & Cleaning,0,0
2009,10868,4072,0.374677953625322,003,Cosmetics & Cleaning,0,0
2010,11468,4206,0.36675967910708057,003,Cosmetics & Cleaning,0,0
2011,12351,4555,0.36879604890292284,003,Cosmetics & Cleaning,0,0
2012,12618,4810,0.3812014582342685,003,Cosmetics & Cleaning,2,1
2013,13096,4910,0.3749236408063531,003,Cosmetics & Cleaning,2,1
2014,13915,5369,0.3858426158821416,003,Cosmetics & Cleaning,0,0
2015,15359,6377,0.4151963018425679,003,Cosmetics & Cleaning,0,0
2016,16385,7148,0.43625267012511443,003,Cosmetics & Cleaning,1,1
2017,19431,9104,0.46852966908548194,003,Cosmetics & Cleaning,0,0
2018,22309,10614,0.4757721099107983,003,Cosmetics & Cleaning,0,0
2019,25522,12819,0.5022725491732623,003,Cosmetics & Cleaning,2,1
2020,33800,19283,0.5705029585798816,003,Cosmetics & Cleaning,0,0
2021,29229,15990,0.5470594272811249,003,Cosmetics & Cleaning,4,1
2022,22580,11571,0.512444641275465,003,Cosmetics & Cleaning,0,0
2023,23879,12685,0.5312199003308347,003,Cosmetics & Cleaning,0,0
2024,29337,15759,0.5371714899273954,003,Cosmetics & Cleaning,0,0
2025,33224,17869,0.5378340958343366,003,Cosmetics & Cleaning,0,0
2005,1514,626,0.4134742404227213,004,Lubricants & Fuels,0,0
2006,1683,788,0.4682115270350565,004,Lubricants & Fuels,0,0
2007,1691,768,0.4541691306918983,004,Lubricants & Fuels,0,0
2008,1780,752,0.42247191011235957,004,Lubricants & Fuels,0,0
2009,1566,659,0.42081736909323114,004,Lubricants & Fuels,0,0
2010,1667,724,0.43431313737252547,004,Lubricants & Fuels,0,0
2011,1830,723,0.3950819672131147,004,Lubricants & Fuels,0,0
2012,1630,675,0.41411042944785276,004,Lubricants & Fuels,0,0
2013,1696,735,0.43337264150943394,004,Lubricants & Fuels,0,0
2014,1894,770,0.4065469904963041,004,Lubricants & Fuels,1,1
2015,1958,844,0.4310520939734423,004,Lubricants & Fuels,0,0
2016,2145,941,0.4386946386946387,004,Lubricants & Fuels,0,0
2017,2378,1094,0.4600504625735913,004,Lubricants & Fuels,0,0
2018,2420,1149,0.47479338842975205,004,Lubricants & Fuels,0,0
2019,2879,1423,0.49426884334838483,004,Lubricants & Fuels,0,0
2020,3847,2163,0.5622563036132051,004,Lubricants & Fuels,0,0
2021,4721,2724,0.576996399067994,004,Lubricants & Fuels,1,1
2022,3721,2014,0.541252351518409,004,Lubricants & Fuels,0,0
2023,3762,2064,0.5486443381180224,004,Lubricants & Fuels,0,0
2024,3688,1895,0.5138286334056399,004,Lubricants & Fuels,0,0
2025,3493,1837,0.5259089607787003,004,Lubricants & Fuels,0,0
2005,13196,4128,0.3128220672931191,005,Pharmaceuticals,0,0
2006,14107,4401,0.3119727794711845,005,Pharmaceuticals,0,0
2007,14540,4790,0.3294360385144429,005,Pharmaceuticals,0,0
2008,14590,4586,0.31432488005483206,005,Pharmaceuticals,0,0
2009,13999,4428,0.3163083077362669,005,Pharmaceuticals,0,0
2010,14627,4692,0.32077664592876187,005,Pharmaceuticals,0,0
2011,15566,5081,0.3264165488886034,005,Pharmaceuticals,0,0
2012,14937,4864,0.325634330856263,005,Pharmaceuticals,11,1
2013,15863,5202,0.3279329256761016,005,Pharmaceuticals,11,1
2014,16592,5516,0.3324493731918997,005,Pharmaceuticals,14,1
