cls,class_name,owner_name,ipo_fy,n_filings_5y
001,Chemicals & Industrial,BIOAMBER INC.,2013,8
001,Chemicals & Industrial,"Bellicum Pharmaceuticals, Inc.",2015,5
001,Chemicals & Industrial,Celularity Inc.,2019,6
001,Chemicals & Industrial,Compass Therapeutics LLC,2018,7
001,Chemicals & Industrial,"Cytek Biosciences, Inc.",2021,7
001,Chemicals & Industrial,"Eco Building Products, Inc.",2012,5
001,Chemicals & Industrial,"Forma Therapeutics, Inc.",2020,7
001,Chemicals & Industrial,"Grove, Inc.",2021,6
001,Chemicals & Industrial,INSTIL BIO INC.,2021,5
001,Chemicals & Industrial,"NANTKWEST, INC.",2015,9
001,Chemicals & Industrial,"Nautilus Biotechnology, Inc.",2021,7
001,Chemicals & Industrial,Neptune Wellness Solutions Inc.,2021,9
001,Chemicals & Industrial,"New Energy Technologies, Inc.",2012,6
001,Chemicals & Industrial,"Organovo, Inc",2012,11
001,Chemicals & Industrial,"Prometheus Biosciences, Inc.",2021,5
001,Chemicals & Industrial,"SOLARWINDOW TECHNOLOGIES, INC.",2012,8
001,Chemicals & Industrial,"Singular Genomics Systems, Inc.",2021,10
001,Chemicals & Industrial,"T2 Biosystems, Inc.",2014,14
001,Chemicals & Industrial,"Zero Gravity Solutions, Inc.",2015,9
002,Paints & Coatings,Axalta Coating Systems IP Co. LLC,2016,23
003,Cosmetics & Cleaning,Bumble Holding Limited,2021,10
003,Cosmetics & Cleaning,CRONOS GROUP INC.,2019,9
003,Cosmetics & Cleaning,Canopy Growth Corporation,2019,7
003,Cosmetics & Cleaning,"Geo Management, Inc.",2016,8
003,Cosmetics & Cleaning,"Grove Collaborative, Inc.",2021,29
003,Cosmetics & Cleaning,"Immudyne, Inc.",2013,7
003,Cosmetics & Cleaning,"Kythera Biopharmaceuticals, Inc.",2012,12
003,Cosmetics & Cleaning,Neptune Wellness Solutions Inc.,2021,18
003,Cosmetics & Cleaning,Nextcell Medical Company,2012,6
003,Cosmetics & Cleaning,"Olaplex, Inc.",2021,5
003,Cosmetics & Cleaning,"Pura Naturals, Inc.",2013,5
004,Lubricants & Fuels,Bumble Holding Limited,2021,7
004,Lubricants & Fuels,California Resources Corporation,2014,5
005,Pharmaceuticals,AFT Pharmaceuticals Limited,2020,5
005,Pharmaceuticals,"ARATANA THERAPEUTICS, INC.",2013,8
005,Pharmaceuticals,AbbVie Inc.,2013,47
005,Pharmaceuticals,"Aclaris Therapeutics, Inc.",2015,10
005,Pharmaceuticals,Alector LLC,2019,5
005,Pharmaceuticals,"Allogene Therapeutics, Inc.",2018,12
005,Pharmaceuticals,"Amylyx Pharmaceuticals, Inc.",2022,6
005,Pharmaceuticals,"Animal Pharmaceuticals, Inc.",2018,5
005,Pharmaceuticals,"Aprea Therapeutics, Inc.",2019,5
005,Pharmaceuticals,"Aquestive Therapeutics, Inc.",2018,18
005,Pharmaceuticals,"Arcutis Biotherapeutics, Inc.",2020,9
005,Pharmaceuticals,"Atara Biotherapeutics, Inc.",2014,7
005,Pharmaceuticals,"Atea Pharmaceuticals, Inc.",2020,5
005,Pharmaceuticals,"Athenex, Inc.",2017,14
005,Pharmaceuticals,"Aucta Pharmaceuticals, Inc.",2020,5
005,Pharmaceuticals,"Audentes Therapeutics, Inc.",2016,5
