owner_name,cik,first_year,last_year,n_filings,ipo_fy
"10X Genomics, Inc.",1770787,2015,2023,44,2019
1347 Capital LLC,1606163,2014,2014,2,2015
1606 Corp.,1877461,2021,2022,8,2021
180 Life Sciences Corp.,1690080,2022,2022,8,2017
1847 Goedeker Inc.,1810140,2022,2022,11,2021
"1895 Bancorp of Wisconsin, Inc.",1751692,2019,2019,1,2018
"1Life Healthcare, Inc.",1404123,2014,2022,12,2019
"1PM Industries, Inc.",859747,2015,2015,4,2015
"21ST CENTURY ONCOLOGY, LLC",1503518,2011,2011,6,2013
"2seventy bio, Inc.",1860782,2021,2022,16,2021
"2U, Inc.",1459417,2012,2019,28,2014
"30DC, Inc.",1118974,2012,2015,3,2012
"3D MakerJet, Inc.",1458023,2014,2014,2,2013
4D MOLECULAR THERAPEUTICS INC.,1650648,2022,2025,5,2020
"4Front Ventures, Inc.",1783875,2016,2016,3,2020
"800 Commerce, Inc.",1558465,2012,2012,5,2013
8point3 Energy Partners LP,1635581,2015,2015,3,2015
"9 Meters Biopharma, Inc.",1551986,2020,2023,8,2016
a.k.a. Brands Holding Corp.,1865107,2024,2024,1,2021
"Abacus Life, Inc.",1814287,2023,2023,3,2021
AbbVie Inc.,1551152,2010,2026,247,2013
ABCELLERA BIOLOGICS INC.,1703057,2016,2023,8,2021
Abpro Corporation,1893219,2017,2017,7,2022
ABSCI CORPORATION,1672688,2018,2025,17,2021
"Absolute Life Solutions, Inc.",1421538,2010,2012,3,2012
"Acacia Communications, Inc.",1651235,2016,2021,4,2016
"Accelerate Diagnostics, Inc.",727207,2014,2024,21,2012
Acceleron Pharma Inc.,1280600,2019,2021,6,2013
"Aclaris Therapeutics, Inc.",1557746,2013,2023,41,2015
"ACOLOGY, INC.",1096950,2013,2013,1,2014
"Acrivon Therapeutics, Inc.",1781174,2023,2025,13,2022
"ACRO BIOMEDICAL CO., LTD.",1622996,2016,2026,14,2016
"Actavis, Inc.",1578845,2013,2014,4,2013
"Acumen Pharmaceuticals, Inc.",1576885,2025,2026,6,2021
"Acurx Pharmaceuticals, Inc.",1736243,2021,2025,2,2021
"Adagio Therapeutics, Inc.",1832038,2020,2020,4,2021
"Adamas Pharmaceuticals, Inc.",1328143,2009,2013,7,2014
AdaptHealth LLC,1725255,2024,2026,17,2018
ADB International,1563536,2025,2025,2,2012
Adeia Inc.,1803696,2025,2025,2,2020
Adesto Technologies Corporation,1395848,2012,2019,3,2015
Adit Edtech Acquisition Corp.,1830029,2020,2020,1,2021
"Aditx Therapeutics, Inc.",1726711,2020,2020,6,2020
"ADITXT, INC.",1726711,2020,2021,12,2020
"ADMA Biologics, Inc.",1368514,2015,2016,3,2012
"Adorbs, Inc.",1726822,2018,2018,2,2018
"ADS Waste Holdings, Inc.",1585790,2012,2015,15,2013
"Aduro Biotech, Inc.",1435049,2015,2017,7,2015
Advent Technologies Inc.,1744494,2021,2022,5,2019
"Adverum Biotechnologies, Inc.",1501756,2016,2024,12,2014
"Aeglea BioTherapeutics, Inc.",1636282,2019,2020,4,2016
"AELUMA, INC.",1828805,2021,2021,1,2021
"AEON Biopharma, Inc.",1837607,2019,2019,3,2021
Aeon Global Health Corp.,885074,2016,2020,5,2012
Aerkomm Inc,1590496,2019,2020,2,2013
"AEYE, Inc.",1818644,2020,2026,12,2020
"Aftermaster, Inc.",836809,2016,2019,8,2012
Agentix LLC,1603345,2025,2025,4,2015
"AgeX Therapeutics, Inc.",1708599,2018,2022,11,2018
"AgileThought, LLC",1790625,2019,2019,6,2020
"AGILON HEALTH, INC.",1831097,2016,2024,6,2021
"Agios Pharmaceuticals, Inc.",1439222,2010,2025,79,2013
Agriforce Growing Systems Ltd.,1826397,2019,2023,42,2021
Agrify Corporation,1800637,2019,2023,19,2021
AGRO CAPITAL MANAGEMENT CORP,1598323,2021,2021,1,2014
"Aimmune Therapeutics, Inc.",1631650,2017,2018,10,2015
Airborne Wireless Network,1537258,2017,2018,2,2013
Airgain Incorporated,1272842,2016,2019,18,2016
"AIRSHIP AI HOLDINGS, INC.",1842566,2018,2018,2,2021
AKARI THERAPEUTICS PLC,1541157,2015,2015,2,2014
"AKCEA THERAPEUTICS, INC.",1662524,2014,2017,6,2017
"Akebia Therapeutics, Inc.",1517022,2014,2023,18,2014
"Akero Therapeutics, Inc.",1744659,2018,2018,4,2019
"Akouos, Inc.",1722271,2020,2025,19,2020
AKOUSTIS TECHNOLOGIES CORP.,1584754,2014,2018,7,2014
"Akoya Biosciences, Inc.",1711933,2019,2022,20,2021
Akumin Inc.,1776197,2024,2025,6,2021
Alabama Gas Corporation,3146,2011,2011,2,2014
"Albertsons Companies, Inc.",1646972,2018,2025,59,2017
"Aldeyra Therapeutics, Inc.",1341235,2014,2025,13,2014
Alector LLC,1653087,2018,2025,20,2019
"Aleris, LLC",1518587,2018,2023,4,2013
"Aligos Therapeutics, Inc.",1799448,2018,2019,4,2020
"Alkaline Water, Inc.",1532390,2013,2013,1,2012
Allakos Inc.,1564824,2021,2022,8,2018
"ALLARITY THERAPEUTICS, INC.",1860657,2020,2020,4,2021
"Allbirds, Inc.",1653909,2016,2026,50,2021
"Allegiance Bancshares, Inc.",1642081,2015,2015,4,2015
"Allegro MicroSystems, LLC",866291,2016,2021,20,2020
"Allena Pharmaceuticals, Inc.",1624658,2012,2020,4,2017
Alliance BioEnergy Plus Inc.,1549145,2020,2021,3,2013
"Alliance MMA, Inc.",1674227,2015,2015,1,2016
Allied Gaming & Entertainment Inc.,1708341,2023,2023,5,2018
"Allogene Therapeutics, Inc.",1737287,2018,2024,33,2018
"Allovir, Inc.",1754068,2020,2023,6,2020
"Alpha Metallurgical Resources, Inc.",1704715,2021,2025,6,2018
Alphabet Inc.,1652044,2016,2016,2,2015
"ALPHALA CO., LTD.",1565220,2024,2024,2,2013
"Alpine Immune Sciences, Inc.",1626199,2015,2017,5,2015
"Alset, LLC",1750106,2019,2019,2,2020
Alta Equipment Holdings Inc.,1759824,2020,2023,12,2019
Altisource Asset Management Corporation,1555074,2022,2023,7,2013
Altisource Residential Corporation,1555039,2017,2018,5,2013
"Altitude International, Inc.",1664127,2019,2019,1,2016
"Altus Power, LLC",1828723,2023,2024,5,2021
"ALX Oncology, Inc.",1810182,2018,2018,1,2020
"Alzamend Neuro, Inc.",1677077,2016,2022,9,2021
Amasys AG,1023198,2015,2015,12,2012
"AmbiCom Holdings, Inc.",1444310,2015,2015,9,2012
Amergent Hospitality Group Inc.,1805024,2020,2020,1,2020
America Great Health,1098009,2021,2022,6,2013
America Greener Technologies Corporation,1403433,2012,2012,2,2012
American Battery Technology Company,1576873,2022,2022,9,2013
American Bitcoin Corp.,1755953,2025,2025,7,2019
American Business Services Ltd.,1532882,2018,2018,1,2012
American Cannabis Company,945617,2021,2021,1,2012
"American Homes 4 Rent, LP",1562401,2018,2021,16,2018
"American Oncology Network, LLC",1839998,2018,2018,4,2021
American Outdoor Brands Corporation,1092796,2017,2017,30,2012
"AMERICAN REBEL, INC.",1648087,2010,2023,8,2015
American Renal Associates LLC,1498068,2016,2025,23,2016
American Strategic Investment Co.,1595527,2023,2023,2,2014
"Americold Realty Trust, Inc.",1455863,2023,2025,11,2018
Amesite Inc.,1807166,2020,2024,5,2021
Amplify Energy Corp.,1533924,2017,2017,4,2012
"AmpliTech, Inc.",1518461,2024,2025,8,2012
"Amprius Technologies, Inc.",1899287,2023,2023,2,2022
"Amylyx Pharmaceuticals, Inc.",1658551,2019,2026,24,2022
"Anaplan, Inc.",1540755,2016,2026,17,2018
ANDO INC.,1663641,2021,2021,2,2016
"Anebulo Pharmaceuticals, Inc.",1815974,2021,2021,2,2021
"ANGEL OAK MORTGAGE REIT, INC.",1766478,2020,2020,2,2021
"Angel Studios, Inc.",1865200,2021,2025,27,2022
"Annexon, Inc.",1528115,2024,2025,15,2020
"Annovis BIO, Inc.",1477845,2020,2020,1,2020
Anterix Inc.,1304492,2020,2026,33,2014
Antero Midstream Corporation,1623925,2025,2025,2,2017
ANTIAGING QUANTUM LIVING INC,1672571,2023,2023,1,2017
"Apellis Pharmaceuticals, Inc.",1492422,2019,2026,33,2017
APERGY CORPORATION,1723089,2017,2017,6,2018
Apigee Corporation,1324772,2011,2011,2,2015
"Apotheca Biosciences, Inc.",1632053,2019,2019,1,2015
"AppHarvest, Inc.",1807707,2021,2021,10,2021
Appiphany Technologies Holdings Corp.,1490054,2011,2011,4,2012
"Apple iSports, Inc.",1134982,2019,2023,7,2012
Applied Biosciences Corp.,1607549,2018,2019,12,2014
Applied Blockchain Ltd.,1144879,2021,2024,2,2022
Applied Genetic Technologies Corporation,1273636,2013,2018,3,2014
AppLovin Corporation,1751008,2020,2026,32,2021
APPTECH PAYMENTS CORP,1070050,2014,2021,8,2019
"Apptigo International, Inc.",1562738,2014,2014,1,2013
"Aprea Therapeutics, Inc.",1781983,2020,2020,5,2019
APTEVO THERAPEUTICS INC.,1671584,2015,2016,6,2016
Aptinyx Inc.,1674365,2015,2015,1,2018
APTOSE BIOSCIENCES INC.,882361,2014,2014,3,2018
Aqua Metals Inc.,1621832,2019,2019,6,2015
"Aquestive Therapeutics, Inc.",1398733,2018,2026,85,2018
"ARATANA THERAPEUTICS, INC.",1509190,2013,2017,13,2013
"Aravive, Inc.",1513818,2021,2022,4,2014
"ARAX CO., LTD.",1566243,2017,2020,3,2013
"Arbor Realty Trust, Inc.",1253986,2011,2019,3,2015
Arbutus Biopharma Corporation,1447028,2017,2024,4,2013
"Arch Therapeutics, Inc.",1537561,2019,2019,2,2012
"Archaea Energy, Inc.",1823766,2022,2023,19,2021
Archer Aviation Inc.,1824502,2020,2026,58,2021
"Arcosa, Inc.",1739445,2018,2025,29,2018
"Arcturus Therapeutics, Inc.",1566049,2014,2020,8,2018
"Arcus Biosciences, Inc.",1724521,2016,2021,7,2018
"Arcutis Biotherapeutics, Inc.",1787306,2020,2025,23,2020
"Ardelyx, Inc.",1437402,2017,2023,17,2014
Aridis Pharmaceuticals Inc.,1614067,2015,2020,7,2018
