year,firms,estabs,emp,estabs_entry,estabs_entry_rate,estabs_exit_rate,firmdeath_firms
1978,3560318,4327552,70255157,642576,15.146,11.137,326436
1979,3692635,4486597,74714428,616415,13.97,10.604,330913
1980,3739767,4551584,75065997,578750,12.806,11.386,369565
1981,3768498,4611616,75788714,586119,12.797,11.421,377392
1982,3741859,4617059,74973839,575231,12.464,12.38,406493
1983,3830757,4712899,74041185,624610,13.389,11.344,363000
1984,4001390,4904516,78673113,699054,14.534,10.591,364750
1985,4073155,4986221,81575122,682923,13.81,12.152,431677
1986,4158219,5112726,83920060,711630,14.095,11.563,414722
1987,4223952,5224469,85886119,740398,14.325,12.16,436466
1988,4308236,5359338,88402522,739207,13.959,11.553,425403
1989,4382013,5472761,91353052,724158,13.368,11.313,429504
1990,4445528,5571136,93686600,700386,12.683,10.918,433898
1991,4412581,5606034,91458374,690270,12.358,11.62,453798
1992,4413841,5615601,91438756,649245,11.577,11.305,415356
1993,4495611,5682239,93102312,650095,11.509,10.318,386357
1994,4575281,5791522,95649868,682277,11.885,10.116,398875
1995,4674006,5921847,99016306,706163,12.058,9.815,398645
1996,4721540,5999687,100042597,701638,11.795,10.075,416575
1997,4776424,6075685,103096440,736712,12.2,10.968,434203
1998,4853548,6188011,107689077,702626,11.438,9.967,400489
1999,4883018,6246393,109812340,691108,11.115,10.191,408681
2000,4902719,6301553,113593164,680795,10.848,10.022,405016
2001,4912908,6332929,113773080,694163,10.99,10.472,408243
2002,4929332,6392616,111799219,758902,11.911,11.251,424299
2003,4991927,6459031,112460517,734050,11.425,10.356,416561
2004,5084924,6566688,114138584,749769,11.511,9.872,414338
2005,5166062,6675386,115422186,769042,11.615,9.98,430425
2006,5254916,6838713,119253652,844274,12.495,10.073,460485
2007,5291526,6917207,119771704,808797,11.761,10.584,467189
2008,5230315,6873725,119550548,710589,10.307,10.895,495527
2009,5088072,6737900,113657795,632741,9.281,11.622,511115
2010,5016353,6669509,111274422,636620,9.495,10.542,440076
2011,4993099,6665520,112845202,659127,9.886,9.938,420190
2012,5039673,6710572,115314012,669983,10.018,9.332,379599
2013,5064208,6749685,117558012,659947,9.807,9.205,384319
2014,5100719,6822436,120072493,672292,9.906,8.853,381685
2015,5146908,6906444,123177478,688197,10.025,8.811,382811
2016,5212130,7032104,125689404,710442,10.194,8.393,384550
2017,5246978,7073622,127427446,682347,9.675,9.078,392222
2018,5281916,7100785,129626237,666736,9.414,8.902,394215
2019,5330349,7177066,131831587,686264,9.613,8.537,404886
2020,5335214,7201053,132680862,692739,9.637,9.29,416962
2021,5391471,7253521,127222136,783793,10.845,10.11,421453
2022,5541603,7408649,134143137,854030,11.651,9.512,450039
2023,5593727,7494983,137462444,790295,10.608,9.396,523958
