cls,name,n_filings,mean_pros_kl,mean_dkl,std_dkl,mean_abs_dkl,n_firms_sec,class_median_gross_margin,class_median_op_margin,class_median_net_margin,class_median_excess_4y,class_median_excess_5y,class_median_max_revenue
034,Tobacco & Smokers' Articles,36678,3.658386691337827,0.16318676632848997,0.42312973004950044,0.31399782415306937,40,0.3896873016651093,-0.32949168134804685,-0.19061725700586044,-0.5524579233771763,-0.6782999898610919,29267003.0
026,"Trim, Lace & Notions",42323,4.467923383849934,0.12444779875415023,0.32291096189601576,0.24629567006753397,3,0.31135084843005134,-0.027013769721160756,NaN,,,59129000.0
027,Carpets & Wall Hangings,26727,4.5484013818225035,0.053495216838294044,0.33780292688122493,0.24506371582345796,8,0.21095913806882385,0.04731915034822444,0.024866272235912867,0.23796626279322797,0.24527140404596748,1685309500.0
015,Musical Instruments,12496,4.471845763853778,-0.007806453194483812,0.2993409516021977,0.23636217392331868,2,0.2112281398287453,-8.166605931662204,-12.46940331988562,,,40074205.5
013,Firearms & Pyrotechnics,13777,4.533957050512939,0.0633489180793138,0.2998878464570596,0.22205395069150752,21,0.2941870590049738,0.06964916211300178,0.015145521498088994,0.8586071926447774,1.4923187948705778,688276000.0
031,Agriculture & Live Animals,64135,4.917439259718057,-0.004190772936802813,0.2995751214660573,0.21389473270173065,44,0.22666110712980447,0.029540081450607023,0.014173787319120251,-0.23599075800603866,-0.4063125503419132,185923000.0
033,Wine & Spirits,68232,4.09437571964488,0.03782673963830834,0.2938829893529778,0.20655449363300232,28,0.38343237216227827,-0.03017460813559175,0.04471283217511846,0.19729533830010576,0.2641415926829558,292835000.0
022,"Ropes, Tents & Textiles (raw)",24515,4.696054088235289,0.11091807304628991,0.2655157378847953,0.20426097424681933,8,0.4090931686503585,0.05148891432917212,-0.013439283116309146,-0.26173110048014336,-0.4360237514506635,1788916000.0
004,Lubricants & Fuels,36160,4.909647322637795,0.003836108528507869,0.27810265425953007,0.19705610493202086,58,0.1872779942925224,0.00723772875836598,0.015428987968341815,0.11129109957963504,0.17206759409015648,1206200000.0
002,Paints & Coatings,33653,4.781768457208152,-0.012216058324782357,0.2677079820026443,0.19414200862817546,30,0.3532878372441007,0.04389913181039191,0.036678556476064,0.24203300983248724,0.5443337359229883,1317883000.0
028,"Toys, Games & Sporting Goods",325521,4.937075285216816,-0.0064200402235931485,0.26227251127394463,0.18829334385091037,155,0.36041939711664484,0.014999685686405733,0.005773438103525427,-0.01607439597935033,-0.021097337422755828,118241000.0
032,Beer & Soft Drinks,100951,4.182299842778964,-0.014139283290531763,0.279743071608874,0.18753263065710993,40,0.42295170632058066,-0.07421647133690407,0.010463001348485835,0.23847844540969262,0.3578400473893697,49599000.0
042,Scientific & Tech Services,743414,5.173944673926677,-0.02246912937756835,0.2876186398890504,0.18307228945986376,1427,0.5159781138161534,-0.07164964227057202,-0.0921267568068676,-0.07890344295745427,-0.21795278793936468,242492500.0
020,Furniture,165306,5.16049324471661,0.07498856539370367,0.24152056819960946,0.18151661849224576,109,0.3458821789135017,0.03941437143588835,0.03003946985094351,0.05258434992976044,0.066029491796601,647771000.0
008,Hand Tools,71252,4.6467750049056615,0.07016464146576515,0.23935051995997006,0.1805802595918779,27,0.355271143546502,0.04178203297580599,0.03962222262138322,0.22446246518383417,0.4368866746735935,193962357.0
010,Medical Devices,190121,5.350752449716472,-0.001282090946432974,0.25205079839267225,0.17635202528951074,494,0.570628691032161,-0.14068743960931063,-0.1350909902066621,-0.15374377069613004,-0.3993904429122828,75184000.0
038,Telecommunications,170826,4.317443729319069,-0.049569418367620834,0.25333806256612207,0.17358662259056448,264,0.5436928534154761,0.06020711320706949,0.00501123207188526,-0.11011279014749834,-0.12554920735945388,386061000.0
011,"Lighting, HVAC & Appliances",194994,4.838313430601603,0.04490361544905083,0.2300419927199328,0.17047833877271495,178,0.3278225336144311,0.0281437125748503,0.022067968870304783,0.2876941681824399,0.38679226814704853,353563000.0
021,Household Utensils,219996,4.847156163487228,0.0670567744814294,0.21953331046817934,0.16355050769805765,69,0.2925188615279617,0.04099028885598941,0.008538484796898147,0.05258434992976044,0.0018727933999793007,695310500.0
039,Transport & Logistics,120417,5.034744894083268,-0.01950643104621312,0.24055533155205103,0.16312368391792886,310,0.38960141079708543,0.08799902070295167,0.04253282991761552,0.09206962295306602,0.09086783883106692,2112299000.0
014,Jewelry & Watches,109375,4.522729474032511,0.01870679645363698,0.22741516866478156,0.16101337014470601,45,0.43058473285914095,-0.016995779961026858,0.0010881795751720405,0.3642185940857,0.4645234414285918,114058405.0
005,Pharmaceuticals,359560,4.983014787243362,-0.011058129074880166,0.23511155253548296,0.16035140767410563,1262,0.6460940813143184,-1.8031697341513293,-1.4126321161413358,-0.36692196429700746,-0.6072473366817107,41289800.0
001,Chemicals & Industrial,125272,5.363132212968569,-0.00939872912211491,0.2267365793045183,0.15644155570219523,290,0.3173163361457397,0.027027431720172496,0.012691541435321434,0.03979206972406286,0.0895682480733654,327011000.0
036,Insurance & Financial,399896,4.915096122126734,-0.04246268903565917,0.21884853978085328,0.15595737405972745,1233,0.5336036445701967,0.062387084389817285,0.06593176334765116,0.03964894973781993,0.044906393133738544,799845500.0
012,Vehicles,128694,4.932053147240551,0.0342439482858471,0.2199614857037142,0.15533409208685234,168,0.20656522708373193,0.031127775406045288,0.013946151537372779,0.19898542200777686,0.2575580331569281,713062000.0
040,Materials Treatment,94015,5.367853452247713,-0.0036847150103598136,0.23045348105975572,0.154697299607426,181,0.2593686992689128,0.0386375058758942,0.015276648527696501,0.022257688037549662,0.006761565125001992,966521000.0
024,Textiles & Bedding,97945,4.248703148393319,0.041517714721339874,0.20592809299324116,0.1542093169599974,34,0.30723081769587335,0.06422656547831931,0.04454065913967137,0.091174805799205,0.13233928630578495,298789500.0
016,"Paper, Print & Office",444018,5.388539563487715,-0.007749543843451748,0.2206273528673321,0.1509658648984368,250,0.32111874645009714,0.05270018621973929,0.029839100493098895,-0.03418803938231745,-0.04267643490206093,1192990000.0
029,"Meat, Dairy & Prepared Foods",134683,4.631664443913793,-0.020421389821665602,0.216312041606051,0.14903276563690845,128,0.23624037474915324,0.0392198388080163,0.01889921100650655,0.012941868689277231,-0.009154018775969186,1467644000.0
006,Common Metals,97003,5.475439120070937,0.01982927324130962,0.20855654825498599,0.1472026726461972,121,0.2187217921010835,0.055780405367270094,0.02718566352274846,0.11478099872818737,0.12581918833931816,833265000.0
009,Software & Electronics,1226806,5.417733684388275,-0.011175796438310355,0.20696362891581419,0.14660442522134254,2140,0.4541156584473827,0.01811107119887978,0.004767368164140382,0.19718016122499363,0.20477193047012152,305591000.0
030,"Coffee, Tea, Bakery & Spices",205442,4.900199670401172,-0.01071539555544729,0.21736559924579363,0.14592610485014737,136,0.31297507726148344,0.0952462864213698,0.06277883447252464,0.09233609238554086,0.21372966726314646,1053906000.0
025,"Clothing, Footwear & Headwear",668593,4.355330792641763,-0.04145784730269794,0.1984347756089377,0.1457867897772661,301,0.3969778928262272,0.04062264108535501,0.022844784916350013,0.08897415958220392,0.11280185853670151,490523000.0
019,Building Materials,70015,5.081664157314433,-0.015139773536241154,0.20989434466622542,0.14141676918504933,98,0.21449975070717286,0.038839914544841994,0.015618832175546347,0.23796626279322797,0.2581829348101221,1403110500.0
003,Cosmetics & Cleaning,326430,4.320330744575958,0.00537596806398543,0.2025032198493783,0.13865305605143335,208,0.5193895168848077,-0.003727369542066028,-0.004638082661570463,-0.13403383112063577,-0.15988608885709993,323628500.0
045,Legal & Personal Services,126420,4.963932209814696,-0.022233627273362797,0.1969624546198228,0.13519670468454412,74,0.45764840917477273,-0.12996477919263072,-0.17475261179286253,-0.659998566823415,-0.55559197291365,77215000.0
