x,y,n,pearson_r,spearman_r
mean_pros_kl,class_median_gross_margin,44,-0.055267358295651624,-0.0638477801268499
mean_pros_kl,class_median_op_margin,44,0.13830363288226127,0.1076814658210007
mean_pros_kl,class_median_excess_4y,42,0.014622031874420415,-0.1427876828027198
mean_pros_kl,class_median_excess_5y,42,-0.060246437197557665,-0.19147556924074224
mean_dkl,class_median_gross_margin,44,-0.21448879729911188,-0.2776603241719521
mean_dkl,class_median_excess_4y,42,-0.022091679408317227,0.2030794171984199
mean_dkl,class_median_excess_5y,42,0.005260936495123959,0.1796450854873997
std_dkl,class_median_gross_margin,44,-0.1790795604542637,-0.18520084566596196
std_dkl,class_median_excess_4y,42,-0.1113262834361031,-0.0031604538191294398
std_dkl,class_median_excess_5y,42,-0.07792833815490785,-0.0028360748723766306
mean_abs_dkl,class_median_gross_margin,44,-0.216079174079152,-0.1959126145172657
mean_abs_dkl,class_median_excess_4y,42,-0.0884306050893061,0.015072933598925019
mean_abs_dkl,class_median_excess_5y,42,-0.048955838725450875,0.017097479944899116
