ethnic,div_tier,n_owners,mean_n_filings,p_reached,p_survived_5y,p_in_sec
API,2-3 classes,9254,3.1321590663496868,0.45829221358395983,0.4132335304968751,0.0
API,4+ classes,3566,11.42288278182838,0.37466381271312166,0.2722793173764181,0.0016825574873808188
API,single,29550,1.231336717428088,0.4985529915995988,0.49608166240238133,0.0
Black,2-3 classes,2037,3.011782032400589,0.5976608937297233,0.5660746893379225,0.0
Black,4+ classes,393,12.592875318066158,0.5821152868316708,0.515432812262946,0.0
Black,single,9422,1.1602632137550415,0.6318739828769546,0.6287207750856658,0.0
Hispanic,2-3 classes,8094,2.968865826538176,0.6090155305580164,0.5663613006812963,0.0
Hispanic,4+ classes,1438,8.285118219749652,0.6212634884318714,0.540360309681579,0.0
Hispanic,single,33822,1.177724557980013,0.6247935908925798,0.6224350534156282,0.0
Mixed,2-3 classes,37075,3.015616992582603,0.5505515102555856,0.5325964549563057,0.00013486176668914363
Mixed,4+ classes,7863,10.136461910212388,0.5209528428146772,0.4794295768220846,0.0012717792191275594
Mixed,single,162278,1.1926385585230284,0.5920891370814927,0.5906044469313699,0.0
White,2-3 classes,76189,2.9397025817375213,0.5960763637758815,0.5676023690125642,0.000013125254301802097
White,4+ classes,15123,9.147655888381935,0.6149212203352575,0.5577910790327099,0.000264497784831052
White,single,316292,1.164227991855627,0.620689388881357,0.6192690017430652,9.484906352357948e-6
