nice_class,label,n_filings,n_firms,n_firms_eligible,class_mean_pros,class_mean_retr,class_mean_dkl,ever_public_rate,surv_argmax_pos,surv_quad_a,surv_slope_left,surv_slope_right,surv_overall_slope,pub_argmax_pos,pub_quad_a,pub_slope_left,pub_slope_right,pub_overall_slope
001,Chemicals,137658,11055,1775,5.350085400993749,5.334280231307073,0.015805169686675474,0.11774647887323944,0.8571428571428569,-0.009668666658721977,0.042417807853987674,-0.03609705433892856,0.035941808497022144,0.3076923076923079,-0.046261328324865014,0.12372049374925674,-0.0653656422162622,-0.013328823507454941
002,Paints,36792,2643,374,4.785877651738465,4.764715377990194,0.021162273748271176,0.07754010695187166,0.9166666666666664,-0.024597802636685078,0.07497780227749051,-0.24034385119504567,0.0643281445904542,1.0,0.009288235054713743,0.05363702127005015,0.0,0.05363702127005015
003,Cosmetics,367782,22325,3478,4.331186593204503,4.292505141240677,0.03868145196382668,0.04025301897642323,0.0,0.0008812721095185106,0.0,-0.014492294056527924,-0.014492294056527924,0.8571428571428573,0.0021521373569543586,0.013525498729105379,-0.11802601625791553,0.011214754138593942
004,Lubricants,41682,2812,333,4.905568075357112,4.873780587749441,0.03178748760767105,0.11411411411411411,0.6923076923076923,-0.014083270431351859,0.043125439762249536,-0.02361036085271097,0.025664837463715943,0.3333333333333333,-0.08413215641602474,0.16592021330769002,-0.08646366203522232,0.00008995851815077567
005,Pharma,399467,28130,5066,4.979803413701151,4.9576552659694055,0.022148147731745737,0.12771417291748915,1.0,-0.010732106681458187,0.011803641111351341,0.0,0.011803641111351341,0.5000000000000001,-0.013972768804452597,0.03328657914171285,-0.03100409581449707,-0.0043773286858551745
006,Metals,110140,7808,815,5.46053873479933,5.420676336612701,0.03986239818662887,0.10184049079754601,0.857142857142857,-0.001708274671911911,0.02861868345009367,-0.027769935882673333,0.025987790876107145,0.09090909090909079,-0.027241839719818754,0.4263619914668449,-0.02115098055707862,-0.0075436361266418
007,Machines,181805,13353,1658,5.316007178021401,5.286434926477635,0.02957225154376595,0.10675512665862485,1.0,-0.006460023834120325,0.0357474185253409,0.0,0.0357474185253409,0.6153846153846154,-0.023616442793520497,0.05231677104090112,-0.07529092225042369,0.01720890478266717
008,Hand tools,83013,4557,531,4.6392650790012375,4.548952316234424,0.09031276276681416,0.064030131826742,0.9285714285714285,0.0011006065023365175,0.016160620735860283,-0.007731078096340599,0.01824489748669903,0.0,-0.013367547521694525,0.0,-0.027320208413191178,-0.027320208413191178
009,Software/Electronics,1365815,98141,13095,5.41843230554431,5.400847461727631,0.01758484381667936,0.11683848797250859,0.35714285714285715,-0.005538993017031724,0.02128012320595519,-0.0069964129091922836,0.0003407544136592651,0.4999999999999999,-0.017585289265911932,0.0483623390250409,-0.036671162993933526,0.007132779518907368
010,Medical,215256,15681,2338,5.3533349100625784,5.310906324001055,0.042428586061524144,0.1313088109495295,1.0,-0.012052789985011296,0.04567524428113162,0.0,0.04567524428113162,0.7142857142857139,-0.04204185524966323,0.06334833096349737,-0.1522783608121867,0.013376125247109225
011,Lighting,226061,13598,1723,4.82225291908723,4.759563227421824,0.0626896916654061,0.08299477655252467,0.9285714285714287,-0.007182140884797358,0.04122975047993065,-0.10495835852156986,0.0377796469372436,0.4285714285714286,-0.02239246793468782,0.06164398287182367,-0.042237126716479036,0.009939809902461308
