k,n,r_dkl_grant,r_dkl_app,r_pos_grant,r_pos_app
-5,3452093,0.08046532527380425,0.05252259395917894,0.07309562029694014,0.01853007649320931
-4,3526702,0.07370049810236022,0.060369026507315744,0.07438629189118315,0.038476253078500555
-3,5367904,0.10368149085521967,0.06095363322367753,0.1005806761572238,0.0630901804250381
-2,6023398,0.05166113701167609,0.02464691156897908,0.10746745871944903,0.0847323291906923
-1,5476189,0.05857255949212066,0.05570559753056125,0.1182702354944589,0.105084582373142
0,10807610,0.013000347520372133,-0.013167010075526502,0.08804656390210498,0.10830698922161877
1,5444093,0.056832215594980307,0.08351668205357957,0.07017352196965634,0.15279155086356805
2,4319830,0.037215471986349336,0.03866790715905762,0.055063223963133186,0.13058609580293087
3,5726993,0.04890760874460043,0.07445177573315323,0.049860523377147095,0.10391912046178374
4,4237361,0.05428383550690579,0.07244995441980502,0.044669925612662136,0.07643663142601698
5,3241405,0.040562976171116163,0.04337199976776313,0.04004237347906484,0.04877727995613469
