k,n,r_dkl_grant,r_dkl_app,r_dkl_app_lo,r_dkl_app_hi,r_pos_grant,r_pos_app,r_pos_app_lo,r_pos_app_hi
-5,3036224,0.10833640771726182,0.07222006465532597,0.07110100462049596,0.07333894288961379,0.08443601207757499,0.023687290952746857,0.022563056153340835,0.024811465844812204
-4,3042696,0.10639148029373799,0.08794108619472538,0.08682602678276477,0.08905592526141326,0.08715438408134407,0.04671997831648809,0.04559873304317953,0.04784110587331425
-3,4811278,0.13063070759404324,0.08031646680611594,0.07942860281778745,0.0812042033632569,0.11663912336962229,0.0739808173112297,0.073092084767056,0.07486943236095116
-2,5362199,0.07375227310720141,0.03861043341165462,0.037765250117243715,0.03945556146576794,0.12832175282128908,0.10000969320177479,0.09917167059561324,0.10084757394279703
-1,4622243,0.0922176982267217,0.0845304419863565,0.08362523305869553,0.085435511409522,0.14185358002374351,0.12531405805832205,0.12441661848931172,0.12621129259842528
0,5035558,0.07839530904256073,0.06385915679931352,0.06298923173698615,0.06472898482336217,0.10137824636075801,0.12588478338273662,0.1250250918020881,0.12674428593351067
1,4590147,0.07463430258198392,0.11519461136761594,0.11429182085519766,0.11609721162061104,0.08257523286068985,0.179490041909164,0.17860453439964366,0.18037525865906526
2,3658631,0.0466382955304605,0.05192894249255127,0.05090695119984205,0.05295082502747565,0.06273001741428887,0.1486338036852945,0.14763158859322278,0.14963571353895933
3,5170367,0.05562467671664649,0.08700098502311249,0.08614546885591634,0.08785637288482352,0.056812038866976694,0.11855691873746681,0.11770697114089218,0.11940669263393922
4,3753355,0.062318655754513945,0.08461069118359801,0.08360616058718406,0.08561504981998314,0.05109207865421741,0.08726261444422138,0.08625854231501348,0.0882665093051354
5,2825536,0.04687869616839784,0.050242421045437975,0.04907927713869596,0.05140542867779049,0.04608253188213332,0.05597626375647065,0.05481382227280069,0.05713855350633849
