[001 1997 ab  dup1/1own w5] thermosetting resin curing chemical preparation
[001 1998 ab  dup1/1own w20] Biodegradable chelating agent for use in manufacturing household cleaners, industrial and institutional cleaners and in water treatment and textile industry
[001 2000 ab  dup2/2own w14] chemical compound used to protect seeds and plants from damage by certain chemical herbicides
[001 2002 ab  dup1/1own w20] Chemical products for scientific and research use, namely, toner materials comprising compounds for making biopolymers via the electro photographic process
[001 2011 ab  dup2/1own w20] Chemical additives to be added to plastic during the manufacturing process to prevent the growth of bacteria on its surface
[001 2018 ab  dup1/1own w23] Erosion control soil binder chemicals and soil stabilizer for dust and erosion control and for protecting the soil from water and wind erosion
[002 2000 ab  dup1/1own w5] protective coatings for hardwood floors
[002 2002 ab  dup1/1own w6] paint primers; exterior and interior paints
[002 2008 ab  dup1/1own w10] Coatings in the nature of masking, release and insulating uses
[002 2018 ab  dup1/1own w7] Fire retardant coatings for use on wood
[003 2001 ab  dup90/37own*COPY w4] COSMETICS NAMELY, LIP GLOSS
[003 2016 ab  dup1/1own w5] Skincare, bath and body products
[003 2017 ab  dup2/1own w8] Cosmetic pads, namely, non-medicated pads for eyes
[003 2017 ab  dup41/34own*COPY w2] Bath soaps
[003 2018 ab  dup100/82own*COPY w2] Body lotion
[003 2018 ab  dup132/99own*COPY w2] Cosmetic preparations
[003 2018 ab  dup134/105own*COPY w2] False eyelashes
[004 2000 ab  dup3903/1973own*COPY w1] candles
[004 2009 ab  dup21/13own*COPY w1] Fuel
[004 2015 ab  dup85/59own*COPY w1] Fuels
[004 2016 ab  dup3903/1973own*COPY w1] Candles
[004 2018 ab  dup3903/1973own*COPY w1] Candles
[005 1995 ab  dup2/1own w3] anti-urease vaccine
[005 2000 ab  dup494/317own*COPY w2] Food Supplements
[005 2005 ab  dup2/1own w8] Nutraceuticals for the treatment of equine gastric ulcers
[005 2008 ab  dup6761/2994own*COPY w2] Nutritional supplements
[005 2013 ab  dup10343/3917own*COPY w2] Dietary supplements
[005 2013 ab  dup6761/2994own*COPY w2] Nutritional supplements
[005 2015 ab  dup10343/3917own*COPY w2] Dietary supplements
[005 2015 ab  dup10343/3917own*COPY w2] Dietary supplements
[005 2018 ab  dup10343/3917own*COPY w2] Dietary supplements
[006 2004 ab  dup9/8own*COPY w1] locks
[006 2008 ab  dup62/40own*COPY w3] Prefabricated metal buildings
[006 2012 ab  dup1/1own w6] Metal hardware, namely, springs; Metal hinges
[006 2014 ab  dup1/1own w92] Binding screws of metal for cables; Bolt snaps of metal; Buckles of common metal; Eye bolts; Foundry chill-molds; Materials of metal for scaffolds; Metal bolts; Metal cable trays used in building construction; Metal cotter pins; Metal expanding sleeves for affixing screws; Metal hardware, namely, springs; Metal hardware, namely, washers; Metal nuts; Metal screws; Metal self-aligning demountable sn
[006 2015 ab  dup1/1own w46] Bolts of metal; Hardware, namely, white metal pins; Metal hardware, namely, washers; Metal nuts; Metal plugs; Metal screws; Nails; Screw rings of metal; Screws of metal; Small items of metal hardware, namely, high security locks and sheet metal plates primarily for the casino and gaming industry
[006 2016 ab  dup1/1own w13] Metal locking mechanism used with metal doors and grilles; metal doors and grilles
[007 1997 ab  dup1/1own w6] collet chuck for CNC machine tools
[007 1999 ab  dup1/1own w16] MACHINES FOR FINISHING LOAD-BEARING SURFACES ON CAMSHAFTS, CRANKSHAFTFS AND AXLES, HONING MACHINES AND SUPERFINISHING MACHINES
[007 2008 ab  dup53/34own*COPY w1] Winches
[007 2009 ab  dup1/1own w5] Hydraulically operated metal working machines
[007 2015 ab  dup18/9own*COPY w6] Dies for use with machine tools
[007 2018 ab  dup2/1own w2] Centrifugal compressors
[008 1996 ab  dup9/9own w2] PRUNING SHEARS
[008 1998 ab  dup1/1own w3] Handheld Cutting Tool
[008 2000 ab  dup97/65own*COPY w2] Kitchen Knives
[008 2004 ab  dup10/10own*COPY w1] tools
[008 2015 ab  dup3/2own*COPY w2] Leaf rakes
[008 2018 ab  dup1/1own w21] Beard clippers; Crimping irons; Curling tongs; Eyelash curlers; Flat irons; Knife handles; Needle files; Scissors; Non-electric curling irons; Utility knives
[008 2018 ab  dup130/39own*COPY w2] Folding knives
[008 2018 ab  dup93/22own*COPY w2] Sport knives
[009 1996 ab  dup1/1own w6] comuter and communications hardware and software
[009 1998 ab  dup1/1own w2] Computer display
[009 1999 ab  dup1/1own w45] COMPUTER SOFTWARE FOR NETWORK-BASED APPLICATIONS, NAMELY, FOR INTEGRATING NETWORK TRAFFIC MANAGEMENT, SERVER LOAD BALANCING, AND SYSTEMS MONITORING AND MANAGEMENT FUNCTIONS, AND FOR REAL-TIME MONITORING, REPORTING AND AUTOMATED SERVICE LEVEL CONTROL OF SOFTWARE APPLICATIONS COMPUTER SERVICES, NAMELY, MONITORING AND MANAGING COMPUTER NETWORKS FOR OTHERS
[009 2005 ab  dup3/1own w51] Telecommunication services, namely, the over-the-air transmission and reception of software code to a wireless communication device Wireless telecommunication devices, namely, digital cellular phones, wireless personal digital assistants, wireless computers and laptop computers that may be upgraded, provisioned, patched and receive software code over-the-air from a wireless network
