theme,first_year,origin_klass,origin_industry,origin_5y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,other_hhi,other_total,total_study_cnt
websites,1995,42,Scientific & Tech Services,2208,28,224,363,1201,3964,8151,3647,2768,2549,3146,0.13759876297426898,250283,323376
smartphones,1999,9,Software & Electronics,26,1,23,37,6,10,24,151,98,157,225,0.06267050869748599,72058,166570
e-commerce,1995,21,Household Utensils,2,1,0,48,334,2559,7166,3012,1170,1037,1480,0.12787275500888154,145654,146207
blogs,2001,9,Software & Electronics,47,8,10,2,22,549,1327,3265,3715,3950,5026,0.22851905093054206,130468,145227
mp,1997,9,Software & Electronics,800,19,60,264,1121,701,921,842,1913,2541,4244,0.06742042511945977,79709,131166
podcasts,1998,9,Software & Electronics,2,10,0,0,0,0,0,1,79,400,2298,0.22134546049605727,105437,129696
hoodies,1998,25,"Clothing, Footwear & Headwear",27,1,6,2,9,15,38,66,67,71,173,0.0747948300113596,40173,100642
paas,1996,42,Scientific & Tech Services,3,3,0,0,0,0,0,0,0,0,0,0.16060921131091477,55700,91983
cryptocurrency,2013,9,Software & Electronics,737,54,132,34,273,2348,16005,9394,9968,39313,0,0.2175796564763439,60090,77521
asp,1998,42,Scientific & Tech Services,921,27,45,507,590,706,710,671,868,1868,2121,0.1641459752590633,43658,70320
blockchain,2014,9,Software & Electronics,4048,41,184,547,2278,13684,11966,10257,29314,0,0,0.20023448282135675,52658,68271
webinars,2002,41,Education & Entertainment,59,1,3,15,50,94,178,269,690,1344,1801,0.13564097384181656,34861,59945
cbd,2013,5,Pharmaceuticals,756,170,368,343,526,1120,4455,22647,12561,16016,0,0.09324274720519705,48729,58206
delta-,2014,5,Pharmaceuticals,1102,26,16,51,695,4575,20274,15066,13351,0,0,0.09156737327248773,47251,54054
cloud-based,2000,42,Scientific & Tech Services,2,1,1,0,0,0,0,3,4,3,22,0.20259219217812022,30920,50396
internet-based,1995,42,Scientific & Tech Services,132,4,21,21,53,327,813,494,337,198,295,0.13515788355134126,35836,46813
blogging,2003,41,Education & Entertainment,144,1,0,59,261,563,782,709,1111,2963,3761,0.1778586451606529,39255,44497
caf,1999,42,Scientific & Tech Services,33,7,118,116,71,204,334,486,371,407,800,0.21630853067808725,42422,43126
webcasts,1998,41,Education & Entertainment,51,10,14,119,19,54,43,35,80,138,1614,0.13878005719745892,29032,42792
cyber,1995,35,Advertising & Retail,5,1,2,1,4,8,33,5,19,20,275,0.17688776278111654,31012,35333
iot,2012,42,Scientific & Tech Services,547,6,11,118,637,1437,6991,5646,5986,6104,7621,0.15372225794081915,26532,34557
nondownloadable,1996,42,Scientific & Tech Services,120,2,1,5,40,191,164,81,111,106,170,0.1562935721639763,25089,33498
nutraceuticals,1995,1,Chemicals & Industrial,30,12,8,52,87,168,206,313,300,263,313,0.2516205041030042,30185,32580
smartphone,2000,42,Scientific & Tech Services,1,1,0,1,0,2,7,1,0,3,30,0.4581957220152481,29238,31938
rfid,1995,9,Software & Electronics,29,9,2,6,17,4,33,33,43,82,259,0.08229531447033132,20808,31446
smartwatches,2013,9,Software & Electronics,4076,60,58,288,2360,4505,4679,5333,6417,7048,0,0.058619887189741274,14799,30748
intranet,1995,42,Scientific & Tech Services,454,7,200,314,246,695,3026,2755,886,1128,1522,0.15148397905337466,22831,28444
intranets,1995,9,Software & Electronics,235,5,92,68,68,647,1113,1439,484,475,994,0.1412171500045113,23405,28117
marijuana,1995,42,Scientific & Tech Services,2,3,0,2,0,1,3,1,2,2,1,0.07830639589233353,26441,27619
user-generated,1996,35,Advertising & Retail,9,2,0,0,9,15,10,0,1,0,20,0.16175998374382616,22845,25673
esports,2007,42,Scientific & Tech Services,1,3,0,0,0,0,1,0,15,41,867,0.15147868101855988,22935,24650
chatrooms,1996,42,Scientific & Tech Services,39,3,7,10,23,104,23,41,74,12,66,0.12664932620199856,21685,24520
voip,1998,38,Telecommunications,54,4,39,78,59,33,39,233,717,852,1039,0.22822811609788324,18188,24462
non-fungible,2000,35,Advertising & Retail,1,1,0,0,0,0,0,0,0,0,0,0.17438775790645067,19987,23909
cybersecurity,2003,35,Advertising & Retail,1,1,0,1,0,10,1,4,1,101,44,0.21831274351170876,19799,22778
e-liquid,2009,34,Tobacco & Smokers' Articles,168,1,0,1,7,734,1872,2697,2546,2391,2729,0.1139386908313917,10233,22597
cor,1999,20,Furniture,12,5,2,3,12,158,145,379,521,684,264,0.09571587967077257,20191,21542
vegan,1997,29,"Meat, Dairy & Prepared Foods",9,1,6,6,15,2,18,11,20,11,13,0.13491432105930404,17239,20867
pdas,1997,9,Software & Electronics,251,9,10,56,266,240,254,232,556,623,742,0.07633811242959126,14741,20768
moisture-wicking,2002,25,"Clothing, Footwear & Headwear",10,7,3,0,1,2,14,1061,1276,970,907,0.0727190761072316,6795,20509
blog,2004,41,Education & Entertainment,285,3,49,89,344,567,384,479,1153,937,818,0.14051732262998878,13763,19274
mindfulness,1999,41,Education & Entertainment,5,1,3,3,3,1,3,65,4,2,2,0.10578394933633319,13092,18719
cannabidiol,2011,35,Advertising & Retail,48,1,0,3,115,237,196,439,1499,8033,3737,0.11127903527004723,16352,18667
apps,1998,9,Software & Electronics,3,1,1,0,4,0,0,0,0,0,0,0.103534842731754,13161,17165
streamed,1996,9,Software & Electronics,30,1,22,6,46,134,213,325,187,379,450,0.18604749868629455,13886,16476
crypto,1995,9,Software & Electronics,6,1,0,11,2,0,1,1,0,0,18,0.19258857593100442,12446,15920
e-sports,2012,41,Education & Entertainment,115,1,1,25,467,193,632,1715,2094,4832,5194,0.11988877772171352,11296,15154
ringtones,2001,9,Software & Electronics,147,19,52,30,134,319,267,1016,1135,776,802,0.1601111282875579,11521,15142
hyperlinks,1995,42,Scientific & Tech Services,59,1,1,17,24,169,344,377,215,217,317,0.3089168415974943,12870,14804
ecommerce,1998,42,Scientific & Tech Services,242,42,123,339,127,42,48,41,97,279,86,0.1702239897807716,10610,14545
sms,1998,9,Software & Electronics,104,8,11,72,131,146,57,182,162,223,276,0.17427269745595775,11131,14092
webcasting,1996,41,Education & Entertainment,146,2,3,41,308,489,256,131,164,133,239,0.17122706163307994,11679,14036
worlds,1995,9,Software & Electronics,28,6,11,23,4,24,115,1,1,9,13,0.14865205745403728,10825,14025
extranets,1995,9,Software & Electronics,116,3,3,15,45,461,492,589,156,172,216,0.09298922338414937,11816,13940
seed-based,1996,30,"Coffee, Tea, Bakery & Spices",3,3,0,3,4,1,0,0,2,0,9,0.29290393824442273,10344,13205
self-fulfillment,1997,9,Software & Electronics,33,2,63,0,86,3,3,6,170,148,364,0.2203875157982558,11908,13084
cellphones,1995,9,Software & Electronics,2,2,0,0,0,0,2,7,21,80,50,0.06257660603063715,3488,12792
cryptocurrencies,2013,9,Software & Electronics,237,3,4,9,191,796,2972,1356,948,6498,0,0.1760905615706022,10234,12777
virtualization,1999,9,Software & Electronics,29,2,4,9,13,11,29,21,34,80,76,0.28125126295791897,9242,12741
blockchain-based,2015,42,Scientific & Tech Services,991,1,7,194,1245,2052,1600,7606,0,0,0,0.20398110800331243,9418,12705
uavs,2003,12,Vehicles,24,7,0,2,15,35,2,11,33,21,76,0.11987983131202797,10003,12319
outsource,1995,35,Advertising & Retail,20,5,2,6,16,13,30,35,29,11,56,0.1847762975565357,8815,11978
rotorcraft,2000,28,"Toys, Games & Sporting Goods",5,9,0,9,1,1,0,4,3,81,0,0.036969145295764276,11219,11735
authenticated,1996,9,Software & Electronics,44,3,1,69,4,61,59,22,21,9,6,0.14078652968536418,8332,11425
smartglasses,2014,9,Software & Electronics,3417,17,48,1011,1790,2300,1936,2010,2205,0,0,0.05513746431158075,4623,11317
webpages,1996,42,Scientific & Tech Services,143,6,8,20,95,200,41,11,17,80,26,0.14599286852964655,8066,11062
selfie,2011,9,Software & Electronics,64,1,0,0,66,85,225,590,695,2654,3540,0.05129530288433757,4369,10968
nutraceutical,1995,32,Beer & Soft Drinks,6,1,1,40,56,45,56,182,39,50,91,0.13542300119564452,10478,10930
geospatial,1995,42,Scientific & Tech Services,14,3,0,8,8,14,30,30,21,55,120,0.15268440824948432,7391,10183
e-mails,1995,9,Software & Electronics,23,2,0,5,12,42,143,34,70,55,94,0.17274914209952738,7564,9849
datacenter,1999,35,Advertising & Retail,6,9,6,10,1,3,0,2,2,9,12,0.25732384115490914,8592,9740
biofuels,2002,1,Chemicals & Industrial,10,7,22,6,42,83,366,719,570,549,640,0.08038127601127333,8709,9432
ai,1995,7,Machines & Power Tools,1,3,0,0,0,5,5,2,0,0,0,0.2068518061947549,9360,9413
intermediation,1997,36,Insurance & Financial,25,2,22,12,57,17,1,6,10,36,18,0.10283352580340209,8696,9413
malware,2003,9,Software & Electronics,89,1,34,27,87,142,85,131,162,211,314,0.32493955018421294,6693,9347
