cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
A01,1980,14839,9697,0.0007419438073968668,0.03881663184850731
A01,1990,20604,12526,0.0006668396977763477,0.03499320520287323
A01,2000,21147,12842,0.000490391666614061,0.030264340095521824
A01,2010,31234,18100,0.00040332208008154015,0.025292949990395084
A01,2020,25680,14738,0.0006864803815956756,0.03956386292834891
A21,1980,1213,1071,0.0011479105513300873,0.025556471558120363
A21,1990,1811,1547,0.0009192855123957192,0.02816123688569851
A21,2000,1731,1507,0.0008727252824342606,0.022530329289428077
A21,2010,1719,1494,0.0008470500964310528,0.02268760907504363
A21,2020,979,846,0.001622426419570949,0.03779366700715015
A22,1980,1131,978,0.0015314725824192607,0.03713527851458886
A22,1990,1361,1157,0.0012648995503479147,0.03159441587068332
A22,2000,1329,1119,0.0011963259826943224,0.02784048156508653
A22,2010,1310,1107,0.0013250976050346707,0.03435114503816794
A22,2020,777,683,0.0018567933625848688,0.039897039897039896
A23,1980,6173,4694,0.0006069134280914663,0.027215292402397537
A23,1990,8637,6303,0.0004736468727369046,0.025008683570684264
A23,2000,9030,6608,0.00039425613403825576,0.022702104097452935
A23,2010,10759,7487,0.00043875880697792483,0.02621061436936518
A23,2020,8714,5962,0.0009579924069646141,0.04796878586183154
A24,1980,1516,1303,0.0015098405051482517,0.04287598944591029
A24,1990,1535,1283,0.0021105794225933436,0.05211726384364821
A24,2000,1005,869,0.001604910769535405,0.03582089552238806
A24,2010,2325,1837,0.0010157937333795807,0.03612903225806452
A24,2020,3308,2256,0.0016840198324679883,0.061970979443772674
A41,1980,1883,1557,0.0011442063869673848,0.038236856080722255
A41,1990,2940,2267,0.0009067980933870131,0.03435374149659864
A41,2000,3370,2528,0.0008891510887654191,0.03768545994065282
A41,2010,4734,3479,0.0006460290763952808,0.029573299535276723
A41,2020,4033,2991,0.000812599303944786,0.03396974956607984
A42,1990,1162,975,0.001574530233054172,0.04044750430292599
A42,2000,1188,977,0.0016409890147263866,0.046296296296296294
A42,2010,1670,1362,0.0013223851697801983,0.04491017964071856
A42,2020,1527,1233,0.0013161906893982976,0.0412573673870334
A43,1980,1413,1233,0.0013948929388365734,0.03750884642604388
A43,1990,2027,1655,0.001016129318823409,0.03502713369511593
A43,2000,2341,1832,0.0010326112839834315,0.03630926954293037
A43,2010,3404,2582,0.0008932257757169624,0.0373090481786134
A43,2020,3001,2247,0.0011600043126799575,0.04465178273908697
A44,1980,1194,1062,0.001206479073199611,0.02931323283082077
A44,1990,1811,1505,0.000978436885332625,0.02816123688569851
A44,2000,1899,1578,0.0009503075397072984,0.0315955766192733
A44,2010,2523,2038,0.0008198847259984195,0.029726516052318668
A44,2020,1771,1438,0.0011965791800323995,0.04121964991530209
A45,1980,2377,1962,0.0009176781627463727,0.03155237694572991
A45,1990,4698,3461,0.0008651091258999736,0.037675606641123884
A45,2000,4836,3464,0.0007879626265922593,0.034119106699751864
A45,2010,7745,5161,0.0008515958774710857,0.043124596513879926
A45,2020,5501,3712,0.0011462608259389699,0.05035448100345392
A46,1980,650,580,0.002139644970414201,0.04
A46,1990,1190,1000,0.0014871831085375366,0.041176470588235294
A46,2000,1376,1157,0.0012401128988642509,0.034156976744186045
A46,2010,1822,1491,0.0010741986285441641,0.036223929747530186
A46,2020,1233,1045,0.0014503821312921426,0.0413625304136253
A47,1980,11842,7898,0.000766182193795747,0.036818105049822664
A47,1990,20266,12093,0.0007511612381536953,0.03814270206256785
A47,2000,22253,12943,0.0006327898333284022,0.03586033343818811
A47,2010,30372,16777,0.000631180777473426,0.03871987356775978
A47,2020,21429,11844,0.0010357075046188663,0.0500723318866956
A61,1980,36349,21587,0.0004218134977792893,0.026025475253789652
A61,1990,80154,39981,0.00033761704828193993,0.0250767272999476
A61,2000,109837,51468,0.0002901694849767123,0.023179802798692608
A61,2010,220159,86517,0.00044678728236562836,0.03184062427609137
A61,2020,182639,73231,0.0006795620728366544,0.04109199021019607
A62,1980,1601,1380,0.0015507952751266881,0.04559650218613367
A62,1990,3076,2454,0.0009945278772188224,0.03706111833550065
A62,2000,2673,2169,0.0008348578411346006,0.030303030303030304
A62,2010,3893,3080,0.0006779739749049995,0.029283329052144876
A62,2020,3059,2362,0.001062572288418218,0.04315135665250082
A63,1980,9741,6656,0.0009156673288326785,0.03983163946206755
A63,1990,18013,10802,0.0007334987611681564,0.03791705990118248
A63,2000,18569,10851,0.000604612261033184,0.034681458344552746
A63,2010,26951,14724,0.000567488631520988,0.03498942525323736
A63,2020,17855,10110,0.0008496114465127584,0.04284514141697004
B01,1980,20659,13385,0.000499001531841051,0.0271068299530471
B01,1990,29669,17776,0.00038715270657204055,0.02514408979069062
B01,2000,34566,19833,0.00037798530428088126,0.026268587629462478
B01,2010,52323,26633,0.0007045657254121262,0.041434933012250826
B01,2020,37400,18875,0.0012920872773027536,0.05943850267379679
B02,1980,1377,1228,0.001158676440263295,0.03122730573710966
B02,1990,1658,1419,0.000993101401109654,0.028950542822677925
B02,2000,1395,1205,0.0013016276769311792,0.03727598566308244
B02,2010,2433,1979,0.0008259158856448581,0.029593094944512947
B02,2020,1511,1250,0.0015001395020237652,0.05228325612177366
B03,1980,1838,1637,0.0010111762205453469,0.03536452665941241
B03,1990,1668,1451,0.0010559897405816353,0.03117505995203837
B03,2000,1484,1287,0.0009889858399750075,0.024932614555256066
B03,2010,2355,1807,0.001404429298461511,0.05180467091295117
B03,2020,1260,967,0.002785336356764929,0.08412698412698413
B04,1980,889,825,0.0015120438404142122,0.031496062992125984
B04,1990,823,752,0.0015634942546384363,0.027946537059538274
B04,2000,876,769,0.0016810533558516293,0.03881278538812785
B04,2010,1058,934,0.0015955489009830577,0.0444234404536862
B04,2020,641,594,0.001954337143844566,0.0374414976599064
B05,1980,5377,4184,0.0006734543831068266,0.02975636972289381
B05,1990,8265,5936,0.0005287202611322099,0.027102238354506956
B05,2000,8307,5944,0.00045924826315367435,0.023835319609967497
B05,2010,12173,7889,0.0007097289170800308,0.03877433664667707
B05,2020,7682,5041,0.001012723881555567,0.04634209841187191
B06,1980,617,566,0.002062050650268328,0.03403565640194489
B06,1990,753,693,0.0017160221442693144,0.035856573705179286
B06,2000,843,742,0.00169563314660261,0.036773428232502965
B06,2010,1139,905,0.002037275277282955,0.05794556628621598
B06,2020,1239,934,0.00279261374184836,0.08313155770782889
B07,1980,1500,1321,0.0011742222222222215,0.03266666666666666
B07,1990,1870,1628,0.0010637993651519944,0.033689839572192515
B07,2000,1612,1425,0.0008843413850217661,0.02295285359801489
B07,2010,2204,1847,0.0008600926874417412,0.030399274047186932
B07,2020,1749,1389,0.001461588276695565,0.048027444253859346
B08,1980,972,868,0.0017231451845077803,0.043209876543209874
B08,1990,2091,1741,0.0010710656520017806,0.03443328550932568
B08,2000,2501,2012,0.0009373299860383727,0.03598560575769692
B08,2010,4380,3169,0.0009173078125977388,0.0408675799086758
B08,2020,3031,2139,0.0016803162656290798,0.0580666446717255
B09,1990,1243,1096,0.0012109648302416308,0.029766693483507644
B09,2000,933,819,0.0015588939090557152,0.03536977491961415
B09,2010,984,815,0.0020077334919690643,0.05589430894308943
B09,2020,764,565,0.004961486801348649,0.11910994764397906
B21,1980,6107,4637,0.0005188568717861528,0.02472572457835271
B21,1990,6692,4879,0.00049612726868027,0.023460848774656307
B21,2000,6820,5077,0.000408321221867717,0.01788856304985337
B21,2010,8133,5550,0.0006301090914632393,0.030861920570515185
B21,2020,5410,3603,0.0012578882810978503,0.05249537892791128
B22,1980,4856,3864,0.0005239870375547226,0.02471169686985173
B22,1990,5677,4197,0.0005223665179786394,0.02113792496036639
B22,2000,5184,3887,0.0005597261516918153,0.02642746913580247
B22,2010,6854,4630,0.0008970286850785599,0.04333236066530493
B22,2020,6530,4286,0.0013709372925993603,0.05880551301684533
B23,1980,13268,9124,0.0005157014926349846,0.02698221284293036
B23,1990,15568,9997,0.000465319272991532,0.026014902363823228
B23,2000,17273,10633,0.00045217378165704567,0.026804839923580154
B23,2010,24031,13469,0.0005991543100682748,0.03437226915234489
B23,2020,16273,9256,0.0009983779761264704,0.04682603084864499
B24,1980,2870,2398,0.0009607983586057861,0.037630662020905925
B24,1990,5011,3741,0.0007274755864378351,0.030333266813011375
B24,2000,7690,4866,0.0009539350751909579,0.044083224967490245
B24,2010,6786,4378,0.0010404389196425536,0.04509283819628647
B24,2020,3642,2357,0.0021088400294206272,0.0727622185612301
B25,1980,5349,4130,0.0007870528667524282,0.03383810057954758
B25,1990,7444,5258,0.0007666052323766698,0.03747984954325631
B25,2000,8905,5884,0.0009321552188062834,0.0480628860190904
B25,2010,14405,8611,0.0009368059246079685,0.04678930926761541
B25,2020,15516,8659,0.0013130505340029055,0.05690899716421758
B26,1980,2787,2323,0.0009167840487557628,0.03659849300322928
B26,1990,3459,2703,0.0009164473336146616,0.036715813819022836
B26,2000,3610,2836,0.0007923511943585457,0.03462603878116344
B26,2010,4643,3500,0.0006958615557898343,0.03446047813913418
B26,2020,2919,2325,0.0008387945347730037,0.03357314148681055
B27,1980,2041,1701,0.001161634796327419,0.03968642822146007
B27,1990,2096,1731,0.0010197540935842893,0.035305343511450385
B27,2000,2219,1801,0.0009819330413055668,0.03515096890491212
B27,2010,2039,1675,0.0009253110206779474,0.029916625796959292
B27,2020,1209,983,0.001882079605604782,0.05707196029776675
