cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
A01,1980,9269,5931,0.0015772334033887533,0.0594454633725321
A01,1990,13524,8160,0.0012980090123829054,0.051538006506950604
A01,2000,13778,8326,0.0008721020703619074,0.04325736681666425
A01,2010,18020,10705,0.0006752578526018085,0.03779134295227525
A01,2020,13125,8364,0.0005559379591836733,0.029942857142857143
A21,1980,796,702,0.0017613191586071067,0.0364321608040201
A21,1990,1110,959,0.0015372128885642398,0.04144144144144144
A21,2000,1008,885,0.00146053791887125,0.030753968253968252
A21,2010,817,729,0.0016374801682125092,0.02937576499388005
A21,2020,460,423,0.0026937618147448023,0.041304347826086954
A22,1980,644,541,0.0031345241310134653,0.06055900621118013
A22,1990,707,597,0.0027748380010763248,0.055162659123055166
A22,2000,765,648,0.0020966295014737918,0.04183006535947712
A22,2010,617,513,0.003380712339994063,0.06807131280388978
A23,1980,3235,2513,0.001416214175997169,0.04605873261205564
A23,1990,4559,3444,0.0010362058114417178,0.039262996271112086
A23,2000,4602,3490,0.0007026025190566769,0.02955236853541938
A23,2010,4770,3613,0.0006088894162941865,0.02851153039832285
A23,2020,3479,2766,0.0006088351238296615,0.02270767461914343
A24,1980,788,662,0.003942384498441083,0.0799492385786802
A24,1990,847,688,0.0054989552681942895,0.089728453364817
A24,2000,523,443,0.0035645214949785956,0.06118546845124283
A24,2010,1162,942,0.0019981573700753328,0.05421686746987952
A24,2020,1316,1084,0.0014573959959719505,0.044832826747720364
A41,1980,1392,1138,0.0016638591623728343,0.05028735632183908
A41,1990,2370,1822,0.0011849952820951054,0.04135021097046414
A41,2000,2517,1924,0.0011631671420198825,0.04370282081843464
A41,2010,3452,2596,0.000755939089838594,0.029837775202780997
A41,2020,2686,2102,0.0008247170042508275,0.02866716306775875
A42,1980,330,303,0.00420569329660239,0.05757575757575758
A42,1990,895,748,0.0021709684466776884,0.05027932960893855
A42,2000,865,721,0.0021611146379765453,0.055491329479768786
A42,2010,1198,1001,0.0017293708768927614,0.048414023372287146
A42,2020,992,836,0.0017051736472424536,0.04334677419354839
A43,1980,863,746,0.002743132434352126,0.05909617612977984
A43,1990,1297,1066,0.0015830375417085498,0.04857363145720894
A43,2000,1441,1189,0.0012256312482512486,0.03539208882720333
A43,2010,2234,1797,0.0008956558886068565,0.03043867502238138
A43,2020,1789,1467,0.0011113815531908703,0.0368921185019564
