cls,label,skipped,n_clean,n_registered,p_registered,p_renewed_given_reg,p_sec_given_reg,renew_q1,renew_q1_n,renew_q2,renew_q2_n,renew_q3,renew_q3_n,renew_q4,renew_q4_n,renew_q5,renew_q5_n,renew_lift_q5_q1,renew_lift_se,sec_q1,sec_q1_n,sec_q2,sec_q2_n,sec_q3,sec_q3_n,sec_q4,sec_q4_n,sec_q5,sec_q5_n,sec_lift_q5_q1,sec_lift_se,reg_q1,reg_q1_n,reg_q2,reg_q2_n,reg_q3,reg_q3_n,reg_q4,reg_q4_n,reg_q5,reg_q5_n,reg_lift_q5_q1,reg_lift_se
001,Chemicals,false,118548,56737,0.4785993859027567,0.6822355781941237,0.04147205527257345,0.665315474092351,11348,0.6518022384771305,11347,0.661937075879087,11347,0.6864645752555516,11348,0.745659645721336,11347,0.080344171628985,0.00602791975360565,0.03921395840676771,11348,0.038424253106547984,11347,0.04080373667048559,11347,0.047056750088121255,11348,0.04186128492112453,11347,0.0026473265143568195,0.002618174130061467,0.5217207929143821,23710,0.47365979164030536,23709,0.4571488823281316,23710,0.4467923573326585,23709,0.49367355546183045,23710,-0.028047237452551665,0.004589832450705055
002,Paints,false,31911,14550,0.45595562658644356,0.6635051546391753,0.02542955326460481,0.6237113402061856,2910,0.6003436426116838,2910,0.6408934707903781,2910,0.6979381443298969,2910,0.7546391752577319,2910,0.13092783505154637,0.012011655203652268,0.021993127147766325,2910,0.029209621993127148,2910,0.024742268041237112,2910,0.020962199312714775,2910,0.030240549828178694,2910,0.00824742268041237,0.004179621995778249,0.5439448535171549,6383,0.48417424005014104,6382,0.4454716389846443,6382,0.41617047947351926,6382,0.39000313381385143,6382,-0.1539417197033035,0.008725870389441092
003,Cosmetics & Cleaning,false,300326,151715,0.5051677177467152,0.8589460501598392,0.022140197080051414,0.816420664206642,30352,0.8331245467132591,30334,0.8593461639862905,30344,0.8894637972514253,30343,0.8963812537077318,30342,0.07996058950108975,0.002828278467160866,0.02859778597785978,30352,0.023043449594514407,30334,0.021025573424729764,30344,0.0171703523053093,30343,0.02086217124777536,30342,-0.007735614730084418,0.0012603502159818938,0.5653780841074818,60066,0.5303421293598601,60065,0.4974444351952052,60065,0.4568550736701906,60065,0.4758178639806876,60065,-0.08956022012679421,0.0028711235365098246
004,Lubricants & Fuels,false,32824,16125,0.4912563977577382,0.7678139534883721,0.03584496124031008,0.7243410852713178,3225,0.7166769993800371,3226,0.7382945736434109,3225,0.7977667493796526,3224,0.862015503875969,3225,0.13767441860465124,0.00993959823892443,0.034108527131782945,3225,0.035337879727216366,3226,0.045581395348837206,3225,0.03939205955334987,3224,0.024806201550387597,3225,-0.009302325581395349,0.0042091074906466614,0.5625285605483625,6565,0.5025133282559026,6565,0.4619134673979281,6564,0.4613861386138614,6565,0.4679360243716679,6565,-0.09459253617669461,0.008683853060306028
005,Pharmaceuticals,false,336093,191517,0.5698333496978515,0.8684450988685077,0.09539100967538129,0.8510599415204678,38304,0.8571130198678955,38303,0.8658851787066287,38303,0.8828812364566744,38303,0.8852861319966583,38304,0.034226190476190466,0.0024414163156930976,0.12165831244778613,38304,0.1078766676239459,38303,0.07923661332010548,38303,0.07662585176095867,38303,0.09155701754385964,38304,-0.03010129490392649,0.0022273639593370673,0.6218628661539148,67219,0.5643280073789758,67218,0.537987771314658,67219,0.5354369365348567,67218,0.5895505734985644,67219,-0.032312292655350405,0.0026642342102649427
006,Metal Goods,false,89730,40191,0.4479103978602474,0.6473837426289468,0.031126371575725908,0.6194800348302028,8039,0.5880816123413785,8038,0.6292610102015427,8038,0.6582483204777307,8038,0.7418512067678527,8038,0.1223711719376499,0.0072902638025374705,0.03843761661898246,8039,0.03359044538442399,8038,0.02861408310525006,8038,0.03085344613087833,8038,0.02413535705399353,8038,-0.014302259564988932,0.002743682608564428,0.5644711913518333,17946,0.485233478212415,17946,0.4183104870166054,17946,0.39418254764292876,17946,0.3773542850774546,17946,-0.1871169062743787,0.0051760572661977465
007,Machinery,false,148670,61490,0.4136005919149795,0.6425760286225403,0.034103106196129454,0.6033501382338592,12298,0.6016425435030086,12298,0.6144088469669865,12298,0.6546592941941779,12298,0.738819320214669,12298,0.13546918198080982,0.005928807875516648,0.04073833143600585,12298,0.03569686127825663,12298,0.0330134981297772,12298,0.029760936737680925,12298,0.03130590339892665,12298,-0.0094324280370792,0.0023756188877731804,0.49468621779780725,29734,0.4243963139839914,29734,0.3868635232393893,29734,0.37721127328983656,29734,0.384845631263873,29734,-0.10984058653393425,0.004045842919303941
008,Hand Tools,false,62591,26359,0.42113083350641467,0.75048370575515,0.021017489282597973,0.7008725341426404,5272,0.7103566009104704,5272,0.708649468892261,5272,0.778030734206033,5271,0.8545144157814871,5272,0.15364188163884673,0.007959134934976827,0.02522761760242792,5272,0.02674506828528073,5272,0.022192716236722306,5272,0.018402580155568202,5271,0.01251896813353566,5272,-0.01270864946889226,0.002647522551490139,0.5212876427829699,12519,0.46844543856846144,12518,0.44959258667518776,12518,0.348058795334718,12518,0.31826170314746766,12518,-0.20302593963550225,0.006104603528207652
009,Software & Electronics,false,1146078,566545,0.4943337189964383,0.8328888261303162,0.040408087618812275,0.8193347395176023,113309,0.8186728326964319,113309,0.8237521180457498,113312,0.837431380509417,113306,0.8652534220582655,113309,0.045918682540663225,0.001528182566663767,0.0453891570837268,113309,0.03897307363051479,113309,0.04097536006777747,113312,0.04103930948052177,113306,0.03566353952466265,113309,-0.009725617559064155,0.0008282014015332594,0.5037999092558983,229216,0.4817028479687282,229216,0.4759514099404619,229265,0.4832107869875417,229165,0.5270050956303225,229216,0.023205186374424147,0.0014758400983144507
010,Medical Apparatus,false,174201,84275,0.48378023088271593,0.7930584396321566,0.06803915752002374,0.7636902996143577,16855,0.7655888460397509,16855,0.7789973301690893,16855,0.8046277069118956,16855,0.8523880154256898,16855,0.08869771581133201,0.004262870211819056,0.09296944526846633,16855,0.0764164936220706,16855,0.06449124888757045,16855,0.058024325126075346,16855,0.048294274695935925,16855,-0.044675170572530405,0.002780276180848922,0.550111933872912,34842,0.5013634145641379,34839,0.474182715765908,34841,0.4623841097620483,34839,0.4308553386911596,34840,-0.11925659518175241,0.0037605328677866737
