Top 30 pioneers of 'blockchain'  (n=11,473 firms total)

rank    yr  sur  sec    nT    tot  owner
    1  2014    Y    ·     8      8  BLOCKCORP LIMITED
    2  2014    ·    ·     3      3  BITVAULT LLC
    3  2014    Y    ·     2     46  Bolt Financial, Inc.
    4  2015    ·    ·     4      4  Colu Technologies Ltd.
    5  2015    ·    ·     2      3  VESCEL LLC
    6  2015    Y    ·     1      1  Voorhees, Erik T
    7  2015    Y    ·     1      1  Lane, Alex
    8  2015    ·    ·     4      4  Deckbound LLC
    9  2015    ·    ·     2      4  BLOCKSTACK PBC
   10  2015    Y    ·     2      2  Calorchi, Inc
   11  2015    Y    ·     8     13  Eris Industries Limited
   12  2015    Y    ·     4      4  Preston J. Byrne
   13  2015    ·    ·    24     36  NEWTENDERMINT, LLC
   14  2015    Y    ·     2     16  TZERO GROUP, INC.
   15  2015    ·    ·     2      2  Ciphertrace
   16  2015    Y    ·    11     23  Digital CC IP Pty Ltd
   17  2015    Y    ·     1      2  Bitpagos, Inc.
   18  2015    ·    ·     1      1  Raistone, Inc.
   19  2015    ·    ·     4      6  BTCC POOL LIMITED (BVI)
   20  2015    ·    ·     2      2  BTTX CORP.
   21  2015    ·    ·     1      2  Stampery, Inc.
   22  2015    Y    ·     2      5  Stratis Advisory LLC
   23  2015    ·    ·     1      1  LXC Coin Ltd.
   24  2015    ·    ·     2      4  Tinubu Square
   25  2016    Y    ·     2     16  Global Specimen Solutions, Inc.
   26  2016    ·    ·     4      4  Ancile Holdings LLC
   27  2016    ·    ·     1      3  ANTPOOL TECHNOLOGIES LIMITED
   28  2016    ·    ·     1      2  Cryptonomex, Inc.
   29  2016    Y    ·     2      2  Thomas B. Roughan
   30  2016    Y    ·     2      2  RSK LABS LTD.
