mark,year,prospective_kl,retrospective_kl,dkl,serial_number
LIQUID DEATH,2023,3.9660705802952765,3.796187798055392,0.1698827822398843,98226187
WHITE CLAW SELTZER WORKS,2016,9.12308495371974,7.3456129742099945,1.7774719795097456,86959891
ROCKSTAR,2002,4.73601082615173,3.921765359968867,0.8142454661828635,78194527
HARD MTN DEW,2021,4.805004358690059,4.955349360411963,-0.15034500172190413,90873314
FIJI,2005,5.310236583467602,4.857380922790387,0.4528556606772147,78712270
SMARTWATER,1997,4.131120102365713,4.581515952846729,-0.4503958504810157,75265235
ESSENTIA,2008,5.155900319857867,5.319896824493615,-0.16399650463574744,77482520
KOMBUCHA,1997,5.1393603571408,4.97363258586422,0.16572777127658078,75396545
POWERADE,1996,3.7568409087886616,3.8658444140109918,-0.10900350522233015,75041942
BUDWEISER,2013,6.767469722032705,6.438095361595228,0.3293743604374768,86067847
GATORADE,1991,5.040417328804592,5.271000195939477,-0.23058286713488485,74223452
RED BULL,1995,3.2338614914380255,2.7476492290222936,0.4862122624157319,75979618
MONSTER ENERGY,2002,4.569341356041284,4.264958517324443,0.30438283871684124,78122679
ATHLETIC BREWING,2017,4.503617405198754,4.562501824412917,-0.058884419214162875,87472060
CELSIUS,2004,6.14557778064915,6.494860815750761,-0.3492830351016112,76620998
