surface,cls,x,y,n,n_effective,rate_raw,rate_eb,value_raw,value_eb,z,p,sig_naive,sig_bh
survival,009,2.1778,2.32,126,12.6,0.20635,0.43554,-25.5423,-2.6227,-1.817,0.06918,false,false
survival,009,2.3556,2.32,228,108.8,0.2807,0.37131,-18.107,-9.0466,-3.788,0.0001518,true,true
survival,009,2.5333,2.64,343,155.2,0.38776,0.41835,-7.4017,-4.3422,-1.85,0.06433,false,false
survival,009,2.7111,2.64,430,241.2,0.35581,0.3888,-10.5958,-7.2971,-3.301,0.0009638,true,true
survival,009,2.7111,2.96,196,118.0,0.44898,0.45527,-1.2793,-0.65,-0.279,0.7804,false,false
survival,009,2.8889,2.64,111,52.3,0.42342,0.44953,-3.8349,-1.2243,-0.556,0.578,false,false
survival,009,2.8889,2.96,1021,678.3,0.31244,0.33308,-14.9333,-12.8688,-7.802,6.117e-15,true,true
survival,009,3.0667,2.96,817,612.1,0.3366,0.3555,-12.5175,-10.6271,-6.212,5.229e-10,true,true
survival,009,3.0667,3.28,701,476.7,0.40086,0.41222,-6.0916,-4.9556,-2.668,0.007634,true,true
survival,009,3.2444,2.96,153,131.3,0.4183,0.43812,-4.3472,-2.3648,-0.999,0.3177,false,false
survival,009,3.2444,3.28,1868,1270.9,0.34261,0.35201,-11.916,-10.9758,-8.521,1.582e-17,true,true
survival,009,3.2444,3.6,131,104.8,0.49618,0.47885,3.4411,1.7074,0.706,0.4799,false,false
survival,009,3.4222,3.28,1193,941.4,0.40402,0.41003,-5.7749,-5.1744,-3.554,0.0003793,true,true
survival,009,3.4222,3.6,1654,867.5,0.44015,0.44259,-2.1627,-1.9184,-1.278,0.2013,false,false
survival,009,3.6,3.28,289,215.6,0.49135,0.48156,2.9577,1.9786,0.871,0.3837,false,false
survival,009,3.6,3.6,3095,1428.0,0.38481,0.39027,-7.6958,-7.1498,-5.833,5.432e-9,true,true
survival,009,3.6,3.92,519,384.4,0.49518,0.4879,3.3411,2.6129,1.314,0.1889,false,false
survival,009,3.7778,3.6,1670,1067.9,0.46587,0.46552,0.4096,0.375,0.268,0.7883,false,false
survival,009,3.7778,3.92,2750,1561.7,0.43345,0.43532,-2.8318,-2.6455,-2.245,0.02479,true,false
survival,009,3.7778,4.24,152,88.4,0.53289,0.49388,7.1123,3.2111,1.341,0.1798,false,false
survival,009,3.9556,3.6,411,317.9,0.58881,0.55656,12.7036,9.4791,4.544,5.533e-6,true,true
survival,009,3.9556,3.92,3754,1908.1,0.41662,0.41907,-4.515,-4.2702,-3.956,0.0000762,true,true
survival,009,3.9556,4.24,1110,816.1,0.46937,0.46852,0.7597,0.6745,0.435,0.6633,false,false
survival,009,4.1333,3.6,117,104.9,0.59829,0.52905,13.6518,6.7278,2.805,0.005031,true,true
survival,009,4.1333,3.92,1749,1229.2,0.50543,0.50192,4.3659,4.0145,3.07,0.002138,true,true
survival,009,4.1333,4.24,3943,2938.0,0.42582,0.42711,-3.5954,-3.4661,-3.909,0.00009263,true,true
survival,009,4.1333,4.56,326,257.5,0.51227,0.4974,5.0498,3.5627,1.626,0.1041,false,false
survival,009,4.3111,3.92,564,468.3,0.63121,0.59939,16.9433,13.7617,7.355,1.915e-13,true,true
survival,009,4.3111,4.24,4305,2993.7,0.43438,0.43535,-2.7394,-2.6423,-3.006,0.002643,true,true
survival,009,4.3111,4.56,2070,1608.9,0.49275,0.49082,3.0981,2.9045,2.493,0.01268,true,true
survival,009,4.3111,4.88,118,27.2,0.47458,0.46461,1.2804,0.2838,0.134,0.8934,false,false
survival,009,4.4889,3.92,157,117.4,0.64331,0.55626,18.154,9.4484,3.945,0.00007977,true,true
survival,009,4.4889,4.24,2038,1660.9,0.54956,0.54419,8.7786,8.2422,7.176,7.166e-13,true,true
survival,009,4.4889,4.56,5253,3378.4,0.43613,0.43694,-2.564,-2.4832,-2.989,0.002795,true,true
survival,009,4.4889,4.88,757,194.7,0.46103,0.46142,-0.0742,-0.0354,-0.021,0.9834,false,false
survival,009,4.6667,4.24,639,517.1,0.60407,0.57944,14.2297,11.7671,6.491,8.544e-11,true,true
survival,009,4.6667,4.56,4442,3285.6,0.45723,0.45738,-0.4546,-0.4389,-0.523,0.6012,false,false
survival,009,4.6667,4.88,2932,1920.6,0.47783,0.47699,1.6059,1.5218,1.412,0.158,false,false
survival,009,4.6667,5.2,188,140.3,0.49468,0.48047,3.2909,1.8702,0.782,0.4343,false,false
survival,009,4.8444,4.24,232,161.6,0.56466,0.52346,10.2883,6.1691,2.624,0.008695,true,true
survival,009,4.8444,4.56,1874,1321.6,0.54803,0.54151,8.6253,7.9733,6.29,3.183e-10,true,true
survival,009,4.8444,4.88,5895,4385.7,0.43834,0.43891,-2.3435,-2.286,-3.113,0.001852,true,true
survival,009,4.8444,5.2,1170,468.9,0.50684,0.49843,4.5065,3.6659,1.957,0.05029,false,false
survival,009,5.0222,4.24,124,16.4,0.69355,0.49242,23.1776,3.0647,1.88,0.06009,false,false
survival,009,5.0222,4.56,651,373.5,0.64823,0.60632,18.6461,14.455,7.228,4.906e-13,true,true
survival,009,5.0222,4.88,4533,3393.0,0.47959,0.47905,1.7822,1.728,2.082,0.03731,true,false
survival,009,5.0222,5.2,3924,2941.8,0.44699,0.44753,-1.4779,-1.4241,-1.608,0.1079,false,false
survival,009,5.0222,5.52,312,215.5,0.52885,0.5065,6.7074,4.4723,1.975,0.04825,false,false
survival,009,5.2,4.56,249,209.4,0.62249,0.56774,16.0718,10.5965,4.665,3.089e-6,true,true
survival,009,5.2,4.88,1616,1197.6,0.58168,0.57175,11.9911,10.9975,8.324,8.526e-17,true,true
survival,009,5.2,5.2,6150,4641.7,0.43935,0.43987,-2.2423,-2.1903,-3.064,0.002182,true,true
survival,009,5.2,5.52,1589,1076.1,0.50472,0.50082,4.2948,3.9044,2.826,0.004713,true,true
survival,009,5.3778,4.56,106,66.4,0.71698,0.55889,25.5209,9.712,4.173,0.00003009,true,true
survival,009,5.3778,4.88,546,494.9,0.60623,0.58031,14.4455,11.8534,6.446,1.148e-10,true,true
survival,009,5.3778,5.2,3660,3021.6,0.50437,0.50291,4.2599,4.1134,4.697,2.639e-6,true,true
survival,009,5.3778,5.52,4851,3584.5,0.43723,0.43796,-2.4543,-2.3811,-2.947,0.003204,true,true
survival,009,5.3778,5.84,379,322.4,0.53562,0.51711,7.3848,5.5336,2.66,0.007816,true,true
survival,009,5.5556,4.88,182,157.9,0.65934,0.579,19.7568,11.7228,4.98,6.36e-7,true,true
survival,009,5.5556,5.2,1335,974.5,0.54981,0.54102,8.8041,7.9252,5.513,3.532e-8,true,true
survival,009,5.5556,5.52,5823,4712.9,0.44101,0.44148,-2.0762,-2.0287,-2.859,0.004249,true,true
survival,009,5.5556,5.84,2140,1786.1,0.48692,0.48549,2.5144,2.3723,2.131,0.03305,true,false
survival,009,5.7333,5.2,437,254.9,0.5881,0.55048,12.6328,8.8705,4.046,0.00005216,true,true
survival,009,5.7333,5.52,2855,2313.1,0.49842,0.4968,3.6652,3.5024,3.536,0.0004065,true,true
survival,009,5.7333,5.84,5207,4140.5,0.43,0.43082,-3.1774,-3.0954,-4.101,0.00004112,true,true
survival,009,5.7333,6.16,590,530.3,0.47797,0.47527,1.6194,1.35,0.748,0.4545,false,false
survival,009,5.9111,5.2,186,136.1,0.64516,0.56396,18.3389,10.2185,4.292,0.00001772,true,true
survival,009,5.9111,5.52,1022,889.5,0.56164,0.55082,9.9872,8.9047,5.975,2.307e-9,true,true
survival,009,5.9111,5.84,5199,4138.2,0.46355,0.46351,0.1778,0.1742,0.229,0.8185,false,false
survival,009,5.9111,6.16,2452,1858.3,0.46452,0.46439,0.2747,0.2614,0.237,0.8123,false,false
survival,009,5.9111,6.48,308,29.3,0.48377,0.46672,2.1994,0.4945,0.239,0.8112,false,false
survival,009,6.0889,5.2,121,55.3,0.61983,0.51533,15.8063,5.356,2.357,0.01841,true,true
survival,009,6.0889,5.52,310,277.6,0.62258,0.57748,16.0808,11.5704,5.374,7.688e-8,true,true
survival,009,6.0889,5.84,2194,1781.4,0.4959,0.49396,3.4126,3.2185,2.889,0.003864,true,true
survival,009,6.0889,6.16,5023,3944.6,0.42982,0.43069,-3.1949,-3.1085,-4.025,0.00005697,true,true
survival,009,6.0889,6.48,692,564.9,0.43931,0.44298,-2.2466,-1.879,-1.071,0.2841,false,false
survival,009,6.2667,5.52,129,116.8,0.72868,0.60029,26.691,13.8519,5.786,7.192e-9,true,true
survival,009,6.2667,5.84,686,507.4,0.55685,0.54016,9.5079,7.8385,4.296,0.0000174,true,true
survival,009,6.2667,6.16,3770,3134.7,0.47003,0.46976,0.8254,0.7989,0.927,0.3539,false,false
survival,009,6.2667,6.48,2730,2167.0,0.4685,0.46819,0.6726,0.6421,0.628,0.53,false,false
survival,009,6.2667,6.8,183,154.6,0.51913,0.49561,5.7353,3.3835,1.43,0.1526,false,false
survival,009,6.4444,5.84,310,138.7,0.56129,0.51775,9.9518,5.598,2.351,0.01872,true,true
survival,009,6.4444,6.16,1534,1317.2,0.49153,0.48929,2.9753,2.7514,2.166,0.03031,true,false
survival,009,6.4444,6.48,4084,3259.9,0.42605,0.42721,-3.5719,-3.4557,-4.091,0.00004299,true,true
survival,009,6.4444,6.8,890,559.4,0.48315,0.47973,2.1374,1.7956,1.014,0.3106,false,false
survival,009,6.6222,5.84,105,77.6,0.60952,0.52358,14.7752,6.181,2.611,0.009021,true,true
survival,009,6.6222,6.16,582,45.9,0.45876,0.46112,-0.3009,-0.0656,-0.041,0.9674,false,false
survival,009,6.6222,6.48,2768,2288.7,0.46965,0.46931,0.7881,0.754,0.756,0.4495,false,false
survival,009,6.6222,6.8,2606,2158.6,0.45088,0.45142,-1.089,-1.0352,-1.015,0.3102,false,false
survival,009,6.6222,7.12,258,232.9,0.54651,0.51969,8.4739,5.7913,2.594,0.009481,true,true
survival,009,6.8,5.84,105,13.9,0.34286,0.44854,-11.8915,-1.3235,-0.891,0.3731,false,false
survival,009,6.8,6.16,175,145.0,0.58857,0.53444,12.6799,7.2668,3.063,0.002192,true,true
survival,009,6.8,6.48,951,816.6,0.4795,0.47746,1.7723,1.5684,1.016,0.3097,false,false
survival,009,6.8,6.8,3072,2526.1,0.44043,0.44132,-2.1343,-2.0449,-2.152,0.03142,true,false
survival,009,6.8,7.12,1019,845.8,0.49166,0.4883,2.9886,2.6526,1.743,0.08126,false,false
survival,009,6.9778,6.48,277,236.1,0.53069,0.50909,6.8914,4.7319,2.124,0.03366,true,false
survival,009,6.9778,6.8,1676,1452.8,0.45943,0.45961,-0.2345,-0.2158,-0.179,0.8577,false,false
survival,009,6.9778,7.12,2209,1765.8,0.43866,0.44002,-2.3112,-2.1754,-1.948,0.0514,false,false
survival,009,6.9778,7.44,253,220.1,0.45455,0.45704,-0.7227,-0.4727,-0.215,0.8297,false,false
survival,009,7.1556,6.48,132,98.7,0.55303,0.50541,9.1258,4.3634,1.818,0.06902,false,false
survival,009,7.1556,6.8,553,508.9,0.5009,0.49408,3.9132,3.2313,1.771,0.07662,false,false
survival,009,7.1556,7.12,2244,1858.6,0.42602,0.42802,-3.5747,-3.3756,-3.091,0.001993,true,true
survival,009,7.1556,7.44,933,812.8,0.43301,0.43644,-2.876,-2.5332,-1.645,0.1,false,false
survival,009,7.3333,6.8,200,159.2,0.555,0.51734,9.3228,5.5567,2.359,0.01832,true,true
survival,009,7.3333,7.12,1133,875.5,0.48455,0.48208,2.2782,2.0307,1.352,0.1763,false,false
survival,009,7.3333,7.44,1865,1507.9,0.43164,0.43368,-3.0137,-2.809,-2.347,0.01891,true,true
survival,009,7.3333,7.76,280,227.9,0.49643,0.48536,3.4656,2.3587,1.05,0.2939,false,false
survival,009,7.5111,6.8,92,24.1,0.57609,0.48282,11.4315,2.1052,1.126,0.2603,false,false
survival,009,7.5111,7.12,397,354.2,0.47355,0.47087,1.1779,0.9096,0.445,0.6565,false,false
survival,009,7.5111,7.44,1395,1128.8,0.44086,0.44272,-2.0912,-1.9048,-1.409,0.1587,false,false
survival,009,7.5111,7.76,809,709.4,0.38443,0.39473,-7.7347,-6.7038,-4.132,0.00003592,true,true
survival,009,7.6889,7.12,138,118.5,0.48551,0.47432,2.3735,1.2551,0.518,0.6043,false,false
survival,009,7.6889,7.44,665,582.5,0.45414,0.45539,-0.7637,-0.6384,-0.37,0.7116,false,false
survival,009,7.6889,7.76,1261,991.7,0.41158,0.41656,-5.0194,-4.5209,-3.171,0.001521,true,true
survival,009,7.6889,8.08,324,220.4,0.43519,0.44407,-2.6587,-1.7702,-0.792,0.4285,false,false
survival,009,7.8667,7.44,254,228.3,0.51969,0.50113,5.7913,3.9361,1.755,0.07923,false,false
survival,009,7.8667,7.76,763,664.8,0.43381,0.43779,-2.7958,-2.3987,-1.446,0.1482,false,false
survival,009,7.8667,8.08,639,497.0,0.41158,0.42064,-5.0192,-4.1134,-2.244,0.0248,true,false
survival,009,7.8667,8.4,87,78.6,0.4023,0.43698,-5.9473,-2.4789,-1.058,0.2901,false,false
survival,009,8.0444,7.44,111,91.6,0.4955,0.47739,3.3723,1.5616,0.647,0.5174,false,false
survival,009,8.0444,7.76,445,346.2,0.47865,0.4747,1.6879,1.2932,0.63,0.5287,false,false
survival,009,8.0444,8.08,702,586.7,0.41738,0.42436,-4.4393,-3.741,-2.157,0.03102,true,false
survival,009,8.0444,8.4,264,219.3,0.43561,0.44438,-2.6166,-1.739,-0.777,0.437,false,false
survival,009,8.2222,7.76,164,148.0,0.4939,0.48046,3.213,1.8683,0.784,0.4329,false,false
survival,009,8.2222,8.08,482,412.2,0.49378,0.48718,3.2004,2.5404,1.303,0.1925,false,false
survival,009,8.2222,8.4,403,343.5,0.39206,0.40888,-6.9713,-5.2892,-2.592,0.009554,true,true
survival,009,8.2222,8.72,101,79.7,0.48515,0.47187,2.3376,1.0097,0.419,0.6754,false,false
survival,009,8.4,7.76,90,31.7,0.61111,0.49577,14.9339,3.3997,1.686,0.09184,false,false
survival,009,8.4,8.08,220,176.7,0.53636,0.50811,7.4591,4.6342,1.989,0.04669,false,false
survival,009,8.4,8.4,433,373.5,0.42956,0.43689,-3.2211,-2.4882,-1.249,0.2118,false,false
survival,009,8.4,8.72,246,182.8,0.41057,0.42977,-5.1203,-3.2003,-1.389,0.1649,false,false
survival,009,8.5778,8.08,97,77.0,0.53608,0.4928,7.431,3.1032,1.308,0.191,false,false
survival,009,8.5778,8.4,259,231.2,0.45946,0.46031,-0.2313,-0.1465,-0.071,0.9438,false,false
survival,009,8.5778,8.72,320,262.7,0.41563,0.42922,-4.6147,-3.2555,-1.5,0.1336,false,false
survival,009,8.7556,8.4,132,113.9,0.5303,0.49702,6.8531,3.5251,1.467,0.1424,false,false
survival,009,8.7556,8.72,222,193.4,0.38739,0.41425,-7.4385,-4.7525,-2.075,0.03798,true,false
survival,009,8.7556,9.04,153,132.6,0.41176,0.43443,-5.0007,-2.7344,-1.155,0.2481,false,false
survival,009,8.9333,8.72,149,128.0,0.42282,0.44085,-3.8953,-2.0926,-0.884,0.3766,false,false
survival,009,8.9333,9.04,180,171.2,0.37778,0.4105,-8.3994,-5.1273,-2.204,0.02749,true,false
survival,009,9.1111,9.04,124,111.2,0.41129,0.4364,-5.0482,-2.5376,-1.068,0.2857,false,false
survival,009,9.1111,9.36,120,96.4,0.4,0.4329,-6.1772,-2.887,-1.216,0.2239,false,false
survival,009,9.2889,9.04,85,56.1,0.45882,0.46099,-0.2949,-0.0781,-0.044,0.9647,false,false
survival,009,9.2889,9.36,106,100.4,0.4434,0.45312,-1.8376,-0.8654,-0.369,0.7119,false,false
survival,009,2.0889,2.16,94,33.1,0.25532,0.41384,-20.6453,-4.7934,-2.381,0.01727,true,true
survival,009,2.4444,2.48,299,172.7,0.29097,0.35703,-17.0802,-10.4747,-4.502,6.733e-6,true,true
survival,009,2.6222,2.48,133,101.0,0.36842,0.41694,-9.3351,-4.483,-1.882,0.05981,false,false
survival,009,2.6222,2.8,311,133.1,0.36013,0.40594,-10.1644,-5.5836,-2.352,0.01866,true,true
survival,009,2.8,2.8,829,332.1,0.36309,0.38748,-9.8684,-7.4294,-3.607,0.0003092,true,true
survival,009,2.9778,2.8,327,179.6,0.39755,0.42187,-6.4219,-3.99,-1.726,0.0843,false,false
survival,009,2.9778,3.12,922,359.7,0.40564,0.41873,-5.6132,-4.3042,-2.135,0.03273,true,false
survival,009,3.1556,3.12,1455,1025.2,0.35739,0.36741,-10.4384,-9.4358,-6.704,2.027e-11,true,true
survival,009,3.1556,3.44,387,277.3,0.42636,0.43642,-3.5416,-2.5357,-1.183,0.2368,false,false
survival,009,3.3333,3.12,515,371.2,0.45631,0.45762,-0.5462,-0.4149,-0.211,0.8328,false,false
survival,009,3.3333,3.44,1981,1190.6,0.38617,0.39251,-7.5604,-6.9259,-5.233,1.67e-7,true,true
survival,009,3.5111,3.12,92,68.3,0.52174,0.48514,5.9967,2.3365,0.994,0.3203,false,false
survival,009,3.5111,3.44,2401,1464.7,0.36776,0.37427,-9.4009,-8.75,-7.217,5.319e-13,true,true
survival,009,3.5111,3.76,1100,551.8,0.45909,0.45959,-0.2681,-0.2185,-0.126,0.8995,false,false
survival,009,3.6889,3.44,738,541.2,0.49729,0.49141,3.5518,2.9641,1.657,0.09745,false,false
survival,009,3.6889,3.76,3241,1763.8,0.42518,0.42732,-3.6595,-3.4454,-3.083,0.002051,true,true
survival,009,3.6889,4.08,238,200.4,0.55042,0.5194,8.8648,5.7628,2.517,0.01182,true,true
survival,009,3.8667,3.44,148,116.3,0.60811,0.53762,14.6336,7.585,3.165,0.00155,true,true
