surface,cls,treatment,n_points,base_rate,cells_drawn,intra_owner_correlation,owner_deff_median,owner_deff_max,prior_mean,prior_var,prior_sd_pp,prior_nu,shrink_weight_median,shrink_weight_max,top10_absdev_raw,top10_absdev_treated,cells_changing_colour_band,cells_visually_distinct_raw,cells_visually_distinct,plotted_sd_raw,plotted_sd,noise_sd_clustered,noise_sd_binomial,dispersion_raw,dispersion,dkl_q5_minus_q1_pp_raw,dkl_q5_minus_q1_pp,dkl_q5_over_q1_raw,dkl_q5_over_q1,owner_deff_at_bandwidth,cv_sigma,cv_sigma_1se,cv_dev_min,cv_dev_at_largest_sigma,cv_dev_null,neff_median,neff_min,pct_points_in_support,fitted_min_pct,fitted_max_pct,share_support_distinguishable,share_area_visually_distinct,cells_sig_naive,cells_sig_expected_by_chance,cells_sig_bh,cells_hatched_naive_not_bh,cells_neutral
survival,009,empirical_bayes,362027,0.46177,282,0.4207,1.269,16.819,0.46211,0.002269,4.764,108.5,0.215,0.908,24.666,9.354,99,147,111,8.496,5.226,3.081,2.444,2.76,1.7,6.185,4.85,1.131,1.105,,,,,,,,,,,,,,,,,,
survival,032,empirical_bayes,25869,0.45645,68,0.4183,1.366,4.777,0.45452,0.004878,6.985,49.8,0.279,0.724,17.737,11.551,32,48,33,9.099,6.064,4.723,3.942,1.93,1.28,-6.127,-4.109,0.881,0.917,,,,,,,,,,,,,,,,,,
survival,009,kernel_smooth,362027,0.46177,7191,0.4207,,,,,,,,,,,,,3426,8.496,7.345,3.081,2.444,,,6.185,5.684,1.131,1.125,1.589,0.08,0.08,0.686097,0.689369,0.690222,1211,85,97.9,16.641,80.382,0.636,0.476,,,,,
survival,032,kernel_smooth,25869,0.45645,6565,0.4183,,,,,,,,,,,,,3031,9.099,5.795,4.723,3.942,,,-6.127,-3.314,0.881,0.932,2.235,0.25,0.5,0.682139,0.684496,0.68935,1025,48,95.9,27.38,55.518,0.503,0.462,,,,,
survival,009,significance_mask,362027,0.46177,282,0.4207,1.269,16.819,,,,,,,,,,,106,8.496,10.389,3.081,2.444,,,6.185,8.38,1.131,1.182,,,,,,,,,,,,,,144,12.8,125,19,138
survival,032,significance_mask,25869,0.45645,68,0.4183,1.366,4.777,,,,,,,,,,,24,9.099,13.433,4.723,3.942,,,-6.127,-8.472,0.881,0.842,,,,,,,,,,,,,,24,3.1,20,4,44
listing,009,empirical_bayes,610953,0.05035,194,1.0,1.748,22.715,0.05074,0.00002957,0.544,1627.7,0.629,0.982,1.08,0.113,34,27,0,0.367,0.094,0.276,0.174,1.33,0.34,-0.376,-0.085,0.933,0.984,,,,,,,,,,,,,,,,,,
listing,032,empirical_bayes,41558,0.02291,33,1.0,2.61,8.798,0.0221,0.0002047,1.431,104.6,0.252,0.722,1.683,1.036,14,17,14,1.058,0.659,0.671,0.38,1.58,0.98,-2.274,-0.795,0.429,0.724,,,,,,,,,,,,,,,,,,
listing,009,kernel_smooth,610953,0.05035,4968,1.0,,,,,,,,,,,,,1,0.367,0.129,0.276,0.174,,,-0.376,-0.061,0.933,0.988,12.153,0.65,1.1,0.199478,0.199491,0.199557,15846,1439,94.4,3.557,5.801,0.465,0.0,,,,,
listing,032,kernel_smooth,41558,0.02291,5407,1.0,,,,,,,,,,,,,2991,1.058,0.742,0.671,0.38,,,-2.274,-0.634,0.429,0.748,4.252,0.25,1.1,0.112121,0.112447,0.109149,1015,250,90.0,0.736,14.918,0.421,0.553,,,,,
listing,009,significance_mask,610953,0.05035,194,1.0,1.748,22.715,,,,,,,,,,,14,0.367,0.664,0.276,0.174,,,-0.376,0.588,0.933,1.098,,,,,,,,,,,,,,25,8.8,6,19,169
listing,032,significance_mask,41558,0.02291,33,1.0,2.61,8.798,,,,,,,,,,,4,1.058,1.738,0.671,0.38,,,-2.274,-9.636,0.429,0.072,,,,,,,,,,,,,,4,1.5,4,0,29
