cls,label,skipped,n,p_registered,reg_q1,reg_q1_n,reg_q2,reg_q2_n,reg_q3,reg_q3_n,reg_q4,reg_q4_n,reg_q5,reg_q5_n,reg_lift_q5_q1,reg_inverseU_depth,reg_inverseU_se
001,Chemicals,false,92724,0.6615978603166386,0.6438393097870045,18545,0.6767322728498247,18545,0.6850194132873166,18544,0.6846589377190617,18545,0.6177406308978162,18545,-0.026098678889188376,0.05422944294490628,0.004232565425708613
002,Paints,false,24841,0.6852381144076325,0.6522439122559871,4969,0.6863929146537843,4968,0.7047101449275363,4968,0.6930812550281577,4972,0.6897663174858985,4964,0.03752240522991135,0.03370503005659342,0.008006963038255419
003,Cosmetics & Cleaning,false,225424,0.5518800127759245,0.5253853831651325,45085,0.5467006764999446,45085,0.551659125188537,45084,0.5678163469002995,45085,0.5678385272263502,45085,0.042453144061217696,0.0050471699927956415,0.0028695743191351234
004,Lubricants & Fuels,false,25528,0.6014963961140708,0.5771641206423815,5106,0.6084231145935357,5105,0.6392479435957696,5106,0.6107737512242899,5105,0.571876224050137,5106,-0.00528789659224449,0.06472777124951035,0.008312744430624464
005,Pharmaceuticals,false,264538,0.495592315659754,0.46659358521234573,52909,0.5063888158141983,53218,0.5233858088067533,52596,0.5218681484841612,52908,0.4598257319447332,52907,-0.006767853267612534,0.060176150228213876,0.002663196470241696
006,Metal Goods,false,69960,0.6908947970268725,0.6397226986849628,13992,0.6853201829616924,13992,0.7184819897084048,13992,0.7208803773045591,13994,0.6900643316654753,13990,0.05034163298051253,0.053588474533185715,0.00473481025829303
007,Machinery,false,115697,0.7148413528440668,0.689066551426102,23140,0.7229353040321536,23139,0.7397035308353861,23139,0.7363758157223734,23139,0.6861279170267934,23140,-0.002938634399308526,0.052106296608938396,0.0036003587720524442
008,Hand Tools,false,43702,0.6530593565511876,0.6213247912138199,8741,0.6435926773455377,8740,0.6592677345537757,8740,0.6408466819221968,8740,0.7002631277885826,8741,0.07893833657476268,-0.0015262249474254919,0.006206713890217336
009,Software & Electronics,false,916875,0.571321063394683,0.5561620678372777,183380,0.5848448492119758,183370,0.5952065439672801,183375,0.5863012951601909,183375,0.534091342876619,183375,-0.02207072496065876,0.05007983861033172,0.001410672755164167
010,Medical Apparatus,false,127757,0.5985425456139389,0.5708136030994404,25553,0.6005244413134515,25551,0.6144814090019569,25550,0.6099174200618371,25551,0.5969787100814026,25552,0.026165106981962172,0.030585252411535424,0.003745122537340855
