nice_class,scoring,decile,n,A_mean,sd_L,median_n_terms
009,token,1,151530,3.3048700401701785,0.1655300980850224,203.0
009,token,2,151530,4.041173596928521,0.20882731148509132,81.0
009,token,3,151528,4.460881060788719,0.22723552666954847,52.0
009,token,4,151532,4.8010132740952365,0.2658146842544978,39.0
009,token,5,151530,5.118016326382881,0.2886389760946098,33.0
009,token,6,151530,5.442889423720966,0.32204540718383795,27.0
009,token,7,151530,5.794667859956839,0.35400840514209925,23.0
009,token,8,151530,6.20499233411719,0.40354008784505946,18.0
009,token,9,151530,6.74934017215405,0.42794910900221117,14.0
009,token,10,151530,7.87044281729931,0.49673174608090187,8.0
009,topic,1,97897,1.1003420633513177,0.1261297325791257,68.0
009,topic,2,97897,1.3323427020654162,0.13760821838571993,39.0
009,topic,3,97897,1.4817573318945998,0.13970881291392567,33.0
009,topic,4,97896,1.6219296271984105,0.1427778027042789,29.0
009,topic,5,97897,1.7698321729351285,0.1487694223401234,26.0
009,topic,6,97897,1.929600112989694,0.15930820674041143,24.0
009,topic,7,97896,2.1115126084885474,0.16219434136168262,23.0
009,topic,8,97897,2.3583486026267546,0.1612661710635153,21.0
009,topic,9,97897,2.7599744151709102,0.1473327916126812,18.0
009,topic,10,97897,3.5144608699434734,0.15717314603228633,15.0
035,token,1,126105,3.4464314403000693,0.15288105873429017,201.0
035,token,2,126105,4.137090863155376,0.17759762786713842,72.0
035,token,3,126104,4.515097266957311,0.1943369413318072,48.0
035,token,4,126105,4.823528937078887,0.20248363078540751,38.0
035,token,5,126104,5.108060825576477,0.21446141007965341,31.0
035,token,6,126105,5.396503773072961,0.23433638528384754,28.0
035,token,7,126105,5.708764177098839,0.2473384721758954,23.0
035,token,8,126104,6.068417822070727,0.3026127287034709,19.0
035,token,9,126101,6.559855478899229,0.3795958486139491,15.0
035,token,10,126109,7.572183228415806,0.46432780886664615,9.0
035,topic,1,83457,1.054157981896198,0.12688592267477142,46.0
035,topic,2,83459,1.2795294754750042,0.1237820104832385,38.0
035,topic,3,83458,1.4387824249067356,0.11526566247543325,31.0
035,topic,4,83457,1.5935211397908926,0.11445800224327603,28.0
035,topic,5,83458,1.7591115454183415,0.11718934809055462,24.0
035,topic,6,83458,1.9286642963834049,0.11495556957430902,20.0
035,topic,7,83447,2.10120550235123,0.1228144675300198,19.0
035,topic,8,83468,2.317654569583912,0.13447078923840547,20.0
035,topic,9,83458,2.6438095976063822,0.17068525450157246,20.0
035,topic,10,83458,3.3371819704833636,0.1812026440278971,23.0
009,token_on_topic_subset,1,97887,3.3821287866688237,0.15917773216810416,178.0
009,token_on_topic_subset,2,97907,4.116976383528944,0.2030458529212996,73.0
009,token_on_topic_subset,3,97897,4.535864481469621,0.22910942179775548,47.0
009,token_on_topic_subset,4,97896,4.879194984657665,0.23580734702321365,36.0
009,token_on_topic_subset,5,97897,5.204162241033363,0.23920417217960277,31.0
009,token_on_topic_subset,6,97897,5.53129543659926,0.250038127844062,25.0
009,token_on_topic_subset,7,97896,5.884355394132309,0.24446503713649756,21.0
009,token_on_topic_subset,8,97897,6.292039591919008,0.2602431000072355,17.0
009,token_on_topic_subset,9,97897,6.825194094855273,0.2773380207631054,13.0
009,token_on_topic_subset,10,97897,7.9191103319437435,0.34169661890267167,8.0
035,token_on_topic_subset,1,83458,3.5335791395902993,0.15994955650646991,174.0
035,token_on_topic_subset,2,83458,4.249203533525828,0.18972476660176174,61.0
035,token_on_topic_subset,3,83457,4.625216869613447,0.20563850718215998,42.0
035,token_on_topic_subset,4,83458,4.933567731435182,0.2080938875147054,34.0
035,token_on_topic_subset,5,83458,5.219403334332439,0.22045216448180738,29.0
035,token_on_topic_subset,6,83458,5.509636086365342,0.22803389440161245,25.0
035,token_on_topic_subset,7,83457,5.8146110623982,0.23445859237667732,21.0
035,token_on_topic_subset,8,83458,6.16818714440462,0.2498110809012489,18.0
035,token_on_topic_subset,9,83457,6.649490371657005,0.26737886369393216,14.0
035,token_on_topic_subset,10,83459,7.637861853263777,0.33161298621958,8.0
