cls,label,skipped,n_reg_cohort,n_gated,n_excluded_codes,p_pass,pass_q1,pass_q1_n,pass_q2,pass_q2_n,pass_q3,pass_q3_n,pass_q4,pass_q4_n,pass_q5,pass_q5_n,pass_lift_q5_q1,pass_lift_se
001,Chemicals,false,10496,7528,2968,0.6204835281615303,0.6347941567065073,1506,0.6205980066445183,1505,0.6208499335989376,1506,0.6106312292358804,1505,0.6155378486055777,1506,-0.019256308100929598,0.017637367160571998
002,Paints,false,2907,2260,647,0.5924778761061947,0.5805739514348786,453,0.6119733924611973,451,0.665929203539823,452,0.6084070796460177,452,0.49557522123893805,452,-0.08499873019594051,0.033024217273356284
003,Cosmetics & Cleaning,false,25721,21522,4199,0.4366694545116625,0.4708478513356562,4305,0.46863382899628253,4304,0.4268462610311194,4306,0.40655509065550904,4302,0.41045296167247386,4305,-0.06039488966318235,0.01068100966742771
004,Lubricants & Fuels,false,3091,2316,775,0.5410189982728842,0.6185344827586207,464,0.5560344827586207,464,0.5735930735930735,462,0.5269978401727862,463,0.4298056155507559,463,-0.18872886720786475,0.032215319483752766
005,Pharmaceuticals,false,25230,20476,4754,0.4611252197694862,0.433349609375,4096,0.4725274725274725,4095,0.4713064713064713,4095,0.46324786324786327,4095,0.4652014652014652,4095,0.031851855826465214,0.010986581190197587
006,Metal Goods,false,8635,6466,2169,0.628518403959171,0.6506955177743431,1294,0.6622874806800618,1294,0.6602167182662538,1292,0.62877030162413,1293,0.5406032482598608,1293,-0.11009226951448225,0.019176120013214303
007,Machinery,false,15695,11028,4667,0.6050961189698948,0.6627379873073436,2206,0.6666666666666666,2205,0.6219401631912964,2206,0.5950113378684807,2205,0.4791477787851315,2206,-0.18359020852221208,0.01464418623727285
008,Hand Tools,false,7012,5991,1021,0.5294608579535971,0.6071726438698916,1199,0.5792988313856428,1198,0.5367278797996661,1198,0.46494156928213687,1198,0.4590984974958264,1198,-0.14807414637406519,0.02015470557861678
009,Software & Electronics,false,110299,94455,15844,0.4468053570483299,0.4746175427452226,18891,0.4595839288550103,18891,0.45836641787094384,18891,0.4414800698745434,18891,0.39997882589592926,18891,-0.07463871684929335,0.005089592197534659
010,Medical Apparatus,false,16178,12740,3438,0.5245682888540032,0.6204866562009419,2548,0.5804552590266876,2548,0.5266875981161695,2548,0.49175824175824173,2548,0.40345368916797486,2548,-0.21703296703296704,0.013670284488601912
011,Lighting & Heating,false,20077,16787,3290,0.5054506463334724,0.6247766527695057,3358,0.5439380399165922,3357,0.4760202561811141,3357,0.4563598450997915,3357,0.4261465157832043,3358,-0.1986301369863014,0.011943090807838466
012,Vehicles,false,12449,9411,3038,0.5333120816066306,0.5992569002123143,1884,0.5933014354066986,1881,0.5563230605738576,1882,0.4962805526036132,1882,0.4213602550478215,1882,-0.17789664516449277,0.0160317983041458
013,Firearms,true,,1532,,,,,,,,,,,,,,
014,Jewelry,false,11748,9587,2161,0.4239073745697298,0.43274244004171014,1918,0.46270213875847677,1917,0.4287949921752739,1917,0.4194053208137715,1917,0.3759124087591241,1918,-0.05683003128258607,0.01582092650573083
015,Musical Instruments,true,,985,,,,,,,,,,,,,,
016,Paper & Printed Goods,false,26631,22610,4021,0.5248562582927908,0.5415745245466608,4522,0.5531726730046429,4523,0.5304136253041363,4521,0.5232198142414861,4522,0.4758956214064573,4522,-0.06567890314020347,0.010490940235869354
017,Rubber & Plastics,false,4810,3400,1410,0.6135294117647059,0.6058823529411764,680,0.6676470588235294,680,0.6088235294117647,680,0.6323529411764706,680,0.5529411764705883,680,-0.05294117647058816,0.026733602978096967
018,Leather Goods,false,16045,12603,3442,0.4283900658573356,0.4613248710829036,2521,0.460531535105117,2521,0.4272114240380801,2521,0.4041286224692338,2519,0.3887346291154304,2521,-0.07259024196747321,0.013886321660265051
019,Building Materials,false,6069,4724,1345,0.5948348856900931,0.5968253968253968,945,0.6183932346723044,946,0.5652173913043478,943,0.5830687830687831,945,0.6105820105820106,945,0.013756613756613745,0.02249976981575953
020,Furniture,false,13626,11391,2235,0.5082960231761917,0.5752523036419482,2279,0.5706760316066726,2278,0.5276558384547849,2278,0.4635645302897278,2278,0.4043020193151888,2278,-0.17095028432675946,0.014592380401863397
021,Household Utensils,false,20080,17797,2283,0.4655840872057088,0.5679775280898877,3560,0.5155942680528238,3559,0.45133239831697053,3565,0.40613566000562906,3553,0.38679775280898876,3560,-0.1811797752808989,0.011642670295199593
022,Cordage & Fibers,false,2530,2131,399,0.5504458000938527,0.6112412177985949,427,0.6032863849765259,426,0.5821596244131455,426,0.4953051643192488,426,0.460093896713615,426,-0.15114732108497986,0.03375819826135536
023,Yarns & Threads,true,,275,,,,,,,,,,,,,,
024,Textiles,false,8736,7133,1603,0.48647133043600166,0.5725297827610372,1427,0.5364656381486677,1426,0.47689075630252103,1428,0.4266666666666667,1425,0.41976173791170285,1427,-0.15276804484933432,0.018498304850644087
025,Clothing & Footwear,false,56437,49912,6525,0.3999038307421061,0.43163377742161674,9983,0.41885393708675617,9982,0.3714911407525383,10046,0.402500504133898,9918,0.37523790443754385,9983,-0.05639587298407289,0.006932369442006069
026,Lace & Embroidery,false,4534,4046,488,0.46688086999505685,0.4567901234567901,810,0.47630619684082626,823,0.4767295597484277,795,0.4079110012360939,809,0.5166872682323856,809,0.059897144775595546,0.024799520129891492
027,Carpets,true,,1764,,,,,,,,,,,,,,
028,Games & Sporting Goods,false,23892,20898,2994,0.4845918269690879,0.5430622009569378,4180,0.5214166068437425,4179,0.5,4180,0.4546542234984446,4179,0.40382775119617226,4180,-0.13923444976076554,0.01081484609371782
029,Meats & Processed Foods,false,11012,8853,2159,0.46910651756466737,0.5268210050818747,1771,0.49265536723163844,1770,0.4590626764539808,1771,0.45084745762711864,1770,0.4161490683229814,1771,-0.11067193675889331,0.016671836003325856
030,Staple Foods,false,17115,14055,3060,0.4710779082177161,0.48328591749644384,2812,0.4843416370106762,2810,0.45021337126600286,2812,0.4708185053380783,2810,0.4667378157239417,2811,-0.016548101772502155,0.013317210029056418
031,Agricultural Products,false,4976,3972,1004,0.5579053373615307,0.5979899497487438,796,0.6027742749054225,793,0.5390428211586902,794,0.5440806045340051,794,0.5056603773584906,795,-0.09232957239025319,0.02482806087400228
032,Beer & Soft Drinks,false,8003,6414,1589,0.4429373246024322,0.4793452844894778,1283,0.4130943102104443,1283,0.40717628705148207,1282,0.4637568199532346,1283,0.4512860483242401,1283,-0.0280592361652377,0.019685768677327128
033,Alcoholic Beverages,false,6398,4503,1895,0.5698423273373306,0.6185022026431718,1135,0.6317321688500728,687,0.5158730158730159,882,0.512249443207127,898,0.5715871254162043,901,-0.04691507722696753,0.021901449711896778
034,Tobacco,false,3893,3477,416,0.31032499280989356,0.4540229885057471,696,0.302158273381295,695,0.34820143884892085,695,0.23419540229885058,696,0.21294964028776978,695,-0.24107334821797735,0.02443997336576077
035,Advertising & Retail,false,95831,85771,10060,0.4678854158165347,0.44007927255770574,17156,0.4815505683474206,17155,0.4976096082089552,17152,0.4769150052465897,17154,0.44327853561851466,17154,0.003199263060808921,0.0053618263033672845
036,Insurance & Finance,false,34968,32464,2504,0.5310497782158698,0.5510549822886185,6493,0.5364238410596026,6493,0.5509858287122612,6492,0.5281071923610041,6493,0.48868011704912984,6493,-0.06237486523948865,0.008751275448028733
037,Construction & Repair,false,18113,14979,3134,0.554442886708058,0.5370493991989319,2996,0.5794392523364486,2996,0.5709515859766278,2995,0.5463951935914553,2996,0.5383845126835781,2996,0.001335113484646211,0.01288174067140441
038,Telecommunications,false,12125,8859,3266,0.44181058810249463,0.4051918735891648,1772,0.4520316027088036,1772,0.43591191417278374,1771,0.44751693002257337,1772,0.4683972911963883,1772,0.06320541760722348,0.016629217127738054
039,Transport & Storage,false,11158,9268,1890,0.5170479067760034,0.48327939590075514,1854,0.5272531030760929,1853,0.535059331175836,1854,0.5418240690771722,1853,0.49784250269687164,1854,0.014563106796116498,0.016417486247738526
040,Material Treatment,false,9051,7399,1652,0.5593999189079605,0.525,1480,0.5878378378378378,1480,0.5853494623655914,1488,0.5645380434782609,1472,0.5341446923597025,1479,0.0091446923597025,0.018350517056532283
041,Education & Entertainment,false,91535,84669,6866,0.47079804887266885,0.4860635408054801,16934,0.4856501712531003,16934,0.47935982991791176,16933,0.4757883547891815,16934,0.42712885319475613,16934,-0.05893468761072396,0.005403826856515074
042,Scientific & Tech Services,false,63436,53817,9619,0.46851366668524813,0.44351542177629133,10764,0.48703892966644985,10763,0.4808621330360461,10764,0.4866195874372793,10762,0.4445373467112598,10764,0.0010219249349684434,0.006772662017955959
043,Hotels & Restaurants,false,16985,14994,1991,0.5016006402561024,0.5058236272878536,3005,0.5305713331105913,2993,0.5326884589726484,2998,0.49383127709236413,2999,0.4451483827942648,2999,-0.0606752444935888,0.012866284446746291
044,Medical & Beauty Services,false,22557,20523,2034,0.47590508210300636,0.4801461632155907,4105,0.49244639376218324,4104,0.48746043340637935,4107,0.47952218430034127,4102,0.4399512789281364,4105,-0.040194884287454324,0.010992190520506642
045,Legal & Personal Services,false,15486,13925,1561,0.46463195691202874,0.3971274685816876,2785,0.4779174147217235,2785,0.4967718794835007,2788,0.4798705966930266,2782,0.47145421903052065,2785,0.07432675044883302,0.013245403398595949
