year,naics_sector,uspto_debuts,bfs_hba,ratio
2005,NAICS11,689,12337.0,0.05584826132771338
2005,NAICS23,2003,311246.0,0.00643542406970692
2005,NAICS51,1268,23366.0,0.05426688350594881
2005,NAICS52,5365,73447.0,0.07304586981088404
2005,NAICS54,4393,191323.0,0.022961170376797353
2005,NAICS62,2176,96794.0,0.022480732276794015
2005,NAICS71,9451,27176.0,0.3477700912569915
2005,NAICS72,2594,124827.0,0.020780760572632524
2005,NAICSMNF,64902,28496.0,2.277582818641213
2005,NAICSRET,12919,205217.0,0.0629528742745484
2005,NAICSTW,1081,52741.0,0.020496388009328605
2006,NAICS11,738,12764.0,0.05781886555938577
2006,NAICS23,2321,314338.0,0.007383771608905064
2006,NAICS51,1427,26625.0,0.053596244131455396
2006,NAICS52,5863,77243.0,0.075903318100022
2006,NAICS54,4928,203824.0,0.024177721956197502
2006,NAICS62,2407,104124.0,0.023116668587453423
2006,NAICS71,10388,29884.0,0.34761076161156473
2006,NAICS72,2814,130160.0,0.021619545175169022
2006,NAICSMNF,66371,30378.0,2.1848377115017446
2006,NAICSRET,14532,210020.0,0.06919341015141416
2006,NAICSTW,1175,59481.0,0.01975420722583682
2007,NAICS11,725,12679.0,0.05718116570707469
2007,NAICS23,2518,272396.0,0.009243894917693358
2007,NAICS51,1451,25542.0,0.05680839401769634
2007,NAICS52,6003,75432.0,0.0795816099268215
2007,NAICS54,6138,201011.0,0.030535642328031798
2007,NAICS62,2912,110241.0,0.026414854727370034
2007,NAICS71,11745,28476.0,0.41245259165613146
2007,NAICS72,3061,137322.0,0.02229067447313613
2007,NAICSMNF,72232,30753.0,2.348778980912431
2007,NAICSRET,16756,206500.0,0.08114285714285714
2007,NAICSTW,1389,56109.0,0.024755386836336418
2008,NAICS11,713,12038.0,0.05922910782522014
2008,NAICS23,2529,204397.0,0.012372980033953531
2008,NAICS51,1172,20961.0,0.055913362912074806
2008,NAICS52,5203,58957.0,0.088250759027766
2008,NAICS54,6422,167061.0,0.03844104847929798
2008,NAICS62,2850,119466.0,0.02385615991160665
2008,NAICS71,11425,24496.0,0.466402677988243
2008,NAICS72,2948,139730.0,0.02109783153224075
2008,NAICSMNF,68553,30641.0,2.2372964328840443
2008,NAICSRET,16335,173889.0,0.093939237099529
