class_id,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
001,5941,3959.4686,619.7687,702.7949,35.4535,104.4467,495.8363,0.6664650058912641,0.1043206025921562,0.11829572462548392,0.005967598047466756,0.01758065982157886,0.08346007406160579
002,2195,1235.0649,183.51500000000001,541.6461,10.5031,37.4002,178.76160000000002,0.5626719362186788,0.08360592255125285,0.2467635990888383,0.00478501138952164,0.01703881548974943,0.0814403644646925
003,52544,28358.7742,6156.76,11324.1842,302.5596,978.9283,5233.7517,0.5397147952192448,0.11717341656516443,0.215518121954933,0.005758214068209501,0.018630639083434836,0.0996070283952497
004,4861,2948.1438000000003,604.8039,698.7224,28.1847,87.73910000000001,477.349,0.6064891586093397,0.12441964616334088,0.14374046492491258,0.005798127957210451,0.01804959884797367,0.09819975313721456
005,26555,15825.8543,2503.3091,5023.9224,139.7158,487.8082,2470.0395,0.5959651402749012,0.0942688420259838,0.18918932027866694,0.005261374505742798,0.018369730747505177,0.0930159856900772
006,9908,5045.3283,709.8658,3322.8426,49.4555,160.2674,586.1445,0.5092176322163908,0.07164572062979412,0.3353696608800969,0.004991471538150989,0.016175555106984256,0.05915871013322568
007,11345,5257.8377,752.6744,4443.8996,49.2964,181.7489,619.8963,0.4634497752313795,0.06634415160863817,0.3917055619215513,0.00434520934332305,0.016020176289114146,0.05464048479506391
008,11207,4573.1821,698.9182000000001,5088.2012,46.2308,191.895,570.9672,0.40806478986347816,0.06236443294369591,0.4540199161238512,0.004125171767645222,0.017122780405103954,0.050947372178102975
009,123892,69811.3023,12058.3534,29351.3484,634.1726,2178.596,9413.410100000001,0.5634851507764828,0.09732955638782165,0.23691076421399282,0.0051187534304071285,0.01758463823329997,0.07598077438414104
010,16898,8372.1918,1237.0049,5756.3821,72.3736,290.7379,1108.0347,0.49545459817729914,0.07320421943425257,0.3406546396023198,0.0042829683986270566,0.01720546218487395,0.06557194342525742
011,21832,6590.9818000000005,994.6805,12880.0727,60.5581,342.2616,900.7502000000001,0.3018954653719311,0.04556066782704288,0.5899630221692929,0.002773822828875046,0.015677061194576767,0.04125825393917186
012,16478,7909.8259,1163.8961,6050.2055,71.2916,268.1986,961.6281,0.4800234191042602,0.07063333535623255,0.36716867945138976,0.00432647165918194,0.016276162155601407,0.058358301978395435
013,2041,1374.2788,194.1051,284.4554,13.34,34.5599,132.6915,0.6733360117589418,0.0951029397354238,0.13937060264576187,0.0065360117589416955,0.0169328270455659,0.06501298383145517
014,28321,14213.347,2267.3478,9044.462300000001,127.63550000000001,493.5251,2072.0186,0.5018660004943328,0.08005888916351823,0.3193553299671622,0.004506744112142933,0.01742611842802161,0.07316191518661064
015,3772,2257.5259,309.9353,860.3594,18.0572,62.1753,250.0081,0.5984957317073171,0.08216736479321314,0.22809103923647933,0.004787168610816544,0.016483377518557794,0.0662799840933192
016,78050,50919.5374,8769.8769,10713.589,452.8609,1379.9735,5543.4985,0.6523963792440743,0.11236229212043561,0.1372657142857143,0.005802189622037156,0.017680634208840487,0.07102496476617552
017,2573,1358.6214,188.4101,791.1799,12.2264,42.708800000000004,171.7409,0.5280300816167898,0.07322584531675087,0.30749315973571706,0.004751807228915663,0.016598834045860864,0.06674733773804897
018,23920,10498.3683,1871.0051,9141.7611,105.843,408.8567,1817.1268,0.438894995819398,0.07821927675585284,0.38218064799331103,0.0044248745819398,0.017092671404682274,0.07596683946488295
019,4536,3021.6066,419.314,622.3166,26.651500000000002,76.4942,352.7744,0.6661390211640211,0.09244135802469136,0.1371950176366843,0.005875551146384481,0.016863800705467374,0.0777721340388007
020,28647,12289.184000000001,1787.017,12370.8609,114.2595,468.0211,1526.4342000000001,0.4289867699933676,0.062380598317450346,0.43183792020106815,0.0039885328306628965,0.016337525744406046,0.05328426013195099
021,41436,14366.3906,2392.1776,21431.3195,142.7627,688.9744000000001,2291.5017000000003,0.34671277632976155,0.05773186601023265,0.5172149700743315,0.0034453784149049136,0.016627435080606236,0.05530219374456995
022,3224,1385.5888,217.6234,1357.4698,13.7141,52.4525,186.9347,0.42977320099255584,0.06750105459057072,0.4210514267990075,0.004253753101736973,0.016269385856079406,0.0579822270471464
023,519,224.375,37.2639,223.5217,1.7476,8.6484,21.5717,0.43232177263969174,0.07179942196531792,0.43067764932562624,0.003367244701348748,0.0166635838150289,0.041563969171483625
024,14205,5023.6972000000005,947.0556,7199.9987,49.7692,243.442,700.4352,0.3536569658570926,0.066670580781415,0.5068636888419571,0.0035036395635339667,0.017137768391411474,0.04930906019007392
025,231653,131400.2378,32437.6467,35613.8505,1396.7632,4298.9363,25812.5577,0.5672287334936306,0.14002687942741945,0.1537379205104186,0.006029549369099473,0.01855765433644287,0.11142768580592524
026,9179,3204.6086,770.693,4524.6908,35.6488,153.4142,466.1103,0.34912393506917966,0.08396263209499945,0.49293940516396123,0.003883734611613466,0.01671360714674801,0.05078007408214402
027,2667,847.6324,134.0156,1499.5589,9.832600000000001,44.3898,122.5932,0.31782242219722534,0.05024956880389952,0.5622643044619423,0.0036867641544806903,0.016644094488188977,0.04596670416197975
028,55334,29257.2133,4471.1058,16939.1557,261.0269,930.8874000000001,3292.6768,0.5287384483319478,0.08080214334767051,0.30612563161889617,0.004717296779556873,0.01682306357754726,0.05950549029529765
029,12514,7820.6907,1235.2664,1573.371,68.6121,227.9129,1526.1229,0.6249553060572159,0.09871075595333227,0.1257288636726866,0.005482827233498482,0.018212633850087902,0.12195324436630973
030,31436,19783.8883,3419.4064,3511.5558,190.3091,589.6468,3815.0535,0.6293386022394706,0.10877358442549942,0.11170491792848963,0.006053858633413921,0.01875705560503881,0.1213593809644993
031,7847,5279.7582,889.0204,732.7024,46.9626,144.2697,716.4752,0.6728377978845419,0.11329430355549891,0.09337356951701287,0.005984783993883013,0.018385331974002803,0.09130561998215879
032,11047,7537.8551,1224.1305,715.5681000000001,69.9185,195.0612,1262.3346000000001,0.6823440843667964,0.11081112519235992,0.06477488005793429,0.006329184393953109,0.017657391146917716,0.11426944871910927
033,13698,8808.7023,1287.3224,666.1522,83.0141,207.7204,2588.9924,0.6430648488830487,0.09397885822747847,0.04863134764199153,0.0060603080741714116,0.015164286757190832,0.1890051394364141
034,4942,2634.4064,454.6496,937.7895,36.2248,90.7273,768.1223,0.5330648320518009,0.09199708619991906,0.18975910562525292,0.00732998785916633,0.018358417644678268,0.1554274180493727
035,112245,74891.7605,14563.4363,8594.4301,723.9804,2077.9003000000002,10956.8505,0.667216896075549,0.12974685999376365,0.07656848946500958,0.006450001336362422,0.018512185843467418,0.09761548844046505
036,31887,21763.7746,4678.1213,1754.9178,195.4514,611.3683,2736.8508,0.6825281337222066,0.1467093580455985,0.05503552544924264,0.006129501050584878,0.019172963903785242,0.0858296735346693
037,16964,11784.0545,1978.8724,657.9582,110.6817,291.0941,2081.2345,0.6946507014854987,0.11665128507427493,0.03878555765149729,0.006524504833765622,0.017159520160339545,0.12268536312190521
038,6867,4677.994,865.6938,485.0628,44.369,124.6523,639.8076,0.6812281928061744,0.12606579292267367,0.07063678462210572,0.00646119120431047,0.018152366389981068,0.09317134119702927
039,9257,6215.6044,1221.5451,580.1575,55.258700000000005,168.6548,980.6943,0.6714491087825429,0.13195906881279032,0.06267230204169817,0.005969396132656369,0.01821916387598574,0.1059408339634871
040,8889,5836.642,1183.5304,739.5626,57.1031,162.4181,877.2239000000001,0.6566140173247834,0.133145505681179,0.08319975250309371,0.006424018449769377,0.018271807852401845,0.09868645516931039
041,165160,112298.7568,23505.1158,7452.9275,1060.7548,3009.0433000000003,17262.3883,0.6799391910874304,0.14231724267377088,0.04512549951562121,0.006422589004601598,0.01821895919108743,0.10451918321627512
042,50223,35330.330200000004,5598.9914,3948.8548,306.9067,915.6112,3912.3851,0.7034691316727396,0.11148261553471517,0.07862642215717898,0.0061108794775302155,0.01823091412301137,0.07790026681002728
043,24042,13468.7853,2482.9155,3916.8661,128.2701,459.5114,3494.2097,0.5602190042425754,0.10327408285500375,0.16291764828217287,0.0053352508110806095,0.01911286082688628,0.14533772980617252
044,30435,19860.026,3864.694,2532.2592,184.3448,585.3933,3287.4038,0.6525390504353541,0.12698189584360112,0.08320220798422868,0.006057000164284541,0.01923421389847215,0.1080139247576803
045,19081,12937.1136,2702.5895,1105.021,128.1073,366.7881,1771.1501,0.6780102510350611,0.14163772863057492,0.057912111524553216,0.006713867197735968,0.01922268749017347,0.09282270845343536
