year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1884,1,0.9439000000000001,0.014499999999999999,0.0,0.0,0.009000000000000001,0.0271,0.9439000000000001,0.014499999999999999,0.0,0.0,0.009000000000000001,0.0271
1886,1,0.5543,0.2829,0.0,0.0,0.0,0.1434,0.5543,0.2829,0.0,0.0,0.0,0.1434
1887,1,0.9464,0.0098,0.005200000000000001,0.0039000000000000003,0.0143,0.020499999999999997,0.9464,0.0098,0.005200000000000001,0.0039000000000000003,0.0143,0.020499999999999997
1888,1,0.5543,0.2829,0.0,0.0,0.0,0.1434,0.5543,0.2829,0.0,0.0,0.0,0.1434
1892,5,3.0203,1.5530000000000002,0.0235,0.0416,0.0973,0.2448,0.60406,0.31060000000000004,0.0047,0.00832,0.019459999999999998,0.04896
1893,2,0.9365,0.156,0.7427000000000001,0.0070999999999999995,0.1084,0.0378,0.46825,0.078,0.37135000000000007,0.0035499999999999998,0.0542,0.0189
1894,1,0.5970000000000001,0.33630000000000004,0.0048,0.011000000000000001,0.0244,0.0265,0.5970000000000001,0.33630000000000004,0.0048,0.011000000000000001,0.0244,0.0265
1895,7,5.7466,0.5563,0.0208,0.162,0.11900000000000001,0.3288,0.8209428571428571,0.07947142857142857,0.0029714285714285715,0.023142857142857142,0.017,0.04697142857142857
1896,4,3.2289,0.4534,0.0863,0.039400000000000004,0.07980000000000001,0.1122,0.807225,0.11335,0.021575,0.009850000000000001,0.019950000000000002,0.02805
1897,3,2.8064,0.012199999999999999,0.013600000000000001,0.0104,0.06470000000000001,0.07800000000000001,0.9354666666666667,0.004066666666666666,0.004533333333333334,0.0034666666666666665,0.021566666666666668,0.026000000000000006
1898,1,0.9220999999999999,0.0298,0.006600000000000001,0.0037,0.011899999999999999,0.0259,0.9220999999999999,0.0298,0.006600000000000001,0.0037,0.011899999999999999,0.0259
1899,8,5.5497000000000005,1.8068,0.0519,0.0691,0.1508,0.3523,0.6937125000000001,0.22585,0.0064875,0.0086375,0.01885,0.0440375
1900,4,3.1159,0.6293,0.0298,0.0567,0.060000000000000005,0.0981,0.778975,0.157325,0.00745,0.014175,0.015000000000000001,0.024525
1901,5,4.0222,0.5954,0.0949,0.0411,0.07830000000000001,0.1199,0.8044399999999999,0.11908,0.01898,0.00822,0.01566,0.02398
1902,5,4.199,0.5382,0.019200000000000002,0.0269,0.0883,0.1162,0.8398,0.10764,0.0038400000000000005,0.00538,0.017660000000000002,0.02324
1903,2,1.5253,0.36429999999999996,0.012900000000000002,0.009899999999999999,0.0435,0.0444,0.76265,0.18214999999999998,0.006450000000000001,0.0049499999999999995,0.02175,0.0222
1904,4,3.1063,0.5839,0.014700000000000001,0.0149,0.0531,0.2076,0.776575,0.145975,0.0036750000000000003,0.003725,0.013275,0.0519
1905,55,42.2382,8.3092,1.3818000000000001,0.2927,1.0535,1.5065,0.7679672727272727,0.15107636363636365,0.025123636363636365,0.005321818181818182,0.019154545454545455,0.02739090909090909
1906,25,19.7695,2.75,1.0495,0.123,0.6509,0.5489,0.79078,0.11,0.04198,0.00492,0.026036,0.021956000000000003
1907,15,11.3999,1.7892,0.9813000000000001,0.07780000000000001,0.264,0.4587,0.7599933333333334,0.11928,0.06542,0.0051866666666666675,0.0176,0.03058
1908,11,8.3477,1.0963,0.8881000000000001,0.069,0.2518,0.3138,0.7588818181818181,0.09966363636363637,0.08073636363636365,0.006272727272727274,0.022890909090909094,0.02852727272727273
1909,11,8.5113,1.8528,0.0373,0.0685,0.1995,0.2585,0.7737545454545455,0.16843636363636363,0.0033909090909090907,0.006227272727272728,0.018136363636363638,0.0235
1910,9,5.969200000000001,0.9014,1.5170000000000001,0.0823,0.3147,0.1927,0.6632444444444445,0.10015555555555555,0.16855555555555557,0.009144444444444445,0.03496666666666667,0.021411111111111113
1911,8,6.6726,0.6959,0.1198,0.06330000000000001,0.1361,0.2931,0.834075,0.0869875,0.014975,0.007912500000000001,0.0170125,0.0366375
1912,10,7.8514,1.3758,0.0267,0.030699999999999998,0.19240000000000002,0.453,0.78514,0.13757999999999998,0.00267,0.00307,0.01924,0.0453
1913,13,10.3367,1.8841,0.1091,0.0703,0.2424,0.33740000000000003,0.7951307692307693,0.14493076923076925,0.008392307692307692,0.005407692307692308,0.018646153846153847,0.025953846153846157
1914,15,11.2703,2.6353,0.0781,0.1286,0.2733,0.5751999999999999,0.7513533333333334,0.17568666666666666,0.005206666666666667,0.008573333333333332,0.01822,0.03834666666666666
1915,9,6.9482,0.9588,0.0963,0.0405,0.1368,0.7615,0.7720222222222222,0.10653333333333333,0.0107,0.0045000000000000005,0.0152,0.08461111111111111
1916,5,3.9477,0.3161,0.4111,0.0202,0.1128,0.1922,0.78954,0.06322,0.08222,0.00404,0.02256,0.03844
1917,5,3.8113,0.8843000000000001,0.0188,0.0284,0.09659999999999999,0.1457,0.76226,0.17686000000000002,0.0037600000000000003,0.00568,0.019319999999999997,0.02914
1918,3,2.4998000000000005,0.2415,0.0079,0.0073,0.0628,0.1332,0.8332666666666668,0.0805,0.0026333333333333334,0.0024333333333333334,0.02093333333333333,0.0444
1919,6,4.0034,1.5216,0.1948,0.032,0.09960000000000001,0.1179,0.6672333333333333,0.2536,0.032466666666666665,0.005333333333333333,0.0166,0.01965
1920,5,3.794,0.45520000000000005,0.49479999999999996,0.0334,0.1043,0.11460000000000001,0.7588,0.09104000000000001,0.09895999999999999,0.00668,0.02086,0.022920000000000003
1921,51,38.5004,8.157,1.2417,0.3355,1.0447,1.6087,0.7549098039215686,0.15994117647058823,0.024347058823529413,0.00657843137254902,0.020484313725490196,0.03154313725490196
1922,62,47.4216,8.612400000000001,1.9190000000000003,0.2601,1.2305,2.206,0.7648645161290323,0.13890967741935487,0.03095161290322581,0.00419516129032258,0.019846774193548387,0.03558064516129032
