year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1887,1,0.9464,0.0098,0.005200000000000001,0.0039000000000000003,0.0143,0.020499999999999997,0.9464,0.0098,0.005200000000000001,0.0039000000000000003,0.0143,0.020499999999999997
1892,3,1.9436,0.7574,0.0135,0.0269,0.044,0.1951,0.6478666666666667,0.2524666666666667,0.0045,0.008966666666666666,0.014666666666666666,0.06503333333333333
1895,1,0.8704999999999999,0.054400000000000004,0.0106,0.012,0.0239,0.0286,0.8704999999999999,0.054400000000000004,0.0106,0.012,0.0239,0.0286
1896,4,3.2289,0.4534,0.0863,0.039400000000000004,0.07980000000000001,0.11220000000000001,0.807225,0.11335,0.021575,0.009850000000000001,0.019950000000000002,0.028050000000000002
1897,3,2.8064,0.012199999999999999,0.013600000000000001,0.0104,0.06470000000000001,0.07800000000000001,0.9354666666666667,0.004066666666666666,0.004533333333333334,0.0034666666666666665,0.021566666666666668,0.026000000000000006
1898,1,0.9220999999999999,0.0298,0.006600000000000001,0.0037,0.011899999999999999,0.0259,0.9220999999999999,0.0298,0.006600000000000001,0.0037,0.011899999999999999,0.0259
1899,5,3.3198,1.2845,0.0249,0.0272,0.08399999999999999,0.2402,0.66396,0.2569,0.00498,0.0054399999999999995,0.0168,0.04804
1900,3,2.1262,0.6293,0.0298,0.0567,0.060000000000000005,0.0981,0.7087333333333333,0.20976666666666666,0.009933333333333334,0.0189,0.02,0.0327
1901,4,3.2817,0.48690000000000005,0.007899999999999999,0.0371,0.0645,0.0737,0.820425,0.12172500000000001,0.0019749999999999998,0.009275,0.016125,0.018425
1902,4,3.425,0.36819999999999997,0.0133,0.0212,0.0682,0.09190000000000001,0.85625,0.09204999999999999,0.003325,0.0053,0.01705,0.022975000000000002
1904,3,2.3908,0.3576,0.0102,0.0091,0.029400000000000003,0.1834,0.7969333333333334,0.11919999999999999,0.0034000000000000002,0.0030333333333333336,0.009800000000000001,0.06113333333333334
1905,40,31.490000000000002,5.9943,0.23450000000000001,0.2109,0.7936,1.1562000000000001,0.78725,0.1498575,0.0058625000000000005,0.0052725,0.01984,0.028905000000000004
1906,22,17.4349,2.2903,1.0005000000000002,0.1126,0.5859,0.4786,0.7924954545454544,0.10410454545454545,0.045477272727272734,0.005118181818181819,0.02663181818181818,0.021754545454545457
1907,11,8.9098,1.3841999999999999,0.06420000000000001,0.0603,0.1815,0.3706,0.8099818181818182,0.12583636363636364,0.005836363636363637,0.0054818181818181815,0.0165,0.03369090909090909
1908,10,7.7941,0.7172000000000001,0.8829000000000001,0.0582,0.22830000000000003,0.2859,0.77941,0.07172,0.08829000000000001,0.0058200000000000005,0.022830000000000003,0.028589999999999997
1909,9,6.7178,1.7444,0.031,0.057999999999999996,0.1819,0.20579999999999998,0.7464222222222223,0.19382222222222223,0.0034444444444444444,0.006444444444444444,0.02021111111111111,0.022866666666666664
1910,9,5.969200000000001,0.9014,1.5170000000000001,0.0823,0.3147,0.1927,0.6632444444444445,0.10015555555555555,0.16855555555555557,0.009144444444444445,0.03496666666666667,0.021411111111111113
1911,6,4.9276,0.5747,0.1139,0.058800000000000005,0.11710000000000001,0.1928,0.8212666666666667,0.09578333333333333,0.018983333333333335,0.009800000000000001,0.01951666666666667,0.03213333333333333
1912,4,3.4091,0.35409999999999997,0.0163,0.0214,0.0931,0.0668,0.852275,0.08852499999999999,0.004075,0.00535,0.023275,0.0167
1913,12,9.7848,1.4993,0.1047,0.0603,0.21630000000000002,0.3145,0.8154,0.12494166666666667,0.008725,0.005025,0.018025000000000003,0.026208333333333333
1914,13,9.8156,2.2331,0.0665,0.0947,0.22010000000000002,0.531,0.7550461538461538,0.17177692307692308,0.005115384615384615,0.007284615384615385,0.016930769230769232,0.04084615384615385
1915,8,6.2689,0.7993000000000001,0.0543,0.024900000000000002,0.1167,0.6779,0.7836125,0.09991250000000002,0.0067875,0.0031125000000000002,0.0145875,0.0847375
1916,2,1.6533,0.24430000000000002,0.0112,0.009999999999999998,0.0365,0.044700000000000004,0.82665,0.12215000000000001,0.0056,0.004999999999999999,0.01825,0.022350000000000002
1917,5,3.8113,0.8843000000000001,0.0188,0.0284,0.0966,0.1457,0.76226,0.17686000000000002,0.0037600000000000003,0.00568,0.01932,0.02914
1918,2,1.6119,0.2415,0.0079,0.0073,0.0628,0.047,0.80595,0.12075,0.00395,0.00365,0.0314,0.0235
1919,5,3.2284,1.3539,0.18969999999999998,0.0238,0.079,0.0946,0.64568,0.27078,0.037939999999999995,0.00476,0.0158,0.01892
1921,6,3.5936,1.2585,0.7647000000000002,0.0305,0.1916,0.1471,0.5989333333333333,0.20975,0.12745000000000004,0.005083333333333333,0.031933333333333334,0.02451666666666667
1922,9,6.9246,0.6343000000000001,0.8660000000000001,0.0318,0.2246,0.2559,0.7694,0.07047777777777779,0.09622222222222224,0.0035333333333333336,0.024955555555555554,0.028433333333333335
1923,6,3.6426,1.0284,0.039099999999999996,0.0335,0.08380000000000001,1.1532,0.6071,0.1714,0.006516666666666666,0.005583333333333333,0.013966666666666669,0.1922
1924,5,3.8701000000000003,0.7462,0.0203,0.019799999999999998,0.0739,0.24,0.77402,0.14923999999999998,0.004059999999999999,0.00396,0.014779999999999998,0.048
1925,12,9.8768,1.3948,0.0853,0.0943,0.24280000000000002,0.2718,0.8230666666666666,0.11623333333333334,0.007108333333333334,0.007858333333333333,0.020233333333333336,0.02265
1926,17,11.894,4.0116,0.0659,0.11850000000000001,0.3755,0.5079,0.6996470588235294,0.23597647058823526,0.003876470588235294,0.006970588235294118,0.022088235294117648,0.029876470588235296
1927,14,10.3116,1.1606,1.4371,0.053,0.2411,0.6925,0.7365428571428572,0.0829,0.10265,0.0037857142857142855,0.01722142857142857,0.04946428571428572
1928,34,24.6848,4.2897,1.9411,0.2006,0.6567000000000001,2.0913,0.7260235294117647,0.12616764705882352,0.057091176470588235,0.0059,0.019314705882352942,0.06150882352941176
1929,40,29.4284,5.5048,2.0503,0.1887,0.7402,1.854,0.73571,0.13762000000000002,0.0512575,0.0047175,0.018505,0.04635
1930,33,26.234,3.2182,1.7152,0.1668,0.6487,0.8728,0.794969696969697,0.09752121212121212,0.05197575757575758,0.005054545454545455,0.01965757575757576,0.02644848484848485
1931,31,25.0883,2.6357,1.4308,0.128,0.4529,1.1371,0.8093,0.08502258064516129,0.046154838709677425,0.004129032258064516,0.014609677419354839,0.03668064516129032
1932,24,19.3369,3.001,0.1428,0.41819999999999996,0.4081,0.5935,0.8057041666666667,0.12504166666666666,0.00595,0.017425,0.017004166666666667,0.024729166666666667
1933,42,35.0749,4.3053,0.2319,0.2245,0.7235,1.2301,0.8351166666666666,0.10250714285714285,0.005521428571428571,0.005345238095238096,0.01722619047619048,0.029288095238095238
1934,31,24.8278,2.6786,1.5335,0.21810000000000002,0.5634,1.0070000000000001,0.8008967741935484,0.08640645161290322,0.049467741935483873,0.007035483870967743,0.018174193548387098,0.03248387096774194
1935,39,27.4438,5.2503,4.0135000000000005,0.1997,0.9144,1.0089000000000001,0.7036871794871795,0.13462307692307693,0.10291025641025642,0.00512051282051282,0.023446153846153846,0.025869230769230773
1936,18,13.863,2.8101000000000003,0.0861,0.0805,0.2861,0.7769,0.7701666666666667,0.15611666666666668,0.004783333333333333,0.004472222222222222,0.015894444444444447,0.043161111111111115
1937,7,5.0446,0.7171000000000001,0.776,0.0707,0.2102,0.1699,0.7206571428571429,0.10244285714285715,0.11085714285714286,0.0101,0.03002857142857143,0.024271428571428572
1938,5,4.1433,0.4867,0.058300000000000005,0.0189,0.0672,0.1744,0.82866,0.09734000000000001,0.01166,0.00378,0.013439999999999999,0.03488
1939,6,4.2707,0.45080000000000003,0.9490999999999999,0.018999999999999996,0.1867,0.11330000000000001,0.7117833333333333,0.07513333333333334,0.15818333333333331,0.003166666666666666,0.031116666666666667,0.018883333333333335
1940,5,2.4652000000000003,1.4151,0.7596000000000002,0.018799999999999997,0.1703,0.1565,0.49304000000000003,0.28302,0.15192000000000003,0.0037599999999999995,0.03406,0.0313
1941,8,5.1281,1.5372,0.7632000000000001,0.0358,0.18280000000000002,0.2696,0.6410125,0.19215,0.09540000000000001,0.004475,0.022850000000000002,0.0337
1942,10,7.0371999999999995,1.4678,0.0562,0.0292,0.2089,1.0184000000000002,0.7037199999999999,0.14678,0.00562,0.00292,0.02089,0.10184000000000001
1943,3,2.6392,0.1195,0.1046,0.0189,0.0412,0.0698,0.8797333333333334,0.03983333333333333,0.034866666666666664,0.0063,0.013733333333333334,0.023266666666666668
1944,6,4.3292,0.4756,0.0309,0.020999999999999998,0.0729,1.0625,0.7215333333333334,0.07926666666666667,0.00515,0.0034999999999999996,0.012150000000000001,0.17708333333333334
1945,19,15.9095,1.8919000000000001,0.1363,0.0609,0.2959,0.6367,0.8373421052631579,0.09957368421052633,0.007173684210526316,0.003205263157894737,0.015573684210526316,0.03351052631578948
1946,74,57.9257,9.4674,1.6744999999999999,0.4886,1.2463,2.9923,0.7827797297297298,0.12793783783783783,0.02262837837837838,0.006602702702702703,0.01684189189189189,0.04043648648648649
1947,177,133.2058,23.3381,8.8863,0.9429000000000001,3.4601,6.529,0.7525751412429379,0.13185367231638417,0.05020508474576271,0.005327118644067797,0.01954858757062147,0.036887005649717516
1948,160,119.8746,22.2192,6.006200000000001,1.1095,3.2008,7.0333000000000006,0.74921625,0.13887,0.03753875,0.006934375,0.020005000000000002,0.043958125
1949,156,120.8206,19.4388,5.900500000000001,0.9815,2.9928,5.1306,0.7744910256410257,0.12460769230769231,0.03782371794871796,0.006291666666666667,0.019184615384615383,0.03288846153846154
1950,125,96.6995,15.2118,4.8787,0.655,2.3808000000000002,4.6348,0.773596,0.12169440000000001,0.039029600000000005,0.00524,0.0190464,0.037078400000000004
1951,111,84.9999,13.886600000000001,2.7538,1.2761,2.0342000000000002,5.4084,0.7657648648648648,0.12510450450450453,0.02480900900900901,0.011496396396396397,0.01832612612612613,0.048724324324324324
1952,131,102.43730000000001,15.1083,4.6545000000000005,0.6316,2.4112,5.0706,0.7819641221374046,0.11533053435114504,0.03553053435114504,0.004821374045801527,0.01840610687022901,0.03870687022900763
1953,99,79.9806,10.8368,2.5940000000000003,0.5016,1.9818,2.7286,0.8078848484848484,0.10946262626262626,0.026202020202020206,0.005066666666666667,0.020018181818181817,0.027561616161616162
1954,110,86.28450000000001,13.6381,2.8753,0.583,1.8913,4.2467,0.7844045454545455,0.12398272727272727,0.02613909090909091,0.0053,0.017193636363636362,0.03860636363636363
1955,90,70.8848,10.4764,2.6452,0.4603,1.5767,3.4331,0.7876088888888889,0.11640444444444445,0.02939111111111111,0.005114444444444444,0.01751888888888889,0.03814555555555556
1956,29,22.0093,4.2363,0.8846000000000002,0.24050000000000002,0.5736,0.9052,0.7589413793103448,0.14607931034482757,0.030503448275862075,0.008293103448275862,0.019779310344827584,0.031213793103448274
1957,17,12.7214,2.7271,0.22820000000000001,0.10550000000000001,0.1933,0.8553,0.7483176470588235,0.16041764705882353,0.013423529411764707,0.006205882352941177,0.011370588235294118,0.05031176470588235
1958,14,11.6533,1.3895,0.1633,0.0558,0.3059,0.3415,0.8323785714285714,0.09924999999999999,0.011664285714285714,0.003985714285714286,0.02185,0.024392857142857143
1959,21,15.6234,3.2778,0.8253,0.1474,0.4377,0.5935,0.7439714285714286,0.1560857142857143,0.0393,0.007019047619047619,0.020842857142857142,0.028261904761904762
1960,21,14.222,4.7443,0.8568000000000001,0.1369,0.4339,0.4449,0.6772380952380952,0.22591904761904763,0.0408,0.006519047619047619,0.020661904761904763,0.021185714285714287
1961,31,21.4935,2.8577,3.4028000000000005,0.1983,0.8139000000000001,1.965,0.6933387096774194,0.09218387096774193,0.10976774193548389,0.006396774193548387,0.02625483870967742,0.06338709677419355
1962,26,18.0585,3.9012000000000002,1.3729,0.1639,0.55,1.7295999999999998,0.6945576923076923,0.15004615384615386,0.05280384615384615,0.006303846153846154,0.021153846153846155,0.06652307692307692
1963,43,31.1016,5.7631,3.2367000000000004,0.2377,1.0638,1.4485000000000001,0.723293023255814,0.13402558139534884,0.07527209302325583,0.0055279069767441855,0.024739534883720934,0.03368604651162791
1964,60,43.5722,7.6722,3.9341,0.5187,1.2222,2.8399,0.7262033333333334,0.12787,0.06556833333333333,0.008645000000000002,0.02037,0.04733166666666667
1965,47,33.9683,6.5826,2.6476,0.8402,0.897,1.8223,0.7227297872340426,0.14005531914893618,0.056331914893617024,0.01787659574468085,0.019085106382978723,0.03877234042553192
1966,73,54.7488,10.741,2.5491,0.3522,1.5189000000000001,2.7595,0.7499835616438356,0.14713698630136987,0.03491917808219178,0.004824657534246575,0.020806849315068494,0.0378013698630137
1967,75,54.4478,10.8177,3.5489,0.3909,1.463,3.9687,0.7259706666666667,0.144236,0.04731866666666667,0.0052120000000000005,0.01950666666666667,0.052916000000000005
1968,85,65.1349,9.8294,2.8096,0.5186000000000001,1.5578,4.8253,0.7662929411764706,0.11563999999999999,0.033054117647058824,0.006101176470588236,0.01832705882352941,0.056768235294117654
1969,77,57.7179,9.924800000000001,3.2639,0.4682,1.5458,3.6647000000000003,0.7495831168831169,0.1288935064935065,0.04238831168831169,0.0060805194805194805,0.020075324675324677,0.0475935064935065
1970,81,62.1025,10.0961,3.5366000000000004,0.3703,1.6626,2.8276,0.7666975308641976,0.1246432098765432,0.04366172839506173,0.004571604938271605,0.020525925925925927,0.034908641975308644
1971,91,73.9544,9.4568,2.1704,0.4086,1.4229,3.0003,0.8126857142857143,0.10392087912087912,0.02385054945054945,0.00449010989010989,0.01563626373626374,0.03297032967032967
1972,127,98.1788,14.5901,5.006,0.79,2.4293,5.6308,0.7730614173228346,0.11488267716535433,0.03941732283464567,0.0062204724409448825,0.019128346456692914,0.044337007874015746
1973,134,100.9119,15.7127,4.9441,1.2657,2.3481,8.0106,0.753073880597015,0.11725895522388059,0.03689626865671641,0.009445522388059702,0.017523134328358208,0.05978059701492537
