axis,bin,n,rate,dkl_mid,lo,hi,prospective_kl_mid,retrospective_kl_mid
ΔKL,0,503117,0.4424577185823576,-0.4756279727866665,0.441085713637975,0.44383060225968074,,
ΔKL,1,503116,0.4312683357317199,-0.27131936543815155,0.4299003508634013,0.4326373702090567,,
ΔKL,2,503117,0.41741781732678485,-0.20662304479967708,0.4160557987217794,0.4187810970511347,,
ΔKL,3,503115,0.4056229689037298,-0.16483167809200117,0.4042668980060935,0.40698048104654583,,
ΔKL,4,503116,0.395668195803751,-0.13286288020248557,0.3943177797276466,0.3970202051426365,,
ΔKL,5,503116,0.3866563575795642,-0.10644416022923353,0.38531156423821694,0.3880028818044932,,
ΔKL,6,503116,0.3805384841666733,-0.08350006134976823,0.379197784406801,0.38188100823686416,,
ΔKL,7,503116,0.3765274807400281,-0.06270668427097228,0.3751895872990129,0.37786725974384877,,
ΔKL,8,503116,0.3737468098808227,-0.04322465135829204,0.3724109192639985,0.3750846285243916,,
ΔKL,9,503118,0.37066254834849877,-0.024439804645300493,0.3693289370564511,0.37199813475954624,,
ΔKL,10,503115,0.3694562873299345,-0.005701687681600331,0.36812357832867054,0.3707909898829605,,
ΔKL,11,503116,0.3700577997916981,0.013544358105821337,0.3687246390817246,0.37139294486370655,,
ΔKL,12,503116,0.3701770565833724,0.03380124113675638,0.36884380631839697,0.3715122893891988,,
ΔKL,13,503116,0.3734705316467773,0.05572531483922679,0.37213484259661345,0.37480815294276193,,
ΔKL,14,503116,0.3780499924470699,0.08032730625171518,0.376711022300697,0.3793908249057998,,
ΔKL,15,503117,0.38209402584289537,0.1090999173060119,0.38075226523804795,0.3834375869996296,,
ΔKL,16,503115,0.38932053307891834,0.14507165587652,0.3879740258444979,0.39066873051535456,,
ΔKL,17,503116,0.3955628523044387,0.19505367544049979,0.3942124991721259,0.39691480030824505,,
ΔKL,18,503116,0.3982779319282233,0.27778068566461106,0.3969259774173506,0.39963143984830163,,
ΔKL,19,503117,0.4126217162210778,0.571316121658942,0.41126201995733147,0.41398274684582537,,
Prospective KL,0,503117,0.3814778669772637,,0.3801365253619245,0.38282101855390277,2.6269343261177887,
Prospective KL,1,503116,0.3856426748503327,,0.3842985442547019,0.3869885518096089,3.2077142302409265,
Prospective KL,2,503116,0.3758854816781816,,0.3745480464705449,0.3772248122526641,3.517177466076311,
Prospective KL,3,503116,0.3811884336812981,,0.3798472883391371,0.38253139340832515,3.7635463759391996,
Prospective KL,4,503116,0.3823988901167922,,0.3810569217162894,0.3837426544171438,3.9790970588927013,
Prospective KL,5,503116,0.3830309511126659,,0.38168855644364774,0.384375132029258,4.176877523034417,
Prospective KL,6,503117,0.38488065400294563,,0.383537027003237,0.38622603899971186,4.359400905156339,
Prospective KL,7,503115,0.3853671625771444,,0.3840232118401395,0.38671286388865306,4.532939802264475,
Prospective KL,8,503116,0.3851735981364139,,0.38382977630577486,0.3865191734940219,4.70005204075963,
Prospective KL,9,503117,0.38267242013289154,,0.3813302682988346,0.3840163636861283,4.865526495521306,
Prospective KL,10,503116,0.3834960526001956,,0.382153345796282,0.38484053854906564,5.032127858788254,
Prospective KL,11,503116,0.3876859412143522,,0.3863404810229651,0.38903311656643297,5.201194105166615,
Prospective KL,12,503118,0.38570673281417084,,0.3843625628252769,0.3870526481815354,5.375815394569751,
Prospective KL,13,503114,0.387039517882627,,0.38569447296058446,0.38838628784382434,5.5594154811873615,
Prospective KL,14,503116,0.3884591227470404,,0.38711316593756806,0.3898067829098638,5.757731569121069,
Prospective KL,15,503116,0.3927404415681473,,0.39139179929721113,0.3940907218119306,5.978260337063229,
Prospective KL,16,503117,0.3980207387148516,,0.39666893537802356,0.3993740993854164,6.232824938495392,
Prospective KL,17,503115,0.4071216322311996,,0.4057647604720339,0.40847992234924246,6.546471189750158,
