nice_class,token,emergence_year,prior_doc_freq,n_early,surv_early,n_mid,surv_mid,n_late,surv_late,n_total,delta_late_minus_early
009,dvd,1996,4,204,0.5196078431372549,1401,0.6188436830835118,4233,0.5138199858256556,21093,-0.005787857311599365
009,deploy,1998,14,77,0.7922077922077922,91,0.7582417582417582,69,0.36231884057971014,803,-0.4298889516280821
009,e-commerce,1998,11,650,0.6984615384615385,2087,0.7115476760900814,1354,0.5716395864106352,15895,-0.1268219520509033
009,auctions,1999,23,170,0.788235294117647,64,0.53125,126,0.46825396825396826,1800,-0.3199813258636788
009,business-to-business,1999,19,238,0.7689075630252101,85,0.6823529411764706,53,0.2641509433962264,799,-0.5047566196289837
009,extranet,1999,23,187,0.7647058823529411,127,0.5118110236220472,120,0.36666666666666664,963,-0.3980392156862745
009,portal,1999,17,303,0.8118811881188119,246,0.6219512195121951,757,0.4953764861294584,14152,-0.31650470198935354
009,asp,2000,6,167,0.6167664670658682,293,0.5017064846416383,1110,0.5198198198198198,9496,-0.0969466472460484
009,commissioned,2000,14,74,0.8648648648648649,30,0.6,70,0.32857142857142857,635,-0.5362934362934364
009,e-business,2000,18,176,0.7045454545454546,37,0.24324324324324326,36,0.25,750,-0.4545454545454546
009,ecommerce,2000,18,102,0.8235294117647058,38,0.631578947368421,135,0.6074074074074074,1780,-0.21612200435729845
009,intent,2000,20,118,0.9830508474576272,167,1.0,597,0.981574539363484,3645,-0.0014763080941431195
009,marketplaces,2000,20,95,0.6842105263157895,37,0.5675675675675675,88,0.5454545454545454,3342,-0.13875598086124408
009,tattoo,2000,4,65,0.8923076923076924,11,0.5454545454545454,25,0.48,1199,-0.4123076923076924
009,wap,2000,7,93,0.7311827956989247,47,0.5319148936170213,320,0.60625,1474,-0.12493279569892479
009,bolsters,2004,15,280,0.6571428571428571,247,0.8825910931174089,533,0.3170731707317073,1351,-0.3400696864111498
009,wager,2004,3,376,0.5877659574468085,1093,0.5288197621225984,2438,0.36628383921246926,7033,-0.22148211823433922
009,assailants,2006,10,69,0.9130434782608695,21,0.5238095238095238,40,0.375,264,-0.5380434782608695
009,disables,2006,15,69,0.927536231884058,24,0.5416666666666666,41,0.4146341463414634,285,-0.5129020855425945
009,easy-to-understand,2006,8,592,0.6959459459459459,565,0.5610619469026549,983,0.41302136317395727,3679,-0.2829245827719887
009,face-protection,2006,6,75,0.8,58,0.15517241379310345,153,0.21568627450980393,753,-0.5843137254901961
009,radiation-measuring,2006,15,85,0.7647058823529411,46,0.391304347826087,65,0.16923076923076924,574,-0.5954751131221718
009,seismological,2006,6,67,0.8507462686567164,8,0.125,22,0.09090909090909091,131,-0.7598371777476255
009,self-rescue,2006,18,63,0.8571428571428571,17,0.11764705882352941,59,0.22033898305084745,330,-0.6368038740920097
009,handhelds,2007,13,120,0.9166666666666666,45,0.4888888888888889,94,0.43617021276595747,405,-0.48049645390070916
009,inference,2007,21,62,1.0,4,0.25,26,0.2692307692307692,214,-0.7307692307692308
009,singles,2007,23,102,0.9705882352941176,6,0.8333333333333334,21,0.42857142857142855,183,-0.5420168067226891
009,accommodates,2008,13,134,0.7089552238805971,308,0.6233766233766234,803,0.5554171855541719,2339,-0.1535380383264252
009,arcade-based,2009,22,244,0.6188524590163934,602,0.5299003322259136,1038,0.4884393063583815,2084,-0.1304131526580119
009,mammal,2009,1,91,0.26373626373626374,5,0.4,67,0.16417910447761194,261,-0.0995571592586518
009,non-active,2009,3,91,0.26373626373626374,3,0.0,64,0.109375,255,-0.15436126373626374
009,surgeries,2009,19,86,0.18604651162790697,19,0.15789473684210525,88,0.14772727272727273,388,-0.03831923890063424
009,cloud-based,2011,19,145,0.4,700,0.48,4237,0.39981118716072694,8943,-0.00018881283927307813
009,sharable,2011,8,109,0.5229357798165137,184,0.6521739130434783,224,0.5401785714285714,672,0.017242791612057662
009,cartomizers,2013,14,90,0.5111111111111111,54,0.6111111111111112,51,0.5686274509803921,222,0.05751633986928106
009,pachinkos,2013,3,140,0.4357142857142857,75,0.10666666666666667,85,0.29411764705882354,316,-0.14159663865546218
009,invader,2015,0,69,0.028985507246376812,7,0.14285714285714285,20,0.25,96,0.2210144927536232
009,iot,2015,9,206,0.4174757281553398,1636,0.456601466992665,3053,0.35866360956436294,4904,-0.05881211859097685
009,smartwatches,2015,14,1450,0.20551724137931035,5800,0.2246551724137931,10374,0.23780605359552728,17638,0.03228881221621693
