cls,name,n,beta_lin,beta_quad,se_quad,t_quad
016,"Paper, Print & Office",444018,-0.011840662582749586,0.019032478998175457,0.0010569770658712253,18.006520304665003
005,Pharmaceuticals,359560,-0.0533157768722587,0.01855018405292112,0.0012319360264085872,15.057749473403836
041,Education & Entertainment,920449,-0.05292288720803837,0.008864386531164052,0.0005947979740241082,14.903188844427307
028,"Toys, Games & Sporting Goods",325521,-0.05733089435723885,0.018351849837614603,0.0013927853492119368,13.176366227572979
021,Household Utensils,219996,-0.14352128068387068,0.01925442535024117,0.00186129050835226,10.344664233680795
009,Software & Electronics,1226806,0.039261217097583914,0.006479275279881854,0.0006289664352275251,10.30146430236458
010,Medical Devices,190121,-0.07031880263888915,0.014572968029810793,0.0016357713759271207,8.90892715465885
035,Advertising & Retail,996559,0.0017737480781781863,0.0044499384589574194,0.000549831432410829,8.093277678662187
003,Cosmetics & Cleaning,326430,-0.06712634967525508,0.008037694278795162,0.0010093764364347015,7.963029439428702
006,Common Metals,97003,-0.12717027731858604,0.018059280455137473,0.0023821259048774825,7.581161188063357
043,Restaurants & Hotels,136699,-0.04644186337290491,0.0138484875202201,0.002051847630532934,6.749276756297533
040,Materials Treatment,94015,0.030791326846551094,0.01434910247032627,0.0021907288401877075,6.549921746178683
018,Leather & Luggage,147807,-0.09231857105149713,0.011361697120226997,0.0017377630645098064,6.53811635905148
045,Legal & Personal Services,126420,-0.054894267220325456,0.012210752734738813,0.002119212239304398,5.761930073953717
044,Medical & Personal Care,188794,-0.01723657830104934,0.009232356190290593,0.0016641191038926115,5.547893878926573
001,Chemicals & Industrial,125272,0.03497685652479019,0.009995004554746266,0.0018657040298769693,5.357229439765626
025,"Clothing, Footwear & Headwear",668593,0.009729489522353182,0.0036653224095480373,0.0007859976119073087,4.663274231398406
011,"Lighting, HVAC & Appliances",194994,-0.0784011627685559,0.008734971296505648,0.0019471563265177699,4.48601438803169
024,Textiles & Bedding,97945,-0.12856154607758852,0.011984677236244893,0.002697516637401961,4.442855725178253
013,Firearms & Pyrotechnics,13777,0.04544033233404529,0.03316830744189848,0.008225045377665599,4.0325987175662465
020,Furniture,165306,-0.12459718884461254,0.0091793633557055,0.0025408837516557032,3.612665612790824
017,Rubber & Insulators,51254,-0.05776053648628215,0.00859485419917752,0.0028133480536524634,3.055026976850286
031,Agriculture & Live Animals,64135,0.033536407223873126,0.008742058413414402,0.0030758124912280416,2.8421948471651044
029,"Meat, Dairy & Prepared Foods",134683,-0.005255204321740679,0.004470701458421519,0.0016835232690670797,2.655562617140984
034,Tobacco & Smokers' Articles,36678,-0.03568285519404271,0.014145404570382544,0.005444471973563607,2.598122396270479
037,Construction & Repair,178756,-0.020779141767584358,0.003182571844022288,0.0013627547051573113,2.3353959681650145
004,Lubricants & Fuels,36160,-0.022451469235931096,0.009461632636099112,0.0041196796708855635,2.296691343010474
007,Machines & Power Tools,160666,-0.02800988783574327,0.0038089443575039777,0.0016844504207816147,2.261238627454859
036,Insurance & Financial,399896,0.036642334484652345,0.0020565279744019236,0.0009600277979526294,2.1421546113432424
019,Building Materials,70015,-0.0625799551805281,0.004380281249033714,0.0021439689661955576,2.043071200235916
012,Vehicles,128694,-0.045300164077226666,0.0032913927245220576,0.0019939142898032624,1.65071926178272
022,"Ropes, Tents & Textiles (raw)",24515,-0.1330768581411673,0.007242112712118622,0.006275946235738853,1.1539475387596312
042,Scientific & Tech Services,743414,0.020772452896300572,0.0005301283679264233,0.0007926427463157144,0.6688112272401594
008,Hand Tools,71252,-0.08646521679530794,0.0024467480801308164,0.0037833835571318003,0.6467089691497488
030,"Coffee, Tea, Bakery & Spices",205442,-0.004396304966966502,0.00029236886163714265,0.0012105492260309453,0.24151753216656785
015,Musical Instruments,12496,-0.06504940163564654,-0.005280137969734627,0.013014679165918574,-0.4057063491477898
026,"Trim, Lace & Notions",42323,-0.1266710832099711,-0.001914604816040387,0.004597194170675783,-0.4164724710244166
039,Transport & Logistics,120417,0.011570090328812177,-0.0023562155685655124,0.0018705622151313237,-1.2596296180397792
014,Jewelry & Watches,109375,-0.07450154217593083,-0.0029056292670261333,0.00228168955209761,-1.2734551308064328
002,Paints & Coatings,33653,-0.03078265824393038,-0.012176829633610374,0.00515845587427845,-2.360557098942643
032,Beer & Soft Drinks,100951,0.06534074406962319,-0.006800180370994329,0.0019207533887102696,-3.540371403723231
033,Wine & Spirits,68232,0.010196497188551035,-0.013257768998927336,0.0028745478083774616,-4.612123326072174
027,Carpets & Wall Hangings,26727,-0.03996794019249552,-0.05609297710322664,0.006745346255899933,-8.315803959531944
038,Telecommunications,170826,0.014899469163505409,-0.020553042653401382,0.0017448381552240854,-11.779340445911904
