cls,name,n_years_fit,n_years_pos_U,n_years_inv_U,n_years_flat,n_years_adv_pos_dKL,n_years_adv_neg_dKL,n_years_no_lin_adv,mean_beta_quad,mean_beta_lin
024,Textiles & Bedding,32,10,0,22,4,18,10,0.031081478577254733,-0.1260300014278226
005,Pharmaceuticals,32,22,0,10,5,17,10,0.02967350173277001,-0.04024294100105386
040,Materials Treatment,32,13,2,17,10,4,18,0.02875249190160874,0.03623308333270575
021,Household Utensils,32,11,2,19,2,19,11,0.024875631047322353,-0.11132379733179139
006,Common Metals,32,7,0,25,0,18,14,0.022653007409915327,-0.10995358770301568
010,Medical Devices,32,13,0,19,2,17,13,0.022242218793787304,-0.06231631524150177
031,Agriculture & Live Animals,32,8,1,23,4,3,25,0.02200639521188258,0.007584847470231557
018,Leather & Luggage,32,10,1,21,1,21,10,0.021787151400996713,-0.0963223810278697
020,Furniture,32,8,1,23,1,21,10,0.021282492846440064,-0.10992720457875148
028,"Toys, Games & Sporting Goods",32,7,4,21,2,17,13,0.020371714266439623,-0.06618944604698349
001,Chemicals & Industrial,32,10,0,22,9,6,17,0.019706603857173658,0.011490722926503358
041,Education & Entertainment,32,26,0,6,8,22,2,0.01830937861384411,-0.030682732229771244
009,Software & Electronics,32,19,2,11,14,14,4,0.017998147892544756,0.02937576219350891
016,"Paper, Print & Office",32,9,4,19,4,18,10,0.01775937010621872,-0.03248724818293708
011,"Lighting, HVAC & Appliances",32,7,1,24,4,14,14,0.016626705106827098,-0.04903024444614975
045,Legal & Personal Services,20,9,1,10,2,11,7,0.0165308960224028,-0.04195032937595877
044,Medical & Personal Care,20,8,0,12,2,4,14,0.016210064486300028,-0.018155419597110662
004,Lubricants & Fuels,29,3,0,26,2,9,18,0.015864067593019567,-0.05995050572424564
025,"Clothing, Footwear & Headwear",32,14,3,15,11,18,3,0.013996327950224301,-0.007280591250587238
022,"Ropes, Tents & Textiles (raw)",18,1,0,17,0,7,11,0.012340412944881666,-0.12873283289076803
012,Vehicles,32,5,1,26,4,13,15,0.012120458780681851,-0.04760247515343477
007,Machines & Power Tools,32,8,1,23,5,13,14,0.011671826956178367,-0.031739314033983744
042,Scientific & Tech Services,32,14,4,14,15,10,7,0.01123145542626206,0.0023494133020558697
008,Hand Tools,32,0,0,32,2,12,18,0.010723506017281685,-0.04868712025184284
034,Tobacco & Smokers' Articles,18,3,2,13,6,6,6,0.00997672485485178,-0.041897651143636194
039,Transport & Logistics,32,9,0,23,4,2,26,0.009559104416753185,0.010426480182621422
032,Beer & Soft Drinks,32,6,3,23,8,3,21,0.008920927576240205,0.04278631851107537
017,Rubber & Insulators,32,2,1,29,1,10,21,0.008198447478595642,-0.057075829328610814
037,Construction & Repair,32,5,1,26,2,10,20,0.005734622176488744,-0.022375520474681783
026,"Trim, Lace & Notions",25,4,3,18,1,11,13,0.005555652647476238,-0.1287682308544667
003,Cosmetics & Cleaning,32,5,2,25,1,17,14,0.005452433130713043,-0.047309617999928034
014,Jewelry & Watches,32,7,2,23,5,17,10,0.004960120299166482,-0.07513130589402087
019,Building Materials,32,5,2,25,1,10,21,0.0045625111228148885,-0.04783528184386011
035,Advertising & Retail,32,16,5,11,14,15,3,0.004512104601169564,0.03497118057744783
029,"Meat, Dairy & Prepared Foods",32,4,2,26,5,9,18,0.0034087913603077506,-0.00656176641622683
043,Restaurants & Hotels,20,5,2,13,0,5,15,0.003347010907555728,-0.025008431749573255
013,Firearms & Pyrotechnics,9,0,0,9,0,1,8,0.00033853559088458475,-0.042333414853284346
036,Insurance & Financial,32,7,4,21,16,5,11,-0.0010571898488437098,0.05167402115303055
030,"Coffee, Tea, Bakery & Spices",32,6,3,23,5,6,21,-0.0012680470457069688,-0.00027886403020865
002,Paints & Coatings,32,3,4,25,1,6,25,-0.0014873590515290015,-0.07418115350037406
033,Wine & Spirits,28,2,4,22,5,5,18,-0.002516825013451193,0.009123733400653552
027,Carpets & Wall Hangings,18,1,2,15,1,7,10,-0.006564520144629533,-0.12976833377159605
038,Telecommunications,32,6,10,16,7,10,15,-0.013584871344060943,0.010064685323625745
015,Musical Instruments,6,0,1,5,1,3,2,-0.02213268027566335,-0.1287842955045051
