token,doc_freq,early_n
website,764981,0
web,597403,0
wireless,477072,0
information field,472305,0
website featuring,422625,0
phones,420479,0
medical purposes,375767,0
hosting,364492,0
non-downloadable software,350040,0
saas,344992,0
site,337766,0
design development,323257,0
nutritional,321892,0
electronic publications,320238,0
mobile phones,304192,0
featuring information,294490,0
on-line retail,285782,0
web site,281922,0
cultural,273552,0
online retail,272842,0
downloadable electronic,260224,0
platform,251578,0
websites,251253,0
nutritional supplements,230206,0
software applications,225130,0
training services,221761,0
development computer,216886,0
fitted,215986,0
technological,214279,0
babies,210826,0
search,210389,0
updating,209502,0
dvds,208757,0
wellness,204469,0
hooded,202816,0
software mobile,202555,0
computer application,202493,0
