year,ethnic,tier,weight_in_tier,share_within_ethnic
1884,White,FOOD_HYG,0.9439000000000001,1.0
1884,Black,FOOD_HYG,0.014499999999999999,1.0
1884,Hispanic,FOOD_HYG,0.0271,1.0
1884,Two+,FOOD_HYG,0.009000000000000001,1.0
1886,White,MANUF,0.5543,1.0
1886,Black,MANUF,0.2829,1.0
1886,Hispanic,MANUF,0.1434,1.0
1887,White,MANUF,0.9464,1.0
1887,Black,MANUF,0.0098,1.0
1887,API,MANUF,0.005200000000000001,1.0
1887,Hispanic,MANUF,0.020499999999999997,1.0
1887,Two+,MANUF,0.0143,1.0
1887,AIAN,MANUF,0.0039000000000000003,1.0
1888,White,MANUF,0.5543,1.0
1888,Black,MANUF,0.2829,1.0
1888,Hispanic,MANUF,0.1434,1.0
1892,White,FOOD_HYG,1.3893,0.4599874184683641
1892,White,MANUF,1.631,0.540012581531636
1892,Black,FOOD_HYG,0.47450000000000003,0.30553766902768836
1892,Black,MANUF,1.0785,0.6944623309723117
1892,API,FOOD_HYG,0.0135,0.5744680851063829
1892,API,MANUF,0.01,0.425531914893617
1892,Hispanic,FOOD_HYG,0.051699999999999996,0.21119281045751634
1892,Hispanic,MANUF,0.1931,0.7888071895424836
1892,Two+,FOOD_HYG,0.044,0.4522096608427544
1892,Two+,MANUF,0.0533,0.5477903391572456
1892,AIAN,FOOD_HYG,0.0269,0.6466346153846154
1892,AIAN,MANUF,0.014700000000000001,0.35336538461538464
1893,White,FOOD_HYG,0.9365,1.0
1893,Black,FOOD_HYG,0.156,1.0
1893,API,FOOD_HYG,0.7427000000000001,1.0
1893,Hispanic,FOOD_HYG,0.0378,1.0
1893,Two+,FOOD_HYG,0.1084,1.0
1893,AIAN,FOOD_HYG,0.0070999999999999995,1.0
1894,White,MANUF,0.5970000000000001,1.0
1894,Black,MANUF,0.33630000000000004,1.0
1894,API,MANUF,0.0048,1.0
1894,Hispanic,MANUF,0.0265,1.0
1894,Two+,MANUF,0.0244,1.0
1894,AIAN,MANUF,0.011000000000000001,1.0
1895,White,FOOD_HYG,2.5935,0.45131034002714643
1895,White,MANUF,3.1531000000000002,0.5486896599728535
1895,Black,FOOD_HYG,0.054400000000000004,0.09778896278986159
1895,Black,MANUF,0.5019,0.9022110372101384
1895,API,FOOD_HYG,0.0106,0.5096153846153847
1895,API,MANUF,0.0102,0.4903846153846154
1895,Hispanic,FOOD_HYG,0.1119,0.3403284671532847
1895,Hispanic,MANUF,0.2169,0.6596715328467154
1895,Two+,FOOD_HYG,0.0524,0.4403361344537815
1895,Two+,MANUF,0.0666,0.5596638655462185
1895,AIAN,FOOD_HYG,0.14020000000000002,0.865432098765432
