ethnic,in_enclave,debut_sign,n_owners,mean_debut,mean_subsequent,mean_drift,median_drift
API,False,negative,2220,-0.13578694841810934,-0.03269111347494762,0.10309583494316173,0.06454797263129586
API,False,positive,2343,0.1764761034231246,0.08660890767271419,-0.0898671957504104,-0.05612301579878154
API,True,negative,836,-0.11370539732565255,-0.03359215267320225,0.08011324465245029,0.05610488343042628
API,True,positive,1351,0.18239479172874945,0.08076118072948402,-0.10163361099926543,-0.07020212450186425
Black,False,negative,1916,-0.13655337714152635,-0.05651478606876753,0.0800385910727588,0.05562303259726736
Black,False,positive,1930,0.1521081154958519,0.06622915823518982,-0.08587895726066205,-0.05658670437479478
Hispanic,False,negative,3301,-0.13432561589803696,-0.040988990522380676,0.09333662537565632,0.06543900114746445
Hispanic,False,positive,3547,0.15761246604848753,0.07086470025604226,-0.08674776579244524,-0.05701563260161091
Mixed,False,negative,1556,-0.134285347168856,-0.042012623739255565,0.09227272342960045,0.065576123254419
Mixed,False,positive,1694,0.16267074487887215,0.0686048605188385,-0.09406588436003363,-0.05921736388377972
White,False,negative,38432,-0.14139826184847415,-0.05317165979607629,0.08822660205239785,0.06016683971099127
White,False,positive,41016,0.16822758793064846,0.07267440808118504,-0.09555317984946342,-0.062143044301398165
