year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,3560318,4327552,70255157,67668642,642576,15.146,472488,11.137,14243986,4599387,9644599,6.797,21.050,9071844,3567060,5504784,5.271,13.406,5172142,7.643,26.813,326436,331573,1822588
1979,3692635,4486597,74714428,72580555,616415,13.970,467871,10.604,13690518,4355635,9334883,6.001,18.863,9418503,3257999,6160504,4.489,12.977,4272015,5.886,25.953,330913,335438,1792332
1980,3739767,4551584,75065997,74864205,578750,12.806,514594,11.386,11777171,4059532,7717639,5.423,15.731,11375697,3491642,7884055,4.664,15.195,401474,0.536,30.390,369565,374576,1940633
1981,3768498,4611616,75788714,75417375,586119,12.797,523076,11.421,12133261,4579643,7553618,6.072,16.088,11385235,3492309,7892926,4.631,15.096,748026,0.992,30.193,377392,383681,1998474
1982,3741859,4617059,74973839,75330661,575231,12.464,571371,12.380,11842874,4224764,7618110,5.608,15.721,12547526,3857453,8690073,5.121,16.657,-704652,-0.935,31.442,406493,412436,2221948
1983,3830757,4712899,74041185,74501177,624610,13.389,529238,11.344,12171587,4419222,7752365,5.932,16.337,13106655,4108366,8998289,5.514,17.593,-935068,-1.255,32.675,363000,370005,2096628
1984,4001390,4904516,78673113,76276350,699054,14.534,509404,10.591,14767652,5108015,9659637,6.697,19.361,9971582,3632587,6338995,4.762,13.073,4796070,6.288,26.146,364750,371130,2067985
1985,4073155,4986221,81575122,80135815,682923,13.810,600922,12.152,14898854,5158687,9740167,6.437,18.592,12019412,4853691,7165721,6.057,14.999,2879442,3.593,29.998,431677,440710,2816870
1986,4158219,5112726,83920060,82684687,711630,14.095,583812,11.563,15211590,5557289,9654301,6.721,18.397,12732769,4369341,8363428,5.284,15.399,2478821,2.998,30.798,414722,422615,2554574
1987,4223952,5224469,85886119,85043855,740398,14.325,628497,12.160,16316921,6519365,9797556,7.666,19.186,14638328,5282367,9355961,6.211,17.213,1678593,1.974,34.425,436466,444846,2830826
1988,4308236,5359338,88402522,87208343,739207,13.959,611798,11.553,16380732,6257767,10122965,7.176,18.783,13996733,5100564,8896169,5.849,16.050,2383999,2.734,32.100,425403,435355,2789210
1989,4382013,5472761,91353052,89888906,724158,13.368,612863,11.313,16267263,5947295,10319968,6.616,18.097,13365740,4988060,8377680,5.549,14.869,2901523,3.228,29.738,429504,441756,2786006
1990,4445528,5571136,93686600,92604817,700386,12.683,602953,10.918,15492584,5566052,9926532,6.011,16.730,13329946,4564879,8765067,4.929,14.394,2162638,2.335,28.789,433898,444885,2719640
1991,4412581,5606034,91458374,92577861,690270,12.358,649044,11.620,13971947,5611960,8359987,6.062,15.092,16221727,5498954,10722773,5.940,17.522,-2249780,-2.430,30.184,453798,466578,3380042
1992,4413841,5615601,91438756,91423286,649245,11.577,634004,11.305,14667236,5129865,9537371,5.611,16.043,14634570,5119874,9514696,5.600,16.007,32666,0.036,32.015,415356,426552,2694958
1993,4495611,5682239,93102312,92283804,650095,11.509,582828,10.318,14916783,4855690,10061093,5.262,16.164,13295008,4460252,8834756,4.833,14.407,1621775,1.757,28.813,386357,398460,2316189
