nice_class,nice_name,primary_naics_sector,primary_naics_name,is_goods,notes
001,Chemicals,31-33,Manufacturing,True,Industrial chemicals; agricultural fertilisers
002,Paints,31-33,Manufacturing,True,Paints and coatings
003,Cosmetics & Cleaning,31-33,Manufacturing,True,Consumer-package goods manufacturers
004,Oils & Fuels,31-33,Manufacturing,True,Industrial oils; lubricants
005,Pharmaceuticals,31-33,Manufacturing,True,Pharma; supplements; medical foods
006,Common Metals,31-33,Manufacturing,True,Metal products manufacturing
007,Machines & Machine Tools,31-33,Manufacturing,True,Industrial machinery
008,Hand Tools,31-33,Manufacturing,True,Hand-operated tools
009,Electronics & Software,31-33,Manufacturing,True,Hardware (NAICS 334) and software (51) co-occur; we map to MNF for primary
010,Surgical Medical Dental,31-33,Manufacturing,True,Medical devices
011,Lighting Heating Refrigerating,31-33,Manufacturing,True,Appliances
012,Vehicles,31-33,Manufacturing,True,Motor vehicles
013,Firearms,31-33,Manufacturing,True,Firearms; ammunition
014,Precious Metals Jewelry,31-33,Manufacturing,True,Jewelry
015,Musical Instruments,31-33,Manufacturing,True,Musical instruments
016,Paper Printed Matter,31-33,Manufacturing,True,Paper products; printing
017,Rubber Plastics,31-33,Manufacturing,True,Rubber and plastic products
018,Leather Luggage,31-33,Manufacturing,True,Leather goods
019,Building Materials,31-33,Manufacturing,True,Non-metallic building materials
020,Furniture,31-33,Manufacturing,True,Furniture
021,Household Utensils,31-33,Manufacturing,True,Household goods
022,Ropes Nets Textiles,31-33,Manufacturing,True,Textile raw materials
023,Yarns Threads,31-33,Manufacturing,True,Yarns and threads
024,Fabrics,31-33,Manufacturing,True,Fabrics
025,Clothing & Footwear,31-33,Manufacturing,True,Apparel
026,Lace Embroidery,31-33,Manufacturing,True,Lace; embroidery; ribbons
027,Carpets,31-33,Manufacturing,True,Carpets and floor coverings
028,Toys & Sports Goods,31-33,Manufacturing,True,Toys; sporting goods
029,Meat Fish Dairy,31-33,Manufacturing,True,Animal-source food products
030,Coffee Tea Sugar Baking,31-33,Manufacturing,True,Baking and beverage commodities
031,Agricultural Products,11,Agriculture Forestry Fishing Hunting,True,Live animals; raw crops
032,Beverages Non-Alcoholic,31-33,Manufacturing,True,Beer included
033,Alcoholic Beverages,31-33,Manufacturing,True,Distilled and fermented beverages
034,Tobacco,31-33,Manufacturing,True,Tobacco
035,Advertising & Retail,44-45,Retail Trade,False,Also touches NAICS 54 (Prof svc) and 56 (Admin); retail-services umbrella
036,Insurance Financial,52,Finance and Insurance,False,Banking; insurance; investment
037,Construction & Repair,23,Construction,False,Also touches NAICS 81 (Other services)
038,Telecommunications,51,Information,False,Telecom and broadcasting
039,Transport & Travel,48-49,Transportation and Warehousing,False,Carriers; travel agencies
040,Materials Treatment,31-33,Manufacturing,False,Custom manufacturing services
041,Education & Entertainment,71,Arts Entertainment and Recreation,False,Also touches NAICS 61 (Education)
042,Scientific & Tech Services,54,Professional Scientific Technical Services,False,Software development, R&D, design
043,Hotel Restaurant Food Services,72,Accommodation and Food Services,False,Lodging; restaurants
044,Medical Veterinary Hygiene,62,Health Care and Social Assistance,False,Healthcare; veterinary
045,Legal Security Personal,54,Professional Scientific Technical Services,False,Also touches NAICS 81 (Other services)
